GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREISMI,G16PREIKEN,G16PREIFUE,G16PREOWRI
47175009102,47,175,009102,353,101,10,0,1,0,1,2
47175009103,47,175,009103,355.37,86.93,1.91,1.91,0,0.96,0,0
47175009104,47,175,009104,273.88,103.42,3.83,0,0,0,0,0
47175009105,47,175,009105,304.12,93.58,9.17,2,0,0,1,0
47175009106,47,175,009106,186.35,51.87,13.45,0,0,0,0,0
47175009107,47,175,009107,74.5,18.86,0,1.89,0,0,0,0
47177009201,47,177,009201,628,269,24,7,2,1,3,0
47177009202,47,177,009202,647.63,239.6,36.24,6.03,4.12,2.03,4.06,3.09
47177009203,47,177,009203,454.62,111.99,7.59,0.95,3.8,0.95,1.9,2.85
47177009204,47,177,009204,415.63,171.51,22.46,1.02,1.96,1.96,2,2.18
47177009205,47,177,009205,459.96,160.04,20.95,1.27,0.22,0.11,1.12,4.78
47177009206,47,177,009206,619.91,257.72,32.84,1,2.99,1,1.99,0
47177009207,47,177,009207,387.42,231.57,10.31,4,2.09,1,1.01,5
47177009208,47,177,009208,166.67,112.72,3.85,0,1.93,0,0,0
47177009209,47,177,009209,527,272,21,9,1,1,4,2
47177009210,47,177,009210,858.35,324.05,17.51,3.42,2.05,3,2.97,2.02
47177009211,47,177,009211,671,183,23,3,1,0,1,9
47177009213,47,177,009213,271.17,71.85,13.76,5.73,1.9,0.95,1.92,0.1
47177009214,47,177,009214,684,261,21,5,3,2,2,2
47177009215,47,177,009215,267,78,18,0,0,1,1,5
47177009216,47,177,009216,573,199,14,2,1,0,1,0
47177009217,47,177,009217,373.73,109.14,8.02,1,1,0,1,0.01
47177009218,47,177,009218,305.97,96.72,7.1,0.06,2,1.03,0.06,1.98
47177009219,47,177,009219,556,157,15,5,4,1,2,0
47177009220,47,177,009220,385,122,9,3,2,1,2,0
47177009221,47,177,009221,353,125,15,3,3,0,1,2
47179009301,47,179,009301,1363.15,352.32,48.3,11.4,8.49,2.34,2.21,11.49
47179009302,47,179,009302,542.88,191.53,27.19,4.12,3.04,0.44,0.59,3.07
47179009304,47,179,009304,1506.56,564.67,72.07,11.92,5.59,1.03,2.25,6.39
47179009305,47,179,009305,1152.26,309.73,44.45,12.56,4.25,1.36,3.54,3.27
47179009306,47,179,009306,739.92,172.43,27.09,6.3,2.92,1.39,0.53,6.24
47179009307,47,179,009307,1245.97,245.34,34.12,8.26,0.97,0.9,1.82,10.78
47179009308,47,179,009308,774.51,653.22,50.59,26.88,5.1,2.47,4.61,8.47
47179009309,47,179,009309,990.83,253.22,29.03,8.71,3.61,1.4,1.51,10.09
47179009310,47,179,009310,319.99,54.52,6.86,2.32,1.81,0.06,0.11,3.91
47179009311,47,179,009311,624.26,399.77,39.09,16.9,5.18,1.7,2.07,10.04
47179009312,47,179,009312,961.88,634.55,50.94,22.81,4.92,3.06,3.41,7.4
47179009313,47,179,009313,631,115,21,2,1,0,0,2
47179009314,47,179,009314,1110.56,968.8,91.06,42.24,11.05,1.73,2.9,13.85
47179009315,47,179,009315,139.99,32.8,4.4,0.93,0.55,0,0.72,1.09
47179009316,47,179,009316,443.47,108.19,14.45,2.63,2.11,0.29,1.86,3.72
47179009317,47,179,009317,145.68,20.13,5.63,0.54,1.16,0.12,0.96,0.51
47179009318,47,179,009318,2496.24,513.61,81.88,17.85,10.82,4.92,0.54,19.25
47179009319,47,179,009319,1326.98,239.74,30.15,4.46,6.46,1.28,1.19,10.06
47179009320,47,179,009320,407.01,326.15,27.32,14.74,2.65,0.83,2.61,4.1
47179009321,47,179,009321,1023.41,683.91,66.2,32.89,5.85,1.69,5.06,8.1
47179009322,47,179,009322,1253.13,554.57,65.48,15.03,4.52,1.44,2.26,8.13
47179009323,47,179,009323,383.89,283.49,33.83,12.29,5.96,0.74,0.76,1.55
47179009324,47,179,009324,1880.36,963.8,98.82,36.74,8.94,4.51,5.43,12.66
47179009325,47,179,009325,938.93,189.27,24.74,4.5,2.53,0.19,1.88,4.01
47179009326,47,179,009326,754.23,140.64,18.12,5.14,1.75,0,1.37,4.03
47179009327,47,179,009327,1231.83,282.98,31.53,15,5.17,0.22,2.09,3.56
47179009328,47,179,009328,417.39,113.5,10.51,2.83,1.21,1.94,1.19,2.17
47179009329,47,179,009329,711.34,153.83,17.43,5.41,1,0.6,2.2,3.01
47179009330,47,179,009330,576.48,121.72,7.81,5.43,0.22,0.34,1.52,3.83
47179009331,47,179,009331,540.15,583.34,57.6,36.81,6.22,0.59,2.23,6
47179009332,47,179,009332,2323.6,481.33,66.85,21.1,7.73,4.34,9.12,15.04
47179009333,47,179,009333,834.4,427.12,47.07,12.14,2.03,1.45,1.96,8.74
47179009334,47,179,009334,185.66,45.52,6.93,2.36,1.68,0.23,0.34,0.96
47179009335,47,179,009335,1780.24,719.8,82.24,19.32,3.7,3.43,5.15,9.45
47179009336,47,179,009336,2493.82,1123.5,127.22,33.44,11.79,5.97,6,14.02
47181009401,47,181,009401,208.29,68.8,4.48,2.13,0.11,0.05,0.01,4.12
47181009402,47,181,009402,216.31,33.48,2.79,0.93,1.85,0.93,0.93,0
47181009403,47,181,009403,357.75,35.67,1.38,3,1,0,0.08,0.38
47181009404,47,181,009404,748.38,137.41,7.91,0,0.99,0,1.98,0
47181009405,47,181,009405,296.18,24.05,4.98,0.99,0.99,0,0.04,1.04
47181009406,47,181,009406,263,31,4,0,0,0,1,0
47181009407,47,181,009407,488,65,2,0,1,0,2,0
47181009408,47,181,009408,156.25,36.74,1.12,0.05,1.07,0.05,0.05,0
47181009409,47,181,009409,369.33,51.3,4.16,0.01,2.03,1.02,0.03,0
47181009410,47,181,009410,304.82,45.67,4.96,0,0,0.99,0,0
47181009411,47,181,009411,467.76,68.37,4.63,0,0,0,0.92,4.62
47181009412,47,181,009412,611,62,10,0,2,0,2,0
47181009413,47,181,009413,365.87,39.31,1.07,2.01,1.01,0,0,0.01
47181009414,47,181,009414,200.79,23.4,2.97,0,0.02,0,1.96,2.95
47183009501,47,183,009501,621,117,8,3,1,1,2,1
47183009502,47,183,009502,1132.97,202.82,15.99,1,5,2,4,3
47183009503,47,183,009503,601.76,102.99,10.06,1.02,1.02,1.01,1.02,0
47183009504,47,183,009504,987.03,307.18,18.01,9,6,1,2,5
47183009505,47,183,009505,1052.13,377.1,24.74,8.91,5.94,3.96,5.94,0.99
47183009506,47,183,009506,1246.3,247.18,26.09,4.01,6.01,1,2.01,8.02
47183009507,47,183,009507,1053.67,261.43,17.89,0.99,2.98,0,1.99,1.99
47183009508,47,183,009508,766.65,406.48,36.07,15.01,3.04,0.03,1.04,7.98
47183009509,47,183,009509,1156.01,411.24,41.11,10.05,5.01,0,4,15.02
47183009510,47,183,009510,387.95,337.96,22,9,3,0,1,5
47185009601,47,185,009601,923,178,12,4,2,0,3,2
47185009602,47,185,009602,243.82,54.96,7.71,3.85,0.01,0.96,1.93,2.88
47185009603,47,185,009603,1006.54,220.83,13.26,4.05,3.95,2.94,2.96,0.98
47185009604,47,185,009604,1343.36,297.23,38.09,6.05,12.04,6.01,4.01,7.02
47185009605,47,185,009605,396.36,71.15,9.41,3.95,1.97,0,0.99,0.99
47185009606,47,185,009606,796.22,183.46,15.24,3.16,3.04,2.05,0.02,2.02
47185009607,47,185,009607,1250,242.25,16.88,8.94,7.94,1.99,1.99,3.97
47185009608,47,185,009608,594.51,233.89,14.78,1.02,3.95,4.91,3.93,5.89
47185009609,47,185,009609,191.49,67.11,3.22,1.98,1.05,0.09,0.07,0.11
47185009610,47,185,009610,409.13,127.36,9.08,5.02,1.02,2.01,3,1.04
47185009611,47,185,009611,528.87,173.64,9.92,2.98,1.98,0.99,0,4.96
47187009701,47,187,009701,1649.4,573.36,76.65,11.94,3.98,1,1.99,15.93
47187009702,47,187,009702,1556.74,558.69,107.63,13.25,5.05,2,5.01,25.12
47187009703,47,187,009703,744.02,240.77,32.56,9.87,2.96,0,1.97,8.88
47187009704,47,187,009704,457.28,132.16,19.28,3.11,5,0.99,2.01,6.07
47187009705,47,187,009705,1469.93,371.95,54.55,7.93,7.93,0,0.99,20.83
47187009706,47,187,009706,2201,828.25,139.04,24.01,7.01,1,4,65.01
47187009707,47,187,009707,1421.69,493.14,90.02,11.74,6.85,1.96,0.98,24.46
47187009708,47,187,009708,791.81,187.74,24.4,0.06,2.06,0,0.01,5.16
47187009709,47,187,009709,2296,854,145,14,11,3,4,57
47187009710,47,187,009710,1542,616,120,18,9,5,5,44
47187009711,47,187,009711,1255,530,111,11,7,2,4,45
47187009712,47,187,009712,2025.33,1029.29,141.67,10.11,6.03,2.01,9.03,36.28
47187009713,47,187,009713,1994.94,684.98,102,11,2,0,5,22
47187009714,47,187,009714,1881.2,962.79,122.32,20.72,5.92,0.99,5.92,50.31
47187009715,47,187,009715,1588,818,103,16,9,1,2,24
47187009716,47,187,009716,1849,817,117,17,20,2,3,48
47187009717,47,187,009717,1635,515,84,10,5,0,4,24
47187009718,47,187,009718,1794.06,834.02,159,14,4,2,4,29
47187009719,47,187,009719,2291,1187,162,13,8,3,8,43
47187009720,47,187,009720,1612,938,106,10,5,2,1,27
47187009721,47,187,009721,1585,842,99,7,6,0,2,15
47187009722,47,187,009722,2865,1161,150,12,13,1,2,46
47187009723,47,187,009723,1517.09,667.94,90.91,11.95,5.96,1,0.02,32.84
47187009724,47,187,009724,2027.47,1040.52,131.92,12.89,3.97,1.98,1.98,31.74
47187009725,47,187,009725,1231.23,539.43,92.83,6.07,4.75,1.86,0,23.57
47187009726,47,187,009726,2250.05,1128.05,138.05,18.95,5.33,1.13,0.04,53.5
47187009727,47,187,009727,1811.63,902.85,116.45,10.06,9.94,4.99,3.92,24.38
47187009728,47,187,009728,1273.83,502.53,98.18,10.02,9.02,2,3.01,57.08
47187009729,47,187,009729,1475.48,698.64,90.03,9.26,11.26,1.13,3.11,24.63
47187009730,47,187,009730,2427,1031,162,18,7,0,2,43
47187009731,47,187,009731,876.16,322.18,48.1,6.73,0,0,0,4.82
47187009732,47,187,009732,1835.24,1168.23,149.68,31.22,14.25,2.03,5.08,68.23
47187009733,47,187,009733,861,859,92,18,8,0,4,42
47187009734,47,187,009734,1430.93,771.25,93.13,7.76,8.73,0.97,2.91,42.69
47187009735,47,187,009735,1343,851,100,14,7,4,1,33
47187009736,47,187,009736,937,843,98,20,12,1,5,42
47187009737,47,187,009737,1911.65,773.37,124.02,12.95,9.91,2,2.95,42.52
47187009738,47,187,009738,1443.64,836.52,132.5,8.9,17.8,4.94,3.96,51.42
47187009739,47,187,009739,2323.42,1213.15,184.03,19,8,3,4,63.01
47187009740,47,187,009740,1642.48,733.92,134.01,12.17,7.05,0.01,5.05,48.41
47187009741,47,187,009741,703.76,221.41,28.89,0.58,4.23,1.05,0.07,9.21
47187009742,47,187,009742,972.7,334.07,57.16,3.02,7.04,0.01,4.02,25.05
47187009999,47,187,009999,1431,414,91,9,5,3,2,42
47189009801,47,189,009801,1682.01,568.01,70,19,11,3,1,12
47189009802,47,189,009802,1601.39,556.73,77.13,14.28,15.01,4.99,5,6.12
47189009803,47,189,009803,2168.85,637.02,84.8,13.02,5.1,0.98,1.03,4.41
47189009804,47,189,009804,1536,696,69,18,8,5,2,17
47189009805,47,189,009805,278,80,8,4,2,1,3,2
47189009806,47,189,009806,2138.91,653.57,72.91,29.83,8,4,2.02,4
47189009807,47,189,009807,1442.09,383.63,46.81,15.42,6.75,4.02,4.99,6.74
47189009808,47,189,009808,514.53,204.81,50.95,3,0,2,2,1
47189009809,47,189,009809,650.25,284.24,27.93,12.97,3.99,1,1,5.98
47189009810,47,189,009810,1542,713,80,17,13,4,3,5
47189009811,47,189,009811,868,412,37,23,10,1,2,1
47189009812,47,189,009812,409.46,114.12,5.88,9.38,4.08,0.08,2.19,0
47189009814,47,189,009814,1525.85,612.22,103.61,24.49,3.77,0,0.94,9.42
47189009815,47,189,009815,2534.05,1226.52,150.75,28.16,12.1,4.05,8.02,44.55
47189009816,47,189,009816,814.54,203.88,22.12,9.62,1.92,1.92,4.81,0
47189009817,47,189,009817,770,220,30,5,2,0,2,1
47189009818,47,189,009818,1714.37,483.74,72.22,11.87,9.89,0,0,6.92
47189009819,47,189,009819,1854.8,644.51,72.08,16.01,15.01,8,0,16.01
47189009820,47,189,009820,1387.34,355.27,40.26,15.06,8.03,3.01,2.01,3.03
47189009822,47,189,009822,1515.91,650.64,75.11,15.89,9.92,4.94,2.01,53.77
47189009823,47,189,009823,1540.23,618.77,74.32,24.08,4.1,3.01,0.03,10.03
47189009824,47,189,009824,1667.63,346.61,60.32,12.74,1.7,0,2.55,5.1
47189009825,47,189,009825,1153.26,493.27,50.99,14.71,7.85,1.96,1.96,5.88
47189009826,47,189,009826,473.61,442.76,23.88,14.92,5.97,6.96,2.98,0
47189009827,47,189,009827,497.14,197,18.2,8.11,5.04,2.04,1.02,17.02
47189009828,47,189,009828,474,129,15,9,3,1,0,2
47189009829,47,189,009829,1517.59,542.22,92.3,17.49,11.06,7,3.1,13.19
47189009830,47,189,009830,1775.64,731.87,115.47,22.15,7.03,3.02,2,30.06
47189009831,47,189,009831,1119,444,47,14,7,2,0,4
47189009832,47,189,009832,1081.03,353.54,65.67,12.27,1.01,1.88,1.96,13.14
47189009833,47,189,009833,887.04,327.16,37.28,9.72,2.99,1.12,4.04,7.84
