GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREISMI,G16PREIKEN,G16PREIFUE,G16PREOWRI
47155007968,47,155,007968,2880.89,602.61,99.61,22.68,8.88,1.97,2.96,16.77
47155007969,47,155,007969,2103.12,360.34,51.15,9.05,6.02,4.02,3.99,3.01
47155007970,47,155,007970,987,209,41,3,5,1,3,6
47155007971,47,155,007971,49,6,2,0,0,1,0,1
47155007972,47,155,007972,33,6,0,1,0,0,0,0
47155007973,47,155,007973,421.14,62.61,6.87,1.95,0.98,0.98,0.01,0
47155007974,47,155,007974,192.26,31.7,6.13,0.03,0,0.01,1,1.02
47155007975,47,155,007975,345.89,69,11.44,2.11,1,0.56,0.22,0.56
47157008051,47,157,008051,2689.06,900.31,115.75,11.87,4.95,2.97,2.97,34.63
47157008052,47,157,008052,1407.7,522.19,64.08,9.39,2.04,1,1.13,20.17
47157008053,47,157,008053,2060.71,627.52,85.82,14.47,3.85,5.8,0.98,25.07
47157008054,47,157,008054,1699,449,74,11,3,1,3,19
47157008055,47,157,008055,1930.04,1141.88,68.21,12.79,9.2,1.15,3.1,25.35
47157008056,47,157,008056,1837.21,825.69,84.29,15.33,1.92,0.96,6.71,22.03
47157008057,47,157,008057,1511.91,746.26,72.01,31.79,5.21,4.27,2.07,14.05
47157008058,47,157,008058,2489.96,864.12,126.79,31.21,7.8,5.85,3.9,13.65
47157008060,47,157,008060,1531,407,60,4,5,2,2,12
47157008061,47,157,008061,155.78,1547.06,19.76,8.29,0.05,3,2.05,0.13
47157008063,47,157,008063,1566.77,1629.76,73.99,18,9,4,3,22
47157008064,47,157,008064,587.76,1208.01,28.43,10.7,1.98,0.1,1.93,4.86
47157008065,47,157,008065,1037.21,436.54,40.38,6.02,2.58,1.72,2.57,12.85
47157008066,47,157,008066,1647,1330,82,8,6,3,4,27
47157008068,47,157,008068,2571,645,119,6,15,0,2,34
47157008069,47,157,008069,1604.89,1284.76,56.55,12.2,12.07,4.07,5.13,14.3
47157008070,47,157,008070,2075,511,96,13,18,3,2,15
47157008071,47,157,008071,2167,670,77,14,9,1,6,20
47157008072,47,157,008072,1338,328,59,8,3,0,0,13
47157008073,47,157,008073,1670.66,514.36,57.82,7.97,0,1,1,14.95
47157008074,47,157,008074,922.95,1441.78,44.73,5.84,1.93,1.98,3.89,8.72
47157008075,47,157,008075,1237.69,385.9,54.99,4,6,1,0,12
47157008076,47,157,008076,1359,1840.28,59.01,26.96,6,6,4,18.97
47157008077,47,157,008077,580.68,629.17,20.3,5.82,6.72,2.88,1.93,19.16
47157008078,47,157,008078,663.36,1428.25,53.23,10.84,2.96,2.96,9.86,5.91
47157008079,47,157,008079,1449.43,1399.01,67,17.1,4.57,0.15,3.1,13.44
47157008080,47,157,008080,1565,1283,80,23,8,4,1,10
47157008081,47,157,008081,973.23,323.5,25.16,8.74,1.01,0.03,2.9,4.2
47157008082,47,157,008082,841.78,920.8,29.11,8.05,0.02,2.01,1.01,5.05
47157008083,47,157,008083,311.16,570.46,12.72,1.96,0,1.96,0.98,0.98
47157008084,47,157,008084,273.22,2116.2,16.89,7.95,2.98,0.99,1.99,7.95
47157008086,47,157,008086,2138.28,939.68,106.9,28.37,8.05,1.02,7.04,34.24
47157008087,47,157,008087,1592,695,92,12,8,0,4,20
47157008088,47,157,008088,2289.84,920.7,111.12,15.87,4.96,1.98,3.97,24.8
47157008089,47,157,008089,2248,1094,120,25,5,3,2,41
47157008090,47,157,008090,1250.79,729.91,79.15,5.14,8.94,0.11,1.08,10.95
47157008091,47,157,008091,1137,481,52,9,4,2,1,24
47157008093,47,157,008093,1574.97,649.5,84.5,5.03,4.06,1,2.01,7.07
47157008094,47,157,008094,2124,766,95,7,3,2,2,15
47157008095,47,157,008095,710.48,252.94,30.07,0.15,0.04,0.02,1.03,7.24
47157008096,47,157,008096,3050.89,911.09,99.57,15.93,6.97,4.98,4.98,24.89
47157008097,47,157,008097,1176.26,431.68,46.75,12.62,3.96,0.19,7.64,8.78
47157008098,47,157,008098,814.3,570.87,32.28,5.73,6.45,0.52,3.9,3.78
47157008099,47,157,008099,279.65,327.21,15.73,3.8,1.88,0.64,1.26,0.66
47157008100,47,157,008100,447.53,813.41,12.79,0.98,2.95,0,2.95,4.92
47157008101,47,157,008101,698.75,2035.88,102.93,16.83,5.94,0.99,4.95,22.76
