GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSRMCC,G16USSDKIR,G16USSGSWI,G16USSOWRI
04019000181,04,019,000181,1357,1186,88,28,48,1440,1074,103,10
04019000182,04,019,000182,1316,1230,110,51,55,1438,1110,145,15
04019000183,04,019,000183,906.95,825.05,75.91,18.98,31.96,955.89,736.15,98.89,14.98
04019000184,04,019,000184,1342,805,101,12,48,1446,716,81,15
04019000185,04,019,000185,694,560,62,18,35,724,529,66,12
04019000186,04,019,000186,109,131,6,3,1,115,115,12,1
04019000187,04,019,000187,1327,1213,93,37,33,1413,1119,97,19
04019000188,04,019,000188,1214.45,782.43,63.71,24.89,37.83,1079.07,809.3,136.38,21.9
04019000189,04,019,000189,349,744,43,12,22,444,649,50,7
04019000190,04,019,000190,242,772,28,12,15,339,650,34,7
04019000191,04,019,000191,411.92,386.54,37.09,8.79,8.79,447.06,335.78,40.02,3.9
04019000192,04,019,000192,1073,1097,89,29,40,1140,1007,120,14
04019000193,04,019,000193,584.86,580.05,23.12,5.78,17.34,615.7,534.76,26.02,1.93
04019000194,04,019,000194,1400,1089,94,18,62,1568,948,92,13
04019000195,04,019,000195,814,588,36,12,22,809,545,68,5
04019000196,04,019,000196,0,6,0,0,0,2,4,0,0
04019000197,04,019,000197,854,751,73,22,26,888,694,85,12
04019000198,04,019,000198,985,510,79,20,56,1027,474,80,24
04019000199,04,019,000199,1174,820,83,18,39,1207,770,78,15
04019000200,04,019,000200,489.88,277.95,39.94,10.6,24.45,530.64,270.62,27.71,3.26
04019000201,04,019,000201,969,977,84,27,50,1090,851,96,9
04019000202,04,019,000202,1267.51,1043.72,112.89,30.7,64.37,1377.42,968.46,103.98,18.81
04019000203,04,019,000203,367,585,26,7,11,412,511,46,3
04019000204,04,019,000204,313,57,9,1,6,278,69,28,2
04019000205,04,019,000205,1242,938,60,14,33,1243,924,75,9
04019000206,04,019,000206,205.49,165.94,11.19,6.18,4.32,191.95,147.96,22.97,11.1
04019000207,04,019,000207,1081.69,1131.06,47.77,13.11,24.49,1153.24,1027.92,75.69,8.41
04019000208,04,019,000208,534,423,38,22,20,499,402,94,15
04019000209,04,019,000209,1141,945,60,19,41,1152,928,101,10
04019000210,04,019,000210,593,1225,61,6,30,779,1060,33,8
04019000211,04,019,000211,761,951,62,11,16,916,814,34,3
04019000212,04,019,000212,661,522,47,12,27,745,463,37,6
04019000213,04,019,000213,83,108,11,4,7,102,95,9,0
04019000214,04,019,000214,879,1209,62,25,39,1102,1025,59,9
04019000215,04,019,000215,583,386,42,15,15,527,370,97,9
04019000216,04,019,000216,948,788,65,17,22,993,734,55,5
04019000217,04,019,000217,1334.21,1086.28,120.48,22.9,34.85,1436.76,977.75,116.49,17.92
04019000218,04,019,000218,1408,1530,159,35,84,1618,1358,141,24
04019000219,04,019,000219,925.13,832.13,99.86,31.33,40.14,971.14,789.05,116.5,10.77
04019000220,04,019,000220,1291,1046,91,25,46,1357,978,100,8
04019000221,04,019,000221,1096.08,444.81,57.85,24.93,26.93,956.45,499.67,113.7,28.92
04019000222,04,019,000222,793.48,433.89,53.49,24.77,28.73,702.34,438.84,142.65,13.87
04019000223,04,019,000223,451,387,38,5,25,502,338,49,5
04019000224,04,019,000224,1362,1089,158,48,84,1580,947,143,14
04019000225,04,019,000225,1433,1507,134,58,82,1581,1339,194,20
04019000226,04,019,000226,387,370,31,5,22,421,333,30,14
04019000227,04,019,000227,1825,1532,201,66,121,2069,1386,170,30
04019000228,04,019,000228,440,540,36,8,12,453,522,33,9
04019000229,04,019,000229,1915.72,963.59,158.46,31.69,73.5,1840.88,971.01,202.29,41.81
04019000230,04,019,000230,284,443,29,10,8,313,410,34,0
04019000231,04,019,000231,1330.83,1348.15,133.26,24.06,80.17,1535.99,1164.89,122.32,14.09
04019000232,04,019,000232,395.9,551.85,38.66,14.24,29.22,473.83,475.65,47.85,7.13
04019000233,04,019,000233,891,1471,77,43,35,1031,1288,133,25
04019000234,04,019,000234,526,835,44,35,12,600,737,81,10
04019000235,04,019,000235,360,1100,53,23,29,461,965,77,3
04019000236,04,019,000236,89.87,446.34,6.05,15.04,11.03,130.82,393.25,26.13,7.01
04019000237,04,019,000237,453,856,41,9,12,584,729,28,2
04019000238,04,019,000238,786,1284,82,21,38,1018,1085,48,6
04019000239,04,019,000239,1093,1730,86,37,47,1344,1516,70,17
04019000240,04,019,000240,56.05,34.42,2.95,0,4.92,59,28.52,3.93,0
04019000241,04,019,000241,702.96,857.39,55.8,10.19,28.63,821.54,748.35,45.62,16.03
04019000242,04,019,000242,849.1,691.41,79.77,13.46,54.79,923.1,648.13,72.1,10.57
04019000243,04,019,000243,901,625,40,15,29,980,538,44,12
04019000244,04,019,000244,52,379,4,12,6,90,337,22,2
04019000245,04,019,000245,165,927,22,31,14,241,833,57,8
04019000246,04,019,000246,118,1144,41,37,16,197,1068,61,3
04019000247,04,019,000247,40.48,227.82,7.37,9.36,4.25,63.75,210.83,10.9,1.06
04019000248,04,019,000248,71,417,13,6,9,142,353,10,0
04019000249,04,019,000249,925.28,465.41,76.54,15.31,35.5,889.12,468.99,97.71,20.19
04021000001,04,021,000001,538.08,399.84,48.31,9.26,9.21,539.23,387.32,65.45,4.2
04021000004,04,021,000004,157.56,244.37,8.92,4.98,3.95,159.6,234.37,20.84,2.97
04021000005,04,021,000005,626.95,560.58,39.05,11,22.08,612,564.48,69.07,9
04021000006,04,021,000006,159,409,11,3,9,164,396,31,1
04021000007,04,021,000007,780.07,646.29,37.38,11.8,19.67,767.28,632.51,66.89,3.93
04021000008,04,021,000008,1175.35,832.9,37.66,17.52,42.04,1236.65,808.38,52.55,10.51
04021000009,04,021,000009,832,467,45,11,18,732,463,137,19
04021000010,04,021,000010,951,410,48,14,13,885,417,109,7
04021000011,04,021,000011,120.83,62.39,7.92,1.98,1.98,115.87,59.42,10.89,0.99
04021000012,04,021,000012,101,407,15,7,6,160,350,23,0
04021000013,04,021,000013,861.1,606.5,50.35,20.26,10.52,901.48,539.24,80.51,7.35
04021000014,04,021,000014,99,442,17,6,8,162,382,22,1
04021000015,04,021,000015,1378.15,878.97,55.99,11.09,34.53,1439.72,853.56,57.01,2.7
04021000016,04,021,000016,1014.45,419.91,60.25,16.85,27.22,967.14,434.4,86.55,9.07
04021000017,04,021,000017,311.3,312.6,31.15,13.05,6.21,339.36,295.65,46.42,0.19
04021000018,04,021,000018,912,692,85,17,42,965,628,112,17
04021000019,04,021,000019,403,401,37,15,21,463,346,53,3
04021000020,04,021,000020,290.03,168.15,23.74,3.99,6.94,273.94,168.23,47.6,1.02
04021000021,04,021,000021,438,199,22,6,11,414,195,49,10
04021000022,04,021,000022,365,131,22,4,8,331,137,45,9
04021000023,04,021,000023,644.3,382.94,36.5,9.28,11.21,607.31,387.39,61.78,10.27
04021000024,04,021,000024,571.91,366,41.48,9.59,11.67,546.99,373.48,77.6,3.4
04021000025,04,021,000025,663.02,207.43,29.06,14.67,11.98,575.52,227.2,88.39,9.68
04021000026,04,021,000026,1338.31,756.94,56.5,25.31,34.81,1311.19,716.44,130.19,19.88
04021000027,04,021,000027,2335.67,1216.32,120.35,47.37,54.12,2262.53,1173.79,210.96,32.41
04021000028,04,021,000028,1494,791,120,14,56,1604,706,110,12
04021000029,04,021,000029,45.14,358.31,5.88,9.79,15.66,129.32,295.66,17.63,0.98
04021000030,04,021,000030,766.29,677.8,73.82,19.36,36.57,813.24,651.95,79.55,9.47
04021000031,04,021,000031,155.19,118.43,6.05,3.04,1.04,161.43,95.18,23.08,4
04021000032,04,021,000032,550,512,43,30,27,571,488,80,7
04021000033,04,021,000033,588,464,57,17,20,646,428,69,5
04021000034,04,021,000034,613,553,58,17,25,637,542,71,6
04021000035,04,021,000035,690,527,40,16,20,712,487,74,15
04021000036,04,021,000036,340.1,572.58,32.95,10.98,8.99,397.01,513.69,39.94,2.99
04021000037,04,021,000037,1094.94,775.58,85.13,16.63,21.47,1057.02,775.86,140.04,10.18
04021000038,04,021,000038,419.5,357.93,27.96,8.18,12.2,443.02,309.17,60.37,11.04
04021000039,04,021,000039,981.88,572.93,74.99,13,28,976.88,532.94,125.98,12
04021000040,04,021,000040,985.56,636.91,66.08,11.22,22.54,969.3,599.56,121.62,5.26
04021000041,04,021,000041,903.9,555.5,40.65,7.74,15.48,915.52,517.76,75.49,10.65
04021000042,04,021,000042,593,322,41,16,9,545,314,95,3
04021000043,04,021,000043,1012,530,63,21,18,925,536,151,15
04021000044,04,021,000044,1102,522,76,32,35,1054,511,151,16
04021000045,04,021,000045,1038.06,362.3,59.57,16.6,20.51,925.76,382.8,136.72,12.7
04021000046,04,021,000046,897,406,55,8,11,840,393,100,7
04021000047,04,021,000047,737.16,431.49,65.85,20.64,15.73,711.61,426.57,92.39,9.83
04021000048,04,021,000048,983.42,534.74,48.08,16.03,19.04,951.33,498.8,99.13,10.03
04021000049,04,021,000049,269,100,8,2,1,232,110,32,2
04021000050,04,021,000050,296.14,663.87,32.9,12.96,9.97,355.91,607.06,60.82,2.01
04021000051,04,021,000051,21.32,7,1.08,0.04,0.03,13.76,7.79,4.07,3.88
04021000052,04,021,000052,72,20,3,0,0,63,22,11,1
04021000053,04,021,000053,9.16,115.97,1.29,0.12,2.11,15.62,110.26,4.63,0.11
04021000054,04,021,000054,697.69,296.44,42.02,9.09,21.06,632.57,290.71,114.94,9.97
04021000055,04,021,000055,745.9,546.1,68.59,17.91,16.07,716.42,530.65,124.07,6.58
04021000056,04,021,000056,852,379,42,18,17,755,409,108,16
04021000057,04,021,000057,1202.46,560.51,50.08,17.02,12.03,1129.3,560.54,100.19,14.02
04021000058,04,021,000058,757.84,336.51,48.15,7.36,25.27,675.39,376.43,103.61,8.17
04021000059,04,021,000059,1088.43,548.81,76.23,30.05,32.11,1046.34,531.68,167.4,13.07
04021000060,04,021,000060,33.9,285.19,8.97,5.98,8.97,89.74,243.31,23.93,0
04021000061,04,021,000061,42.68,300.37,7.09,5.15,18.23,111.94,252.43,11.26,0.01
04021000062,04,021,000062,50.12,292.1,17.23,7.85,10.64,126.75,236.31,19.17,0.12
04021000063,04,021,000063,573,275,41,11,18,510,284,86,12
04021000064,04,021,000064,1223.57,633.19,52.77,11.95,23.89,1203.66,604.32,90.6,14.93
04021000066,04,021,000066,825,463,21,4,11,837,409,54,7
04021000067,04,021,000067,474.58,272.28,28.86,7.96,9.96,426.86,269.26,86.58,5.97
04021000068,04,021,000068,970,608,64,22,36,977,546,114,12
04021000069,04,021,000069,637,368,55,12,31,665,353,51,6
04021000070,04,021,000070,832.09,451.81,74.02,30.02,42.03,837.25,416.69,110.07,27
04021000071,04,021,000071,1029,378,88,21,50,1052,351,110,22
04021000072,04,021,000072,467.58,245.26,27.92,10.97,13.96,436.67,263.2,42.87,10.97
04021000073,04,021,000073,557.73,462.32,45.66,12.78,28.53,600.74,432.33,59.98,4.27
04021000074,04,021,000074,731.27,665.68,77.34,36.22,24.47,778.26,619.67,92.02,12.73
04021000075,04,021,000075,994.69,599.06,67.5,19.69,27.19,1022.81,531.56,107.81,13.12
04021000076,04,021,000076,1124,512,103,22,59,1126,478,147,19
04021000077,04,021,000077,48.79,203.21,7.75,5.73,5.8,79.68,170.07,13.76,0.29
04021000078,04,021,000078,856.2,709.09,83.15,33.05,29.09,893.56,656.74,118.28,19.01
04021000079,04,021,000079,990,721,77,14,53,1006,695,123,15
04021000080,04,021,000080,1621.27,1289.55,100.37,25.87,50.66,1634.24,1204.5,159.63,13.44
04021000081,04,021,000081,914,698,69,17,24,945,635,104,4
04021000082,04,021,000082,153.5,290.05,25.92,8.97,8.97,198.35,250.18,31.9,1.99
04021000083,04,021,000083,1109,735,84,22,30,1143,712,101,8
04021000084,04,021,000084,537,273,29,10,10,509,257,71,5
04021000085,04,021,000085,1005,559,81,26,48,1041,518,105,19
04021000086,04,021,000086,1194,743,101,32,57,1254,689,152,9
04021000087,04,021,000087,773,508,72,18,39,788,464,112,10
04021000088,04,021,000088,2376,967,150,28,115,2389,900,235,28
04021000089,04,021,000089,1331,549,98,15,48,1277,523,165,18
04021000090,04,021,000090,641,627,55,14,23,668,569,84,6
04021000091,04,021,000091,644.06,271.15,30.34,13.7,11.75,584.35,257.44,109.63,8.81
04021000092,04,021,000092,1496.17,1105.65,67.83,12.48,44.05,1544.15,1034.1,92.67,25.77
04021000093,04,021,000093,462.54,485.21,35.6,14.11,15.35,447.18,478.94,68.6,4.02
04021000094,04,021,000094,967,531,80,15,61,988,506,101,11
04021000095,04,021,000095,733,369,56,21,25,758,334,77,8
04021000096,04,021,000096,694,285,38,6,17,633,265,88,8
04021000097,04,021,000097,727.01,428,59,14,24,687.01,435,85,15
04021000098,04,021,000098,708.85,366.08,61.17,23.3,35.93,725.36,342.77,86.42,15.54
04021000099,04,021,000099,819,526,55,18,18,787,534,86,9
04021000100,04,021,000100,610.61,562.19,43.49,25.55,21.91,627.77,528.68,82.63,6.9
04021000101,04,021,000101,669.26,701.97,73.37,25.78,55.52,738.66,655.37,94.19,9.91
04021000102,04,021,000102,954,700,89,25,41,942,674,129,18
04021000103,04,021,000103,4.89,37.55,1.07,0.6,0.95,9.34,30.39,4.37,0.08
04021000104,04,021,000104,83.17,53.61,3.08,1.02,4.02,89.13,45.58,10.11,0.01
04021000105,04,021,000105,41.42,42.65,3.63,0.29,0.24,34.18,40.36,11.28,0.18
04023000001,04,023,000001,48.55,404.21,14.63,4.51,4.32,122.56,330.82,13.21,0
04023000002,04,023,000002,85.7,599.87,21.17,11.18,10.48,187.61,495.28,23.89,0.11
04023000003,04,023,000003,69.91,404.78,11.22,2.2,3.1,126.34,332.32,15.2,1
04023000004,04,023,000004,38.34,206.44,0.98,4.92,0.98,67.83,169.08,9.83,0
04023000005,04,023,000005,94.66,460.4,13.41,5.04,6.7,205.04,345.03,15.08,0.84
04023000006,04,023,000006,283.8,169.5,15.93,1.2,6.8,272.68,162.43,26.79,4.79
04023000007,04,023,000007,680.37,1270.86,61.2,46.1,34.5,845.33,1081.09,118.32,3.92
04023000008,04,023,000008,93.66,1054.56,20.02,14.08,16.02,306.17,834.92,28.17,2
04023000009,04,023,000009,59.1,163.96,7.46,0.14,1.11,88.88,133.54,3.32,0
04023000010,04,023,000010,83,475,15,8,6,166,393,16,0
04023000011,04,023,000011,502.34,716.25,30.02,14.01,13.01,560.31,644.22,35.04,8.02
04023000012,04,023,000012,34.97,278.82,6.8,5.83,0.97,85.49,219.56,8.74,0
04023000013,04,023,000013,83.45,160.25,12.33,3.79,2.85,104.3,148.87,8.54,0
04023000014,04,023,000014,211.65,374.52,21.91,12.94,4.92,219.3,365.88,30.75,1.19
04023000015,04,023,000015,427.1,251.08,20.33,8.22,9.05,379.46,259.88,32.44,20.93
04023000016,04,023,000016,27.61,163.36,3.07,2.3,3.07,55.22,128.85,6.14,1.53
04023000017,04,023,000017,323.78,1307.7,50.04,28.25,21.18,554.7,1085.11,55.03,3.98
04023000018,04,023,000018,93,328,8,8,1,143,274,16,0
04023000019,04,023,000019,230.69,1069.2,36.62,16.79,17.76,440.59,858.48,39.5,4.92
04023000020,04,023,000020,85.28,556.75,15.53,7.51,6.77,172.51,456.71,18.41,1.44
04023000021,04,023,000021,217.95,844.14,32.08,12.61,18.46,345.93,694.35,43.18,5.09
04023000022,04,023,000022,35.93,311.42,4.27,2.48,0.63,97.31,226.57,9.42,0.08
04023000023,04,023,000023,32.58,21.91,2.35,0.02,0.16,28.35,19.74,3.62,2.09
04023000024,04,023,000024,60.26,100.73,8.6,1.12,3.42,66.94,89.31,12.97,0.14
04025000001,04,025,000001,4196.29,1022.16,172.71,64.03,81.5,3782.22,1046.36,446.91,55.04
04025000002,04,025,000002,0,0,0,0,0,0,0,0,0
04025000003,04,025,000003,4056,1540,236,51,110,3851,1475,414,75
04025000004,04,025,000004,2798.28,2072.09,220,96.12,98.78,2829.58,1926.52,299.37,52.87
04025000005,04,025,000005,1992,1397,130,61,76,1985,1330,223,27
04025000008,04,025,000008,3956.05,2291.89,266.62,75.04,121.47,4107.07,2104.29,342.66,51.35
04025000010,04,025,000010,2665.06,820.59,100.88,25.41,56.08,2532.24,806.69,169.44,45.31
04025000012,04,025,000012,2640.12,1034.16,191.53,67.14,90.8,2493.63,1036.15,315.15,54.34
04025000013,04,025,000013,465.17,105.81,14.97,7.99,3.99,359.36,137.75,63.89,4.99
04025000014,04,025,000014,519.77,115.46,38.96,6.02,8.01,498.38,102.54,58.17,15.01
04025000015,04,025,000015,24.36,4.23,0.23,0.94,0.11,20.75,6.83,3,0.97
04025000016,04,025,000016,793.78,230.13,19.03,6.98,12.98,683.25,248.99,89.71,14.02
04025000017,04,025,000017,241.08,54.32,5.16,2.05,7.05,205.73,60.35,22.43,10.04
04025000018,04,025,000018,3028.87,2270.26,223.38,83.06,102.12,3141.86,2075.32,298.12,45.14
04025000019,04,025,000019,2717.8,1244.35,127.5,33.9,49.88,2587.17,1205.67,211.28,44.75
04025000020,04,025,000020,68.22,2.97,0.99,0,1.98,53.39,1.98,6.92,0
04025000021,04,025,000021,334.58,109.64,18.41,2.9,5.84,284.98,112.54,54.32,6.76
04025000027,04,025,000027,234.32,71.13,8.22,0.04,4.06,206.77,73.16,24.64,0.1
04025000028,04,025,000028,29.96,14.75,1.96,0.03,0.98,26.92,15.81,3.01,0.03
04025000029,04,025,000029,441,176,11,10,5,362,200,55,6
04025000030,04,025,000030,79.09,30.94,2.93,2.04,1.28,71.51,31.25,7.27,1.82
04025000031,04,025,000031,4403.31,1784.81,266.16,72.41,162.43,4219.35,1775.02,418.8,83.17
04025000033,04,025,000033,3470.57,1083.29,132.2,47.35,42.31,3075.98,1101.31,384.85,65.99
04025000035,04,025,000035,1761.73,2204.66,100.98,72.99,66.99,1896.71,2037.68,161.97,21
04025000036,04,025,000036,3321.47,2231.1,230.4,86.55,107.3,3301.6,2109.63,419.64,53.48
04025000037,04,025,000037,2841.61,1885.96,208.89,136.95,103.46,2846.51,1812.08,381.33,43.35
04025000039,04,025,000039,27.62,21.95,2.02,1.96,1.01,29.4,22.89,2.16,0.02
04025000040,04,025,000040,1057.18,761.74,81.57,44.43,30.43,1065.9,757.31,120.86,16
04025000041,04,025,000041,1673.7,2788.83,119.48,142.38,87.62,1815.08,2633.51,245.93,43.81
04025000043,04,025,000043,342.26,101.54,14.09,11.02,4.04,270.96,112.57,59.26,7.05
04025000045,04,025,000045,228.87,70.23,5.9,5.37,5.82,197.19,78.45,27.21,0.82
04025000046,04,025,000046,1817.42,519.45,76.83,43.51,41.48,1581.85,578.99,239.32,35.64
04025000049,04,025,000049,2556.97,1004.93,112.85,36.32,53.48,2409.4,997.81,208.58,26.46
04025000051,04,025,000051,4466.46,2109.49,269.96,60.35,155.13,4456.03,1989.9,361.12,52.5
04025000054,04,025,000054,3217.46,1191.12,163,47.62,74.84,2935.63,1229.65,379.33,43.69
04025000056,04,025,000056,1000.44,257.66,40.08,19.89,11.81,788.65,290.54,174.41,30.5
04025000057,04,025,000057,60.75,8.04,6.41,1.86,0.04,49.28,11.73,11.35,0.1
04025000066,04,025,000066,3682.86,864.5,154.21,45.03,63.13,3164.59,916.43,427.29,88.05
04025000077,04,025,000077,915.17,926.73,85.91,52.97,39.93,920.1,903.86,155.5,9.44
04025000090,04,025,000090,33.7,29.65,0.28,0.27,1.23,30.02,26.3,5.53,0.09
04025000091,04,025,000091,314.71,111.48,8.88,0.99,4.93,288.07,110.49,18.74,1.97
04025000105,04,025,000105,131.63,57.37,7.94,3.33,1.4,129.69,55.35,10.05,1.33
04025000109,04,025,000109,1289.16,677.56,73.95,39.97,21.99,1185.23,669.56,166.89,32.98
04025000114,04,025,000114,1480.57,287.74,44.8,17.3,26.38,1323.63,308.86,136.09,21.26
04025000115,04,025,000115,48.82,28.26,3.43,2.57,2.57,53.1,25.69,5.14,0
04027000P01,04,027,000P01,173.82,414.56,19.98,8.99,7.99,231.76,325.66,18.98,1
04027000P02,04,027,000P02,269.28,355.87,28.55,6.66,5.71,322.56,252.15,42.82,8.56
04027000P03,04,027,000P03,244.99,427.54,24.09,9.2,9.15,302.82,336.63,25.8,7.33
04027000P04,04,027,000P04,806,1168,91,30,29,1034,878,97,6
04027000P05,04,027,000P05,762.14,436.39,54.85,3.89,16.08,805.51,329.81,48.38,10.39
04027000P06,04,027,000P06,298.09,902.21,47.01,24.01,18.01,519.13,643.16,48.02,3
04027000P07,04,027,000P07,199,1351,39,36,24,517,948,45,4
04027000P08,04,027,000P08,515,267,24,5,6,478,232,71,2
04027000P09,04,027,000P09,1040.09,285.53,50.48,12.18,29.91,998.44,248.3,72.86,27.53
04027000P10,04,027,000P10,1446.68,784.63,90.42,24.14,44.13,1467.64,648.93,128.63,19.07
04027000P11,04,027,000P11,963,467,95,33,31,969,415,106,20
04027000P12,04,027,000P12,948.56,449.35,51.55,17.85,15.86,943.66,362.05,77.32,8.92
04027000P13,04,027,000P13,373.95,543.45,24.05,15.02,14.02,466.94,408.36,41.08,9.01
04027000P14,04,027,000P14,186,142,15,13,3,206,100,27,3
04027000P15,04,027,000P15,944,595,70,19,34,973,471,120,13
04027000P16,04,027,000P16,623.77,484.08,56.66,12.93,17.01,657.05,397.89,62.76,10.08
04027000P17,04,027,000P17,1292.48,579.97,80.72,14.95,31.89,1225.71,529.15,123.57,14.95
04027000P18,04,027,000P18,135.61,29.31,11.42,1.09,2.15,128.09,33.05,10.73,0.1
04027000P19,04,027,000P19,71.53,40.2,4.02,3,2.01,71.47,31.2,7.05,0.01
04027000P20,04,027,000P20,1030.38,420.52,45.84,12.95,12.95,931.72,396.61,98.65,14.95
04027000P21,04,027,000P21,3.88,2.43,0.2,0.05,0.03,3.59,2.14,0.41,0.05
04027000P22,04,027,000P22,1020,517,65,28,20,928,474,146,24
04027000P23,04,027,000P23,985,418,54,10,14,866,415,96,18
04027000P24,04,027,000P24,2517,855,105,21,36,2158,883,256,34
04027000P25,04,027,000P25,1502,519,67,13,29,1402,469,131,25
04027000P26,04,027,000P26,88,231,14,7,6,151,162,17,0
04027000P27,04,027,000P27,285,276,17,7,6,307,216,27,3
04027000P28,04,027,000P28,107.05,260.03,6.02,6.01,11,153.27,185.73,13.02,4
04027000P29,04,027,000P29,93.95,1832.97,30.98,19.99,8,480.73,1306.27,43.98,0
04027000P30,04,027,000P30,125,1651,42,22,6,423,1246,43,4
04027000P31,04,027,000P31,175,2104,39,28,5,604,1512,53,4
04027000P32,04,027,000P32,210.91,467.79,23.99,11.99,16.99,286.87,360.84,33.98,2
04027000P33,04,027,000P33,224.19,165.92,11.85,2.96,0,206.41,144.19,24.69,3.95
04027000P34,04,027,000P34,338.93,109.65,16.95,4.98,7.97,317,103.67,32.9,1
04027000P35,04,027,000P35,598.52,435.06,44.66,15.51,17.32,650.03,344.19,43.77,10.05
04027000P36,04,027,000P36,744.01,724.69,73.9,14.78,23.95,803.23,569.59,72.13,14.2
04027000P37,04,027,000P37,383.56,664.56,49.36,16.07,20.12,484.84,533.79,56.35,6.07
04027000P38,04,027,000P38,589.44,621.68,43.43,35.52,27.6,650.85,510.25,73.15,14.52
04027000P39,04,027,000P39,685.21,545.61,53.02,19.27,22.17,700.67,418.38,79.98,19.27
04027000P40,04,027,000P40,606.63,495,51.24,16.47,16.47,606.63,419.06,80.52,4.57
04027000P41,04,027,000P41,804,628,60,23,30,919,483,54,17
04027000P42,04,027,000P42,739.37,929,80.76,23.53,40.53,920.37,701.94,88.48,10.43
04027000P43,04,027,000P43,14,8,0,0,0,18,4,0,0
