GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSRMCC,G16USSDKIR,G16USSGSWI,G16USSOWRI
04015000212,04,015,000212,5966.6,1941.48,232.62,81.52,59.65,5101.73,2012.06,782.36,101.4
04015000213,04,015,000213,1013.27,244.21,46.82,8.61,15.69,832.11,289.16,139.48,19.73
04015000214,04,015,000214,82.4,16.36,2.08,1.01,1.02,62.2,21.43,11.2,9.88
04015000215,04,015,000215,2376.35,816.46,183.96,53.11,53.13,2134.12,894.27,300.13,32.52
04015000216,04,015,000216,3146.25,938.13,178.24,45.3,50.38,2676.31,1038.16,433.47,78.52
04015000217,04,015,000217,4054.87,1242.42,246.6,58.76,78.74,3535.61,1377.49,479.18,99.41
04015000218,04,015,000218,4507.89,1200.35,289.52,70.43,88.25,3818.57,1443.19,579.25,120.98
04015000219,04,015,000219,5377.63,1331.7,192.1,49.03,60.03,4711.33,1464.78,440.23,125.06
04015000220,04,015,000220,13991.85,3730.43,531.35,144.82,181.78,12372.83,4122.95,1235.49,298.63
04015000221,04,015,000221,685.44,236.01,28.96,4.2,17.31,575.65,275.29,70.59,11.15
04015000222,04,015,000222,597.48,190.38,6.79,11.59,11.59,494.99,220.34,68.65,9.68
04015000223,04,015,000223,34.42,27.54,3.93,0.98,2.95,36.39,25.57,4.92,0
04015000224,04,015,000224,26.62,183.2,4.73,3.78,3.78,68.12,143.56,7.57,0
04017000001,04,017,000001,55.37,133.26,7.2,5.52,6.07,60.56,134.89,10.63,0.63
04017000002,04,017,000002,21.07,157.77,9.67,6.69,7.58,27.84,172.93,5.52,0.28
04017000003,04,017,000003,1166.42,131.11,42.83,13.18,52.68,968.15,198.77,150.06,20.29
04017000004,04,017,000004,84.25,630.79,38.65,26.76,30.3,111.29,691.39,22.09,1.13
04017000005,04,017,000005,384.95,384.2,24.74,11.41,14.72,369.38,387.3,44.25,6.93
04017000006,04,017,000006,310.52,55.47,9.85,2.07,16.59,264.39,67.39,35.77,6.22
04017000007,04,017,000007,192.6,463.8,25.04,19.22,21.12,210.65,469.51,36.98,2.18
04017000008,04,017,000008,52.05,389.75,23.88,16.53,18.72,68.76,427.19,13.65,0.7
04017000009,04,017,000009,536.75,251.62,42.06,15.68,44.91,516.43,260.53,79.48,7.48
04017000010,04,017,000010,26.86,105.56,6.12,3.91,1.7,26.35,114.4,5.78,0.34
04017000011,04,017,000011,65.94,493.75,30.26,20.95,23.72,87.11,541.18,17.29,0.89
04017000012,04,017,000012,368.4,97.39,17.25,5.01,8.35,320.54,109.07,45.08,3.9
04017000013,04,017,000013,472.22,471.3,30.35,14,18.05,453.12,475.1,54.29,8.5
04017000014,04,017,000014,369.37,41.49,13.56,4.17,16.69,306.62,62.91,47.51,6.42
04017000015,04,017,000015,507.16,56.96,18.62,5.73,22.92,421,86.38,65.23,8.81
04017000016,04,017,000016,339.38,338.72,21.81,10.06,12.97,325.65,341.45,39.01,6.11
04017000017,04,017,000017,37.08,145.74,8.45,5.4,2.35,36.38,157.95,7.98,0.47
04017000018,04,017,000018,113.9,48.17,6.12,2.09,6.1,104.99,50.2,11.17,3.01
04017000019,04,017,000019,55.04,216.35,12.54,8.01,3.48,54,234.46,11.85,0.7
04017000020,04,017,000020,23.9,278.17,8.28,21.09,11.02,19.35,316.7,11.01,0.92
04017000021,04,017,000021,405.31,404.53,26.05,12.01,15.49,388.92,407.78,46.59,7.3
04017000022,04,017,000022,49.43,415.8,11.66,10.24,15.3,56.83,450.18,9.34,0
04017000023,04,017,000023,67.69,162.9,8.8,6.75,7.42,74.03,164.89,13,0.77
04017000024,04,017,000024,33.77,252.81,15.49,10.73,12.14,44.6,277.1,8.85,0.45
04017000025,04,017,000025,675.23,75.84,24.79,7.63,30.51,560.52,115.01,86.84,11.74
04017000026,04,017,000026,3.64,14.3,0.83,0.53,0.23,3.57,15.5,0.78,0.05
04017000027,04,017,000027,18.37,72.19,4.18,2.67,1.16,18.02,78.24,3.95,0.23
04017000028,04,017,000028,147.61,26.37,4.68,0.99,7.89,125.67,32.03,17,2.96
04017000029,04,017,000029,90.62,218.08,11.78,9.04,9.93,99.11,220.75,17.4,1.03
04017000030,04,017,000030,55.07,132.54,7.16,5.49,6.04,60.23,134.16,10.57,0.62
04017000031,04,017,000031,143.78,28.07,4.66,1.03,7.64,122.73,33.5,16.56,2.87
04017000032,04,017,000032,140.8,1054.19,64.6,44.72,50.64,185.99,1155.47,36.91,1.89
04017000033,04,017,000033,72.59,174.71,9.44,7.24,7.96,79.4,176.85,13.94,0.82
04017000034,04,017,000034,94.36,706.55,43.3,29.97,33.94,124.66,774.43,24.74,1.27
04017000035,04,017,000035,550.27,141.2,25.06,6.87,17.28,489.17,154.47,56.41,8.81
04017000036,04,017,000036,1207.6,309.87,54.99,15.07,37.92,1073.51,339,123.8,19.34
