GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDKEL,G20USSRMCS
04019000074,04,019,000074,1106.7,957.5,12.2,1103.4,979.6
04019000075,04,019,000075,2060,551,57,2068,585
04019000076,04,019,000076,265.5,16.1,5,255.5,33.1
04019000077,04,019,000077,1127,1232,23,1136,1235
04019000078,04,019,000078,1365,274,16,1352,304
04019000079,04,019,000079,1292,1550,48,1318,1544
04019000080,04,019,000080,1603,430,19,1612,438
04019000081,04,019,000081,465,550,16,475,536
04019000082,04,019,000082,1585,368,20,1603,366
04019000083,04,019,000083,634,1040,18,647,1035
04019000084,04,019,000084,2327,2735,37,2317,2779
04019000085,04,019,000085,870,479,21,877,478
04019000086,04,019,000086,2287,764,32,2334,740
04019000087,04,019,000087,394,135,8,383,141
04019000088,04,019,000088,1683,954,21,1663,1007
04019000089,04,019,000089,1908,748,34,1939,742
04019000090,04,019,000090,659,750,34,668,764
04019000091,04,019,000091,1845,706,44,1888,703
04019000092,04,019,000092,1772,1098,45,1760,1134
04019000093,04,019,000093,1427,481,32,1457,467
04019000094,04,019,000094,1674,477,36,1683,496
04019000095,04,019,000095,589,650,34,580,684
04019000096,04,019,000096,1610,520,37,1629,526
04019000097,04,019,000097,1236,388,24,1258,387
04019000098,04,019,000098,1724,658,44,1750,643
04019000099,04,019,000099,1514.4,597.9,24.7,1510.8,622.8
04019000100,04,019,000100,1571,699,43,1602,704
04019000101,04,019,000101,796.3,756.1,16.1,818.3,746
04019000102,04,019,000102,1340,683,26,1389,635
04019000103,04,019,000103,811,277,8,807,282
04019000104,04,019,000104,1852,1706,51,1842,1740
04019000105,04,019,000105,892.2,488.1,33.6,903.1,473.3
04019000106,04,019,000106,749.1,547.9,16.9,730.2,580.7
04019000107,04,019,000107,1937.9,888.1,35.1,1963.8,866.3
04019000108,04,019,000108,2453,1123,74,2490,1128
04019000109,04,019,000109,2016,2597,68,2043,2619
04019000110,04,019,000110,1148,122,18,1098,147
04019000111,04,019,000111,1221,607,29,1236,594
04019000112,04,019,000112,1603,1033,22,1579,1077
04019000113,04,019,000113,1532,921,48,1554,917
04019000114,04,019,000114,398,382.4,32.1,418.5,367
04019000115,04,019,000115,2042.2,2164.7,66.2,2066.9,2190.6
04019000116,04,019,000116,2127,1500,52,2184,1460
04019000117,04,019,000117,1391,811,27,1407,810
04019000118,04,019,000118,1601,976,38,1604,1006
04019000119,04,019,000119,1176,689,36,1204,695
04019000120,04,019,000120,1530,970,55,1587,952
04019000121,04,019,000121,913,699,24,917,717
04019000122,04,019,000122,1046,762,37,1073,749
04019000123,04,019,000123,2135,1476,74,2205,1431
04019000124,04,019,000124,693,599,26,722,586
04019000125,04,019,000125,1112.6,752.5,18.6,1116.5,772.1
04019000126,04,019,000126,721.7,725.2,25,716.6,749.3
04019000127,04,019,000127,3275.6,3896.5,59,3260.8,3952.5
04019000128,04,019,000128,1149,917,32,1159,922
04019000129,04,019,000129,1115,729,31,1144,722
04019000130,04,019,000130,1690,1408,75,1757,1394
04019000131,04,019,000131,1002,821,30,995,857
04019000132,04,019,000132,1386,1278,35,1419,1260
04019000133,04,019,000133,1701,1291,52,1745,1278
04019000134,04,019,000134,900,946,32,928,929
04019000135,04,019,000135,145,5,3,146,5
04019000136,04,019,000136,110.2,7.9,1,106.3,12.8
04019000137,04,019,000137,97.8,5.4,0,90.9,9.3
04019000138,04,019,000138,370.4,15.9,3,359.5,32.8
04019000139,04,019,000139,239.6,155.5,6.4,256.1,141.8
04019000140,04,019,000140,272.4,338,7.8,275.3,343.9
04019000141,04,019,000141,2128,1819,23,2152,1809
04019000142,04,019,000142,1597.4,1446.2,54.3,1607.6,1443.2
04019000143,04,019,000143,745,77,10,759,70
04019000144,04,019,000144,1561.2,626.6,31,1616.1,579.6
04019000145,04,019,000145,2499,2348,48,2480,2427
04019000146,04,019,000146,1384.9,1079.1,35.4,1395.1,1080.1
04019000147,04,019,000147,1107,1126,33,1155,1102
04019000148,04,019,000148,1134,865,37,1136,888
04019000149,04,019,000149,1208,764,29,1214,777
04019000150,04,019,000150,510,464,13.6,524.3,452
04019000151,04,019,000151,504.6,282.7,5.3,501.9,288.3
04019000152,04,019,000152,555,161,12,564,147
04019000153,04,019,000153,2125,936,55,2140,944
04019000154,04,019,000154,1033,367,35,1062,343
04019000155,04,019,000155,761,356,11,786,330
04019000156,04,019,000156,938.2,727.2,34,958.2,709.2
04019000157,04,019,000157,1740.7,547.9,36.1,1788.9,505.8
04019000158,04,019,000158,1082,608,21,1067,635
04019000159,04,019,000159,2261,662,40,2336,603
04019000160,04,019,000160,998,204,8,1005,182
04019000161,04,019,000161,301,466,4,308,459
04019000162,04,019,000162,974,580,23,983,590
04019000163,04,019,000163,1216,807,25,1183,851
04019000164,04,019,000164,1732.3,434.8,31.3,1720.6,469.1
04019000165,04,019,000165,94,214,5,97,214
04019000166,04,019,000166,2033,447,45,2062,446
04019000167,04,019,000167,1274,273,20,1266,286
04019000168,04,019,000168,367.7,440.3,7,361.7,450.3
04019000169,04,019,000169,1883.1,1884.3,33,1837.6,1937.7
04019000170,04,019,000170,1522.7,690.2,26.7,1513.4,720.9
04019000171,04,019,000171,1479,1033,27,1443,1090
04019000172,04,019,000172,1660.5,1883.2,37.3,1639,1934.3
04019000173,04,019,000173,1287,1295,32,1291,1310
04019000174,04,019,000174,1792,1145,36,1798,1145
04019000175,04,019,000175,1128.1,1685,53.8,1193.6,1640
04019000176,04,019,000176,736,897,32,778,880
04019000177,04,019,000177,1628,1530,67,1706,1485
04019000178,04,019,000178,1218,1158,33,1221,1179
04019000179,04,019,000179,1516,1721,27,1508,1745
04019000180,04,019,000180,1592,1340,46,1609,1347
04019000181,04,019,000181,1569,1586,50,1586,1614
04019000182,04,019,000182,1658,1518,60,1684,1524
04019000183,04,019,000183,1066.8,1055.8,39,1080.8,1058.8
04019000184,04,019,000184,1131,1633,41,1129,1665
04019000185,04,019,000185,801,813,20,812,804
04019000186,04,019,000186,146,137,3,144,144
04019000187,04,019,000187,1576,1600,31,1598,1595
04019000188,04,019,000188,967.6,1447.4,23.9,1002.4,1418.5
04019000189,04,019,000189,997,421,28,1000,431
04019000190,04,019,000190,1011,346,22,1044,323
04019000191,04,019,000191,487.1,494.9,16.6,496.8,494.9
04019000192,04,019,000192,1395,1287,48,1444,1276
04019000193,04,019,000193,732.3,701.5,4.8,724.6,703.4
04019000194,04,019,000194,1462,1572,37,1461,1590
04019000195,04,019,000195,786,1095,14,791,1091
04019000196,04,019,000196,8,3,0,8,3
04019000197,04,019,000197,976,981,26,1005,962
04019000198,04,019,000198,699,1195,27,699,1204
04019000199,04,019,000199,1141,1317,35,1120,1358
04019000200,04,019,000200,487.4,685.5,14.7,465.4,710
04019000201,04,019,000201,1463,1218,49,1475,1231
04019000202,04,019,000202,1455.7,1433.9,34.7,1480.4,1436.8
04019000203,04,019,000203,769,464,19,809,432
04019000204,04,019,000204,84,364,4,93,354
04019000205,04,019,000205,1286,1350,26,1291,1377
04019000206,04,019,000206,183.7,259,8.6,187.2,260.8
04019000207,04,019,000207,1552.6,1141.8,21.4,1543,1161.6
04019000208,04,019,000208,577,651,15,619,611
04019000209,04,019,000209,1268,1361,22,1307,1322
04019000210,04,019,000210,1481,614,26,1461,646
04019000211,04,019,000211,1187,822,9,1158,851
04019000212,04,019,000212,701,747,19,705,746
04019000213,04,019,000213,199,153,4,196,155
04019000214,04,019,000214,1666,941,37,1638,985
04019000215,04,019,000215,543,708,22,571,689
04019000216,04,019,000216,1057,1150,40,1079,1148
04019000217,04,019,000217,2026.2,1929.6,77.7,2044.1,1948.5
04019000218,04,019,000218,2342,1845,94,2301,1942
04019000219,04,019,000219,1092.5,1117,48,1126.8,1106.2
04019000220,04,019,000220,1451,1439,43,1458,1468
04019000221,04,019,000221,613.4,1396.3,30.9,641.3,1374.3
04019000222,04,019,000222,579.5,1051,29.7,623.1,1005.5
04019000223,04,019,000223,555,578,30,570,589
04019000224,04,019,000224,1936,2131,77,1978,2119
04019000225,04,019,000225,1980,1728,72,2040,1700
04019000226,04,019,000226,438,417,16,450,417
04019000227,04,019,000227,2297,2515,112,2401,2490
04019000228,04,019,000228,620,501,12,631,497
04019000229,04,019,000229,1494,2580,85,1533,2600
04019000230,04,019,000230,590,307,9,604,303
04019000231,04,019,000231,1927,1893,70.1,1966.1,1890.1
04019000232,04,019,000232,842,519.9,26.4,858.4,517.5
04019000233,04,019,000233,1945,1255,39,1982,1198
04019000234,04,019,000234,1195,661,20,1222,637
04019000235,04,019,000235,1445,499,19,1474,471
04019000236,04,019,000236,635,119.4,5,635,122.4
04019000237,04,019,000237,1094,553,15,1094,566
04019000238,04,019,000238,1593,948,25,1576,982
04019000239,04,019,000239,2214,1233,28,2210,1257
04019000240,04,019,000240,37.4,64.9,0,38.4,62.9
04019000241,04,019,000241,1049.7,767.2,15.3,1016.8,813.5
04019000242,04,019,000242,951.4,1005.2,39.4,974.4,1016.8
04019000243,04,019,000243,775,1004,21,771,1026
04019000244,04,019,000244,426,109,4,444,97
04019000245,04,019,000245,1147,225,16,1163,218
04019000246,04,019,000246,1468,188,20,1488,189
04019000247,04,019,000247,281.5,71.3,3.4,286,68.9
04019000248,04,019,000248,575,163,6,593,141
04019000249,04,019,000249,762,1277,55,783,1292
04021000001,04,021,000001,439.9,658.2,26.1,486.3,616.6
04021000004,04,021,000004,257.3,191.3,7.9,269.2,186.3
04021000005,04,021,000005,674.6,884.1,35,713.6,859.1
04021000006,04,021,000006,412,205,7,426,191
04021000007,04,021,000007,1141.1,1425.4,26.6,1163.7,1434.2
04021000008,04,021,000008,1058,1201.6,20.1,1038.7,1255.9
04021000009,04,021,000009,633,1083,18,695,1015
04021000010,04,021,000010,633,1188,28,679,1146
04021000011,04,021,000011,71.3,163.4,4,81.2,161.4
04021000012,04,021,000012,436,162,12,461,140
04021000013,04,021,000013,1043.4,1315.3,33.6,1089.6,1292.7
04021000014,04,021,000014,493,211,9,517,182
04021000015,04,021,000015,1166.4,1515.4,13.2,1134.4,1565.7
04021000016,04,021,000016,728.6,1467.2,36.6,771.8,1439.4
04021000017,04,021,000017,434.2,465,13.3,472.4,419.1
04021000018,04,021,000018,947,1283,56,1000,1250
04021000019,04,021,000019,585,623,24,646,574
04021000020,04,021,000020,171.4,410.5,8.9,197.2,387.8
04021000021,04,021,000021,265,569,8,284,547
04021000022,04,021,000022,194,459,13,214,447
04021000023,04,021,000023,535.3,957.9,20.2,599.7,886.5
04021000024,04,021,000024,466.1,744.6,24.1,516,697
04021000025,04,021,000025,304,1022.7,14.2,333.8,991.6
04021000026,04,021,000026,1084.2,1775.1,38.5,1135.1,1745.4
04021000027,04,021,000027,2195.5,3759.3,89.6,2346.4,3630.8
04021000028,04,021,000028,2041,3460,64,2123,3399
04021000029,04,021,000029,496.4,66.7,13.7,480.7,91.2
04021000030,04,021,000030,1482.5,1436.8,49.5,1530.3,1403.2
04021000031,04,021,000031,127.1,187.3,3,135.1,182.4
04021000032,04,021,000032,676,673,20,723,632
04021000033,04,021,000033,689,723,23,725,684
04021000034,04,021,000034,745,757,31,796,720
04021000035,04,021,000035,889,1072,27,944,1024
04021000036,04,021,000036,743.1,532.7,17,791,486.8
04021000037,04,021,000037,1082.1,1510.4,32.2,1160.8,1450.3
04021000038,04,021,000038,446.8,606.9,13.4,479.7,569.3
04021000039,04,021,000039,1036.9,1395.8,41,1109.9,1348.8
04021000040,04,021,000040,900,1244,47.5,983.7,1186.7
04021000041,04,021,000041,882.6,1421.7,17.4,949.4,1371.3
04021000042,04,021,000042,538,898,25,594,849
04021000043,04,021,000043,796,1319,30,872,1238
04021000044,04,021,000044,786,1490,35,874,1411
04021000045,04,021,000045,549.8,1382.8,37.1,624,1317.3
04021000046,04,021,000046,597,1250,20,640,1198
04021000047,04,021,000047,632,1015.3,27.5,700.8,953.4
04021000048,04,021,000048,938,1457.9,22,974,1425.9
04021000049,04,021,000049,137,364,2,145,354
04021000050,04,021,000050,734.6,407.8,13.9,758.6,382.9
04021000051,04,021,000051,6.3,27.5,0,6.3,27.4
04021000052,04,021,000052,28,84,2,33,78
04021000053,04,021,000053,144.1,17,1.1,139.3,21.7
04021000054,04,021,000054,411.2,912.6,14.1,441.1,876.8
04021000055,04,021,000055,686,996.8,14.2,742.2,937.8
04021000056,04,021,000056,607,1215,30,666,1146
04021000057,04,021,000057,703.8,1432,22,734.9,1398.8
04021000058,04,021,000058,452,1067.7,25.5,485.2,1020.6
04021000059,04,021,000059,897,1476.7,42.1,979.1,1403.6
04021000060,04,021,000060,413.8,44.9,4,396.9,63.8
04021000061,04,021,000061,429.4,64,7.2,417.2,77.4
04021000062,04,021,000062,424.5,72.5,5,417,79.9
04021000063,04,021,000063,417,701,17,451,672
04021000064,04,021,000064,890,1500.3,14.9,920.9,1484.4
04021000066,04,021,000066,511,877,8,520,886
04021000067,04,021,000067,374.9,683.5,21.9,390.8,672.6
04021000068,04,021,000068,1279,1849,47,1324,1825
04021000069,04,021,000069,570,856,35,598,846
04021000070,04,021,000070,1133.2,2078.1,74,1211.1,2021.2
04021000071,04,021,000071,597,1379,35,639,1360
04021000072,04,021,000072,323,638.1,14,339,628.1
04021000073,04,021,000073,734.8,736.5,20.7,746.2,734.3
04021000074,04,021,000074,1104.2,1047.5,34.3,1124.8,1035.7
04021000075,04,021,000075,888.8,1395.9,52.5,946.9,1371.6
04021000076,04,021,000076,851,1583,51,932,1523
04021000077,04,021,000077,318.9,88.7,8.4,318,91.7
04021000078,04,021,000078,1056,1203.6,38,1109,1167.6
04021000079,04,021,000079,1200,1240,49,1225,1244
04021000080,04,021,000080,2562.3,2919.2,68.3,2651.6,2869.6
04021000081,04,021,000081,1012,1176,19,1051,1134
04021000082,04,021,000082,374.8,263.1,14.9,396.7,247.2
04021000083,04,021,000083,970,1443,45,1045,1386
04021000084,04,021,000084,382,604,16,381,617
04021000085,04,021,000085,883,1460,50,949,1411
04021000086,04,021,000086,1474,2337,95,1586,2277
04021000087,04,021,000087,910,1149,35,969,1104
04021000088,04,021,000088,1929,4435,87,2015,4369
04021000089,04,021,000089,806,1920,54,867,1877
04021000090,04,021,000090,1015,812,37,1030,818
04021000091,04,021,000091,416,836.9,23.5,460.1,803.6
04021000092,04,021,000092,1493.6,1766.7,23,1484.9,1796.6
04021000093,04,021,000093,628.3,607.1,13.1,663.9,578.6
04021000094,04,021,000094,976,1496,27,1032,1446
04021000095,04,021,000095,760,1389,32,797,1353
04021000096,04,021,000096,439,1174,18,462,1160
04021000097,04,021,000097,935,1339,36,978,1302
04021000098,04,021,000098,611.8,1141,25.2,663.2,1093.4
04021000099,04,021,000099,790,1200,30,868,1131
04021000100,04,021,000100,1254.1,1124.3,41.3,1276.1,1103.5
04021000101,04,021,000101,1086.7,936,50.6,1148.1,897.3
04021000102,04,021,000102,1481,1617,59,1539,1601
04021000103,04,021,000103,50.3,10.3,0.6,50,11.6
04021000104,04,021,000104,80.7,139.6,0,84.8,134.6
04021000105,04,021,000105,59.7,74.4,2.5,64.6,67.8
04023000001,04,023,000001,416.6,97,7.1,426.8,84.4
04023000002,04,023,000002,593.5,153.7,9.7,611.6,138.3
04023000003,04,023,000003,393.2,131.5,7,404.5,122.9
04023000004,04,023,000004,184.8,57,3.9,193.7,47.2
04023000005,04,023,000005,580.6,182.7,5.9,579.9,185.9
04023000006,04,023,000006,212.3,339.7,11.6,216.3,344.3
04023000007,04,023,000007,1662.8,1029,26.7,1725.6,956.6
04023000008,04,023,000008,1072.2,285,11.1,1133.3,212.8
04023000009,04,023,000009,180.3,83.8,3.1,191.8,77.5
04023000010,04,023,000010,491,158,13,524,129
04023000011,04,023,000011,1008.3,605.4,15,1010.3,612.4
04023000012,04,023,000012,301.2,78.7,2.9,313.8,64.1
04023000013,04,023,000013,168.8,102.4,3.8,182.1,92.9
04023000014,04,023,000014,466.8,242.8,7.9,478.9,232
04023000015,04,023,000015,297.6,527.2,16.1,308.8,528
04023000016,04,023,000016,157.2,62.9,2.3,166.4,52.1
04023000017,04,023,000017,1443.2,644.2,28.9,1525.6,570.5
04023000018,04,023,000018,317,140,4,339,123
04023000019,04,023,000019,1212,508.4,9.9,1297.8,423.7
04023000020,04,023,000020,551,150.5,3.6,571.3,126.8
04023000021,04,023,000021,1003,415.9,22.6,1052.8,366.3
04023000022,04,023,000022,280.7,98.3,3.5,289.7,93.5
04023000023,04,023,000023,30.8,33.9,0.3,29.9,35
04023000024,04,023,000024,118.4,74.1,4.4,120.6,73.9
04025000001,04,025,000001,1601,5728.4,84.4,1700.1,5641.8
04025000002,04,025,000002,0,0,0,0,0
04025000003,04,025,000003,2250,5132,91,2383,5012
04025000004,04,025,000004,2810.2,3245.7,134.8,2902.4,3224
04025000005,04,025,000005,1888,2512,76,1937,2514
04025000008,04,025,000008,2947.6,4847.8,119.5,3019.7,4873.4
04025000010,04,025,000010,1161.2,3301.4,53.9,1186.9,3326.3
04025000012,04,025,000012,1552.7,3158.6,105.6,1679.2,3067.7
04025000013,04,025,000013,152.7,636.9,8,164.7,625.9
04025000014,04,025,000014,140.6,657.2,21,156.6,659.1
04025000015,04,025,000015,14.8,23.7,1,14.9,25.4
04025000016,04,025,000016,280.4,1043.9,7.1,289.4,1030.1
04025000017,04,025,000017,270.3,731.3,9,271.4,738.1
04025000018,04,025,000018,2919,3547.7,85.2,2972.2,3533.5
04025000019,04,025,000019,1830.2,3773.6,68.7,1889.1,3774.3
04025000020,04,025,000020,2,75.2,0,3,75.2
04025000021,04,025,000021,145.5,473,9.7,156.2,460.4
04025000027,04,025,000027,87.6,272.1,8.1,96.7,263
04025000028,04,025,000028,16,37.7,0,18,33.8
04025000029,04,025,000029,194,554,6,216,539
04025000030,04,025,000030,37.2,105.2,1.8,39,104.2
04025000031,04,025,000031,2929.7,6083.4,155.6,3130.3,5937.6
04025000033,04,025,000033,1642.3,4689,68.2,1771.5,4569.1
04025000035,04,025,000035,2788.6,2009.7,58,2816.6,2013.7
04025000036,04,025,000036,3158.9,4192,113,3273.2,4109.6
04025000037,04,025,000037,2628.9,3464.4,109.4,2774.8,3363.9
04025000039,04,025,000039,21.5,42.5,0.1,24.4,40.6
04025000040,04,025,000040,1002.9,1383.6,39.3,1036.7,1366.9
04025000041,04,025,000041,3408.1,2108.8,63.7,3472.8,2080.9
04025000043,04,025,000043,125.8,431.9,11.1,140.9,425.8
04025000045,04,025,000045,113.3,277.1,3.1,113.2,275
04025000046,04,025,000046,807.2,2314.8,41.2,914.8,2218.3
04025000049,04,025,000049,1364.2,3135.3,57.5,1438,3085.1
04025000051,04,025,000051,2926.2,5456.1,134.5,3021.2,5445.2
04025000054,04,025,000054,1742.2,4196.5,87.9,1859,4080.5
04025000056,04,025,000056,355.8,1274.1,25.8,385.5,1248.3
04025000057,04,025,000057,14.6,71.5,1.9,16.5,69.7
04025000066,04,025,000066,1246.1,4556.2,102.1,1385.1,4427.3
04025000077,04,025,000077,1295.9,1185.6,43,1351.1,1150.8
04025000090,04,025,000090,42.1,33.8,1.1,41.3,34.7
04025000091,04,025,000091,127.3,440,4.9,130.2,439
04025000105,04,025,000105,76.2,174.8,4.6,73.8,182.4
04025000109,04,025,000109,923.4,1650.9,43,1005.4,1596
04025000114,04,025,000114,562.4,2571.7,32.4,588.9,2566.3
04025000115,04,025,000115,35.1,57.4,1.7,34.3,59.1
04027000P01,04,027,000P01,509.5,259.7,13,553.4,215.8
04027000P02,04,027,000P02,507.2,369.2,14.3,540.5,338.7
04027000P03,04,027,000P03,563.2,398.7,12.5,584.6,375.5
04027000P04,04,027,000P04,1515,1208,50,1616,1138
04027000P05,04,027,000P05,712.6,1161.7,22,731.8,1159.6
04027000P06,04,027,000P06,1060.2,580.1,22,1134.3,518.1
04027000P07,04,027,000P07,1554,556,25,1620,476
04027000P08,04,027,000P08,427,635,15,438,634
04027000P09,04,027,000P09,496.4,1513.9,47.2,532.5,1510.8
04027000P10,04,027,000P10,1547.8,2525.2,74.2,1609.9,2491.2
04027000P11,04,027,000P11,728,1234,49,782,1205
04027000P12,04,027,000P12,594.1,1132,30.7,604.1,1138.9
04027000P13,04,027,000P13,735.6,532.1,28,770.6,504.1
04027000P14,04,027,000P14,207,219,5,213,210
04027000P15,04,027,000P15,854,1127,48,913,1092
04027000P16,04,027,000P16,693,762.4,44.8,740.7,743.6
04027000P17,04,027,000P17,889.9,1831.6,44.8,939.7,1798.7
04027000P18,04,027,000P18,57.8,223.7,5.2,62.1,217.4
04027000P19,04,027,000P19,55.2,62.8,0,57.3,56.8
04027000P20,04,027,000P20,539.1,1443.9,23.9,599.9,1383.1
04027000P21,04,027,000P21,3,5.1,0.1,3.1,5
04027000P22,04,027,000P22,864,1512,47,925,1479
04027000P23,04,027,000P23,611,1301,20,643,1279
04027000P24,04,027,000P24,1396,3633,56,1486,3545
04027000P25,04,027,000P25,780,1975,33,814,1954
04027000P26,04,027,000P26,353,218,9,373,197
04027000P27,04,027,000P27,394,355,10,407,348
04027000P28,04,027,000P28,310,178.3,7,333,158.2
04027000P29,04,027,000P29,1783,469.7,40,1858,399.8
04027000P30,04,027,000P30,1498,482,22,1589,391
04027000P31,04,027,000P31,2421,865,36,2558,711
04027000P32,04,027,000P32,566.8,346.9,9,585.7,320.9
04027000P33,04,027,000P33,189.6,282.5,4,197.5,274.6
04027000P34,04,027,000P34,181.4,480.5,8,186.4,477.5
04027000P35,04,027,000P35,569.1,730.2,31.8,602.9,711.8
04027000P36,04,027,000P36,912.8,949.9,34.5,963.4,913
04027000P37,04,027,000P37,854.5,569.6,25.2,896.7,523.4
04027000P38,04,027,000P38,816.5,752.5,32.8,849.5,730.1
04027000P39,04,027,000P39,726.8,798,30.8,760.5,783.6
04027000P40,04,027,000P40,653.3,756.7,35.7,686.2,746.6
04027000P41,04,027,000P41,888,998,31,940,953
04027000P42,04,027,000P42,1180.7,1081.3,39.3,1248.8,1017.4
04027000P43,04,027,000P43,11,18,0,11,18
