GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDKEL,G20USSRMCS
04013000572,04,013,000572,1621,1042,39,1624,1053
04013000573,04,013,000573,1031.1,1351.3,23.6,1034.1,1346.4
04013000574,04,013,000574,995,902.3,29,1032,870.5
04013000575,04,013,000575,1012.7,362.9,26.6,1043,344.8
04013000576,04,013,000576,555.4,1560.1,31.1,588.4,1543.6
04013000577,04,013,000577,1258.7,1435.7,28.2,1239.6,1448.9
04013000578,04,013,000578,916.2,1065.2,12.7,951.2,1031.8
04013000579,04,013,000579,1055,1631,32,1126,1551
04013000580,04,013,000580,2279.6,2205.7,52.6,2261.8,2239
04013000581,04,013,000581,2140,1270,56,2147,1292
04013000582,04,013,000582,2167.1,732.4,41.1,2208.3,708.2
04013000583,04,013,000583,25.2,36.5,0.1,24.3,38.4
04013000584,04,013,000584,1528,1518,40,1540,1520
04013000585,04,013,000585,2450.8,1060.2,51.9,2551.7,982.3
04013000586,04,013,000586,2200.7,3464.7,78.2,2268.8,3440.6
04013000587,04,013,000587,1280.1,1104.3,24.5,1251.4,1169.3
04013000588,04,013,000588,840,951,44,885,924
04013000589,04,013,000589,1246.6,740,36.4,1266.2,752.1
04013000590,04,013,000590,1101,1660,15,1161,1598
04013000591,04,013,000591,1352,1130,56,1403,1109
04013000592,04,013,000592,866,781,24,886,777
04013000593,04,013,000593,1514.3,1354.5,22.7,1523,1347.7
04013000594,04,013,000594,1426.5,1803.6,18.8,1381.2,1859.8
04013000595,04,013,000595,1394,1589,65,1445,1577
04013000596,04,013,000596,2136.9,2019,45.9,2154.4,2002.4
04013000597,04,013,000597,744.9,928.6,21.9,735.8,936.8
04013000598,04,013,000598,1760,416,40,1782,419
04013000599,04,013,000599,565,723,24,599,699
04013000600,04,013,000600,2005.4,2298.3,29.7,1958.9,2331.9
04013000601,04,013,000601,2652,925,75,2732,885
04013000602,04,013,000602,1687,901.4,39.9,1694.8,902.4
04013000603,04,013,000603,443.4,822.1,6,462.3,823.1
04013000604,04,013,000604,809.6,1032.5,21,834.6,1010.5
04013000605,04,013,000605,1.7,1.4,0,1.7,1.5
04013000606,04,013,000606,0.1,0.1,0,0.1,0.1
04013000607,04,013,000607,4.9,4.5,0.1,4.8,4.7
04013000608,04,013,000608,2199,800,59,2210,820
04013000609,04,013,000609,770,493,14,758,512
04013000610,04,013,000610,1729.7,982.7,74.6,1816.2,920.7
04013000611,04,013,000611,1360.3,3714.3,68.6,1436.9,3686
04013000612,04,013,000612,2329.1,4837.9,91.7,2387.1,4802.8
04013000613,04,013,000613,1473.2,354.8,34.9,1524,320.9
04013000614,04,013,000614,294,141.7,7.5,295.9,141.2
04013000615,04,013,000615,0,0,0,0,0
04013000616,04,013,000616,0,0,0,0,0
04013000617,04,013,000617,0,0,0,0,0
04013000618,04,013,000618,4.5,2.6,0.1,4.5,2.5
04013000619,04,013,000619,0,0,0,0,0
04013000620,04,013,000620,1939.2,386.3,40.8,2007.9,354.9
04013000621,04,013,000621,761.7,1157.9,18.2,799,1128.2
04013000622,04,013,000622,844,654,29,860,654
04013000623,04,013,000623,488,274,18,503,265
04013000624,04,013,000624,2205,2555,85,2233,2548
04013000625,04,013,000625,27,68,2,30,67
04013000626,04,013,000626,565,757.7,4.9,598.5,727.1
04013000627,04,013,000627,863.1,448.5,31.5,872,458.2
04013000628,04,013,000628,953.2,1193.5,36.2,1013.7,1149
04013000629,04,013,000629,492.4,774.9,7.1,498.6,769.7
04013000630,04,013,000630,1032,368,17,1074,333
04013000631,04,013,000631,1174,554,28,1191,544
04013000632,04,013,000632,2359.5,1817.5,73.8,2379.6,1846.1
04013000633,04,013,000633,814.5,1051.9,14.4,807.3,1066.3
04013000634,04,013,000634,27.9,19.5,0.7,28.5,18.1
04013000635,04,013,000635,3952.3,1325.1,75.5,4044.9,1249.9
04013000636,04,013,000636,527.2,698.3,6,546.2,691.3
04013000637,04,013,000637,1604.4,1865.3,43.3,1657.4,1822.9
04013000638,04,013,000638,1019,1500,15,1079,1445
04013000639,04,013,000639,965.4,425.4,31.6,962.7,430.4
04013000640,04,013,000640,1545,1706,34,1594,1657
04013000641,04,013,000641,866,1264,10,915,1221
04013000642,04,013,000642,1632.1,2338.8,104.8,1710,2323.9
04013000643,04,013,000643,828.2,899.9,42.2,894.4,850.6
04013000644,04,013,000644,1678,1688,53.7,1753.5,1597.9
04013000645,04,013,000645,760.8,809.6,29.7,800.1,773.3
04013000646,04,013,000646,1900.1,2036.1,67,2004.1,1966.1
04013000647,04,013,000647,1282.6,1298.2,24.4,1252.1,1342.9
04013000648,04,013,000648,0.9,9.4,0.1,0.9,9.5
04013000649,04,013,000649,1651.5,396.5,41.7,1698.8,363.7
04013000650,04,013,000650,2056,3088,86,2168,3007
04013000651,04,013,000651,2473,1572,46,2441,1651
04013000652,04,013,000652,495,574,10,497,577
04013000653,04,013,000653,946,510,30,991,484
04013000654,04,013,000654,1622,2812,73,1680,2784
04013000655,04,013,000655,1490,1693,80,1570,1627
04013000656,04,013,000656,1022.6,973.3,25.6,1047,939.3
04013000657,04,013,000657,826,459,20,843,437
04013000658,04,013,000658,978.8,526.1,22,1006.9,508.1
04013000659,04,013,000659,2245.7,3592.5,82.6,2346.1,3492.1
04013000660,04,013,000660,885,798,19,909,777
04013000661,04,013,000661,1130.2,1262.4,33.1,1165.3,1223.8
04013000662,04,013,000662,7.8,36.2,0.1,5.8,38.4
04013000663,04,013,000663,1197,1442,63.3,1258.5,1393.5
04013000664,04,013,000664,1184.2,2024.5,68.2,1263,1964.2
04013000665,04,013,000665,3921.6,3943.1,78,3907.7,3960.6
04013000666,04,013,000666,1653.2,2728,17.8,1617.6,2785.2
04013000667,04,013,000667,651.9,355.5,22.5,657,370.8
04013000668,04,013,000668,727.2,1118.8,44,736.2,1127.8
04013000669,04,013,000669,1321.5,1977.8,57.4,1308.4,2021.6
04013000670,04,013,000670,1612.7,496.3,25.9,1668.3,450.3
04013000671,04,013,000671,369.7,936,17.2,403,900.8
04013000672,04,013,000672,1566.1,2185.7,78.8,1640,2138
04013000673,04,013,000673,57.1,96.8,2.5,59.1,95.7
04013000674,04,013,000674,1124.7,1509.1,33.2,1117.9,1530.6
04013000675,04,013,000675,608.5,264.8,13,638.5,247.8
04013000676,04,013,000676,931.4,1530.6,14,969,1497.9
04013000677,04,013,000677,2474.7,3457.8,84.2,2568.7,3386
04013000678,04,013,000678,1008,292,20,1047,256
04013000679,04,013,000679,3344.9,4844.8,115.6,3416.9,4835
04013000680,04,013,000680,636.8,249.9,18.1,668.5,228.1
04013000681,04,013,000681,1864,886,45,1893,877
04013000682,04,013,000682,1927,519,42,1973,496
04013000683,04,013,000683,620.1,527.9,21.4,645.2,513.2
04013000684,04,013,000684,3511.4,923.9,75.6,3572,901.8
04013000685,04,013,000685,4230,6938.4,152,4369.1,6873.4
04013000686,04,013,000686,1705,600,72,1737,603
04013000687,04,013,000687,206.5,169.9,10.3,229,153
04013000688,04,013,000688,1080,1647,53,1121,1630
04013000689,04,013,000689,1027,609,40,1044,614
04013000690,04,013,000690,1650.3,1650.4,71,1721.3,1602.4
04013000691,04,013,000691,734.5,602,19.9,746.5,597
04013000692,04,013,000692,1543,1174,52,1552,1188
04013000693,04,013,000693,1427.2,923.9,40.1,1487.4,874.9
04013000694,04,013,000694,1346,703.5,61.5,1392.5,693.5
04013000695,04,013,000695,1185.3,767.9,39.9,1203.3,762.9
04013000696,04,013,000696,1041,972,25,1053,969
04013000697,04,013,000697,2152,914,66,2188,909
04013000698,04,013,000698,1457,938,46,1483,929
04013000699,04,013,000699,1350.2,1308.1,40.2,1390.4,1288.9
04013000700,04,013,000700,107.2,301.7,6.2,121.2,291
04013000701,04,013,000701,2568,3549.7,41.2,2577.1,3573.6
04013000702,04,013,000702,1792.4,1712.4,78.8,1880.5,1645.6
