GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRMCS,G18USSDSIN,G18USSGGRE,G18USSOWRI,G18GOVRDUC,G18GOVDGAR,G18GOVGTOR,G18GOVOWRI,G18SOSRGAY,G18SOSDHOB,G18SOSOWRI,G18ATGRBRN,G18ATGDCON,G18ATGOWRI,G18TRERYEE,G18TREDMAN,G18TREOWRI,G18SPIRRIG,G18SPIDHOF,G18SPIOWRI,G18MNIRHAR,G18MNIDPIE,G18MNIOWRI
04001000005,04,001,000005,187.99,74.44,6.49,0.03,214.51,50.73,2.8,0.9,191.67,72.68,1.8,199.07,63.51,1.8,194.4,62.61,0.9,178.92,80.9,0.9,195.11,62.64,0.05
04001000010,04,001,000010,216.32,1289.67,67.89,0,252.23,1248.84,74.82,2.99,182.5,1384.43,2,235.29,1330.6,3.99,263.23,1294.72,5.98,197.46,1375.43,1,209.43,1360.46,4.99
04001000015,04,001,000015,112.27,602.95,39.07,2.01,121.46,592.75,39.09,1.01,104.24,647.05,0.01,140.32,607.96,2.02,138.33,603.94,1.02,113.23,630.05,3.02,124.29,617.99,1.01
04001000020,04,001,000020,1001.63,297.95,37.99,4,1102.61,209.96,24,6,1020.62,301.94,5.99,1028.62,282.94,6,1049.62,266.95,4,1002.63,303.94,4,1015.62,282.95,6.99
04001000025,04,001,000025,46.03,314.18,10.01,0,67.04,292.16,5.01,0,48.03,313.19,0,54.04,308.18,0,51.04,311.18,0,38.03,325.19,0,46.03,315.18,0
04001000030,04,001,000030,531,85,21,0,555,71,8,0,535,91,0,537,74,1,522,88,3,504,104,3,523,83,1
04001000035,04,001,000035,75.67,556.56,20.91,1.99,132.42,499.81,25.89,2.99,67.7,584.44,2.99,90.6,558.55,4.98,94.59,552.58,4.98,65.71,584.44,4.98,81.64,568.51,3.98
04001000040,04,001,000040,71.3,391.71,24.1,3,105.51,352.49,28.11,4,84.3,404.77,2,90.36,393.7,2.01,92.36,392.7,1.01,76.3,402.78,1,88.31,394.75,1
04001000045,04,001,000045,672.71,140.69,22.79,2.97,718.29,112.94,8.92,1.98,676.68,145.64,3.96,691.54,129.79,3.96,668.75,138.7,1.98,656.86,158.52,1.98,673.7,129.79,4.95
04001000050,04,001,000050,485.97,107.99,9,0,532.97,62,8,2,500.97,91.99,1,506.97,84.99,0,492.97,88.99,1,474.97,110.99,0,486.97,86.99,2
04001000055,04,001,000055,275,1251,66,3,377,1128,76,3,269,1304,5,318,1253,3,328,1253,2,266,1308,2,282,1288,2
04001000060,04,001,000060,40,293,15,0,59,273,12,2,41,307,1,46,301,1,54,291,1,37,307,3,44,300,1
04001000065,04,001,000065,66.94,429.62,21.98,1,88.92,414.64,20.98,0,63.94,459.6,0,69.94,448.61,1,80.93,442.61,0,60.95,462.59,0,67.94,455.6,0
04001000070,04,001,000070,78.64,38.38,1.87,0,88,30.89,2.81,0,83.32,36.51,0,86.13,32.77,0,85.19,33.7,0,80.51,36.51,0,79.57,33.7,0.94
04001000075,04,001,000075,98.28,410.51,27.14,3.02,154.58,354.18,27.14,1.02,105.31,422.62,0,117.36,403.54,2.02,124.35,393.55,1.01,102.3,421.62,1.02,109.29,412.62,2.01
04001000080,04,001,000080,57.16,483,25.06,0,77.24,464.93,22.05,0,59.17,506.06,0,59.19,494.02,0,68.2,492.02,0,53.14,506.07,1,53.17,505.04,1
04001000085,04,001,000085,54.82,344.84,22.92,0,86.71,314.94,16.94,0,63.79,360.78,0,68.77,344.84,1,71.76,347.83,0,48.84,368.76,1,62.79,352.81,0
