GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRENDEL,G20PRETBLA,G20USSRJAM,G20USSDPET,G20USSGSQU,G20USSNDER,G20USSTWIL
26001001001,26,001,001001,564,248,3,2,0,2,539,267,4,2,3
26001001002,26,001,001002,488.25,235.47,3.84,0,0,0,466.14,250.85,0.96,0,3.84
26001001003,26,001,001003,483.72,236.88,1.99,1,0,1,453.86,238.88,4.98,3.98,9.95
26001001004,26,001,001004,554.98,299.29,8.92,0.99,0,0.99,526.24,319.12,3.96,4.96,5.95
26001001005,26,001,001005,330.84,117.42,9.19,0,0,0.03,319.24,127.8,1.11,0.03,6.14
26001001006,26,001,001006,111.18,103.82,1.64,1.64,0,0.82,112,103.82,0.82,0.82,1.64
26001001007,26,001,001007,582.03,241.03,5,1,0,3,562.03,253.03,1,1,3
26001001008,26,001,001008,496.24,194.48,6.82,0.01,0,0.98,474.63,208.27,3.92,0.98,4.89
26001001009,26,001,001009,364.3,166.22,1.99,1.99,0,1,359.32,170.2,2.99,0,1
26001001010,26,001,001010,429.53,125.83,5.04,1.04,0,0.04,389.74,151.35,5.13,0.05,6.11
26001001011,26,001,001011,175.67,76.38,0.95,0.95,0,0.95,157.53,90.7,2.86,0.95,1.91
26001001012,26,001,001012,235.75,70.53,1.16,0,0,1,222.86,76.15,2.04,0,2.16
26001ZZZZZZ,26,001,ZZZZZZ,31.5,26.63,0.45,0.38,0,0.2,31.4,26.82,0.23,0.23,0.42
26003003001,26,003,003001,472,264,7,0,0,2,479,260,1,0,3
26003003002,26,003,003002,198,149,3,1,0,0,196,150,1,0,5
26003003003,26,003,003003,17,13,0,0,0,0,15,14,0,0,0
26003003004,26,003,003004,147.77,108.83,1,1,1,0,146.78,108.83,2,1,1
26003003005,26,003,003005,151,128,2,1,0,1,141,127,3,0,4
26003003006,26,003,003006,593.81,534.83,12,2,0,1,571.81,535.83,15,4,5
26003003007,26,003,003007,876.34,399.26,8.01,2,0,2,825.33,430.26,5,1,10
26003003009,26,003,003009,169,132,0,2,0,0,166,133,1,0,1
26003003010,26,003,003010,387.08,322.4,7.96,0,1,2.99,376.13,328.37,2.99,1,6.97
26003ZZZZZZ,26,003,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0
26005005001,26,005,005001,378.97,374.83,22.47,5.15,2,1.03,389.98,356.2,11.24,1.03,15.52
26005005002,26,005,005002,719.6,645.26,30.31,6.84,0.98,0.98,725.47,617.88,14.66,0.98,27.37
26005005003,26,005,005003,1348.08,798.41,31.15,6.67,1.98,3.19,1370.39,756.77,10.17,10.52,25.36
26005005004,26,005,005004,413.26,242.85,3.72,2.77,0,0.92,414.2,230.84,2.78,0.92,4.63
26005005005,26,005,005005,865.1,767.2,23.98,6.99,0.01,3,889.12,733.12,12,3,13.03
26005005006,26,005,005006,660.63,369.47,8.68,0.96,0.96,0.96,654.84,349.22,7.72,1.93,13.51
26005005007,26,005,005007,506.04,416.51,6.16,3.03,1.01,3.01,518.01,382.38,10.1,4.03,13.03
26005005008,26,005,005008,922.59,305.68,18.53,1.85,0.93,1.85,936.49,291.78,3.71,1.85,8.34
26005005009,26,005,005009,1450.96,457.43,25.92,5.04,0.07,2.1,1475.53,435.8,5.18,1.13,12.4
26005005010,26,005,005010,995,423,16,3,1,0,995,415,9,2,8
26005005011,26,005,005011,307.44,643.62,3.87,1.93,0,0.97,328.71,611.72,6.77,1.93,3.87
26005005012,26,005,005012,278.97,310.14,10.74,1.95,0.98,0.98,277.09,301.33,6.82,1.95,1.96
26005005013,26,005,005013,1328.63,357.42,24.81,1,0.99,2.98,1376.27,330.62,1.99,0.99,11.91
26005005014,26,005,005014,816.03,763.31,14.64,3.91,1.95,2.93,847.26,704.75,9.76,3.9,20.5
26005005015,26,005,005015,1092.23,981.3,30.97,6.95,1.01,4.99,1151.97,928.35,16,4.99,14
26005005016,26,005,005016,799,538,23,4,1,6,799,521,19,2,18
26005005017,26,005,005017,1692.69,540.07,21.84,2.98,0.99,2.98,1717.51,517.24,7.94,4.96,15.88
26005005018,26,005,005018,406.49,393.68,13.79,0.83,1.59,1.62,456.91,197.86,4.09,1.61,1.67
26005005019,26,005,005019,493.09,454.5,14.19,7,0.01,2.02,522.44,425.31,8.01,1.01,9.09
26005005020,26,005,005020,598,459,15,1,1,2,645,424,2,1,2
26005005021,26,005,005021,499.28,482.08,14.01,3,0,1,510.29,457.07,7,0,6
26005005022,26,005,005022,1165.26,398.51,38.4,3.05,1.01,6.09,1178.33,406.26,8.17,2.07,12.3
26005005023,26,005,005023,790.91,691.82,4.72,4.72,0,0,842.82,631.39,7.55,0.94,3.78
26005005024,26,005,005024,1414.57,741.99,19.92,2.17,0.51,2.38,1495.21,634.58,8.52,1.49,5.73
26005005025,26,005,005025,347.97,309.9,6.2,0,0.89,0,374.53,281.56,5.31,0.89,3.54
26005005026,26,005,005026,650.52,497.63,12.99,1,1,0,645.52,477.65,7.99,2,17.99
