GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
05133009801,05,133,009801,3201,3074,9,61,52,5,0,2333,2258,6,34,31,4,0,0,0,27010,91950,00049,3,4
05133009802,05,133,009802,3267,3102,54,60,49,2,0,2388,2276,44,34,32,2,0,463,368,33310,90840,07860,3,4
05133009803,05,133,009803,4612,3694,330,501,74,9,4,3475,2841,222,345,55,9,3,0,0,18490,90177,00049,3,4
05133009804,05,133,009804,2557,2129,391,10,27,0,0,1876,1573,281,5,17,0,0,53,34,41090,93060,09030,3,4
05133980598,05,133,980598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,90528,07860,3,4
05135009701,05,135,009701,1620,1598,0,6,15,1,0,1258,1246,0,3,8,1,0,54,66,NA,92808,14190,2,1
05135009702,05,135,009702,4760,4703,3,15,37,2,0,4007,3971,3,8,23,2,0,228,202,13450,90768,07770,2,1
05135009703,05,135,009703,2865,2830,2,14,16,3,0,2146,2120,2,9,13,2,0,41,33,2470,93174,07770,2,1
05135009704,05,135,009704,4864,4739,59,22,33,11,0,3643,3571,28,17,22,5,0,23,29,12280,90705,04050,2,1
05137009501,05,137,009501,3360,3322,0,18,19,1,0,2542,2516,0,10,15,1,0,93,110,23680,92724,00003,2,1
05137009502,05,137,009502,6415,6330,8,24,34,19,0,4865,4820,2,10,25,8,0,78,84,47540,90366,10200,2,1
05139009501,05,139,009501,4250,2241,1983,14,9,3,0,3033,1691,1324,7,8,3,0,610.27,680.94,34090,92121,12930,1,4
05139009502,05,139,009502,4534,3595,901,32,4,2,0,3294,2642,623,23,4,2,0,662.78,739.53,50060,91365,10620,1,4
05139009503,05,139,009503,2945,2174,750,9,10,2,0,2150,1614,517,8,9,2,0,432.6,482.7,64730,93396,12510,1,4
05139009504,05,139,009504,5780,4485,1259,24,10,2,0,4202,3325,850,18,7,2,0,845.48,943.39,36130,93777,08340,1,4
05139009505,05,139,009505,5640,5187,407,35,7,4,0,3987,3676,281,20,7,3,0,802.22,895.12,21070,91218,05680,1,4
05139009506,05,139,009506,4070,3099,929,20,1,21,0,2951,2375,549,14,1,12,0,593.77,662.53,21070,91218,05680,1,4
05139009507,05,139,009507,5482,4537,866,42,20,17,0,4252,3621,579,29,12,11,0,855.54,954.62,21070,91218,05680,1,4
05139009508,05,139,009508,4009,3057,917,9,6,20,0,3130,2480,620,9,4,17,0,629.78,702.72,21070,91218,05680,1,4
05139009509,05,139,009509,3627,1655,1952,12,4,3,1,2398,1291,1089,12,2,3,1,482.5,538.37,21070,91218,05680,1,4
05139009510,05,139,009510,6382,2266,4074,25,4,13,0,4508,1824,2656,16,4,8,0,907.05,1012.09,21070,91218,05680,1,4
05141009601,05,141,009601,3109,3019,26,31,26,7,0,2268,2212,23,12,16,5,0,94,105,14260,91542,04410,2,2
05141009602,05,141,009602,3203,3158,6,22,11,6,0,2493,2469,3,10,7,4,0,21,32,14260,91542,04410,2,2
05141009603,05,141,009603,4650,4592,6,23,25,4,0,3828,3791,5,12,17,3,0,215,252,22660,91830,12420,2,2
05141009604,05,141,009604,3046,3005,3,22,14,2,0,2288,2266,3,10,7,2,0,141,121,17290,91035,12570,2,2
05143000101,05,143,000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23290,91117,12660,3,3
05143000102,05,143,000102,2456,2278,2,86,28,62,0,1827,1714,2,52,18,41,0,202.25,230.96,66080,91107,12660,3,3
05143000103,05,143,000103,6234,5981,7,94,86,62,4,4455,4293,6,59,58,38,1,493.18,563.17,66080,91108,12660,3,3
05143000106,05,143,000106,4859,4396,263,70,60,67,3,3821,3508,167,57,42,47,0,422.99,483.03,23290,91110,06120,3,3
05143000108,05,143,000108,3259,2708,248,65,35,198,5,2837,2368,201,43,28,194,3,314.06,358.64,23290,91111,06120,3,3
05143000109,05,143,000109,2370,2061,211,35,17,44,2,2349,2042,209,35,17,44,2,260.04,296.95,23290,91109,06120,3,3
05143000112,05,143,000112,1372,1331,8,9,17,7,0,1073,1037,5,9,16,6,0,118.78,135.64,66080,91108,12660,3,3
05143010101,05,143,010101,2870,2766,2,47,43,12,0,2064,2001,1,27,27,8,0,228.49,260.92,66080,91117,12660,3,3
05143010102,05,143,010102,3677,3608,8,25,34,2,0,2756,2713,6,12,23,2,0,305.1,348.4,27670,91117,12660,3,3
05143010103,05,143,010103,8569,8196,92,102,68,110,1,6467,6212,63,59,50,82,1,715.91,817.52,23290,91112,06120,3,3
05143010104,05,143,010104,4133,3975,79,30,30,19,0,3085,2978,49,19,23,16,0,341.52,389.99,23290,91112,06120,3,3
05143010105,05,143,010105,4813,4658,23,52,51,29,0,3428,3329,12,33,37,17,0,379.49,433.35,23290,91117,06120,3,3
05143010401,05,143,010401,4260,4041,0,120,36,62,1,3129,2997,0,72,25,35,0,836,1070,66080,91107,12660,3,3
05143010402,05,143,010402,3918,3810,0,48,37,23,0,3051,2986,0,21,27,17,0,337.75,385.69,66080,91106,12660,3,3
05143010403,05,143,010403,3924,3759,7,43,78,37,0,2897,2789,3,26,59,20,0,320.71,366.22,66080,91106,12660,3,3
05143010501,05,143,010501,2914,2832,1,35,36,10,0,2112,2058,1,21,24,8,0,103.98,147.16,69740,91105,12660,3,3
05143010502,05,143,010502,5201,5110,1,37,38,15,0,3727,3668,1,20,27,11,0,183.49,259.69,66080,91105,12660,3,3
05143010503,05,143,010503,3841,3746,14,33,28,20,0,2708,2647,6,21,20,14,0,133.32,188.69,66080,91105,12660,3,3
05143010504,05,143,010504,4717,4532,1,60,115,9,0,3397,3276,1,44,70,6,0,376.06,429.43,57170,91115,11760,3,3
05143010505,05,143,010505,3556,3386,45,43,58,22,2,2567,2461,25,27,39,15,0,126.38,178.86,23290,91110,06120,3,3
05143010506,05,143,010506,4015,3881,30,45,49,10,0,2953,2870,18,29,29,7,0,326.9,373.3,23290,91115,06090,3,3
05143010701,05,143,010701,5309,4779,253,91,46,136,4,4831,4377,221,69,37,125,2,237.84,336.61,23290,91110,06120,3,3
05143010702,05,143,010702,3671,3473,105,53,26,13,1,2850,2715,68,37,20,9,1,315.5,360.28,23290,91111,06120,3,3
05143011001,05,143,011001,4066,3926,30,54,48,8,0,3027,2941,16,32,31,7,0,197.31,275.24,57170,91115,11760,3,3
05143011002,05,143,011002,2897,2744,1,41,107,3,1,2106,2030,1,16,56,3,0,137.28,191.49,39970,91114,08940,3,3
05143011003,05,143,011003,3404,3307,7,40,43,7,0,2411,2358,4,18,28,3,0,157.16,219.23,74360,91116,14010,3,3
05143011004,05,143,011004,3001,2884,5,28,78,6,0,2167,2086,4,17,54,6,0,141.25,197.04,76190,91114,08940,3,3
05143011101,05,143,011101,4267,3888,206,62,85,26,0,3093,2860,117,38,60,18,0,342.4,391,23290,91113,06120,3,3
05143011102,05,143,011102,2857,2763,6,50,34,4,0,2075,2013,4,28,26,4,0,229.71,262.31,23290,91113,06120,3,3
05143011103,05,143,011103,2979,2905,1,28,41,4,0,2106,2074,1,10,20,1,0,233.14,266.23,74360,91116,05760,3,3
05145009701,05,145,009701,4477,4423,0,25,27,2,0,3253,3214,0,15,23,1,0,88,86,8260,92193,02700,4,2
05145009702,05,145,009702,3691,3642,1,21,25,2,0,2717,2684,0,12,19,2,0,193,186,53240,90285,11070,4,2
05145009703,05,145,009703,2888,2867,2,14,4,1,0,2106,2092,2,7,4,1,0,49,60,60770,92037,12000,4,2
05145009704,05,145,009704,6114,5962,64,46,31,9,2,4613,4510,47,25,23,8,0,989.76,1177.17,63020,91506,12210,4,2
05145009705,05,145,009705,4797,4726,35,22,13,1,0,3511,3459,28,13,10,1,0,646,692,36040,91623,08310,4,2
05145009706,05,145,009706,3853,3641,159,20,19,14,0,2765,2643,91,9,12,10,0,707,525,3280,90096,02700,4,2
05145009707,05,145,009707,2836,2742,58,17,11,8,0,2243,2174,45,8,8,8,0,481.26,572.38,63020,91506,12210,4,2
05145009708,05,145,009708,4562,4239,147,110,14,49,3,4049,3763,124,104,9,46,3,868.75,1033.25,63020,91506,12210,4,2
05145009709,05,145,009709,5808,5310,445,28,20,4,1,4233,3894,308,13,15,3,0,908.23,1080.2,63020,91506,12210,4,2
05145009710,05,145,009710,3739,3694,5,18,19,3,0,2762,2729,5,9,17,2,0,76,79,NA,90636,02880,4,2
05145009711,05,145,009711,6104,5545,510,20,24,4,1,4481,4122,327,9,21,2,0,117,138,36430,92025,08400,4,2
05145009712,05,145,009712,5807,5469,268,31,19,20,0,4244,4011,191,18,9,15,0,751,816,4600,93732,02880,4,2
05147009901,05,147,009901,5818,4191,1594,11,11,10,1,4170,3144,1005,7,9,5,0,1260.17,608.55,42500,91092,09600,2,1
05147009902,05,147,009902,3702,2305,1388,6,2,1,0,2607,1744,856,5,2,0,0,787.83,380.45,2740,90078,02670,2,1
05149009523,05,149,009523,4766,4419,250,51,31,14,1,3575,3355,153,33,25,9,0,995,840,17380,91020,04930,4,2
05149009524,05,149,009524,6470,6301,80,42,16,29,2,4755,4639,54,27,13,21,1,47,69,4960,91293,00041,4,2
05149009525,05,149,009525,3679,3526,32,65,25,28,3,2751,2649,24,41,20,17,0,320,420,17320,91017,04890,4,2
05149009526,05,149,009526,2844,2813,5,19,2,5,0,2122,2100,5,13,1,3,0,90,86,55970,92106,11460,4,2
