GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
26077001603,26,077,001603,1704,1607,47,23,11,15,1,1332,1269,29,15,10,9,0,251.17,190.57,NA,42160,42160,NA,19950,10,7
26077001604,26,077,001604,1820,1671,41,15,1,90,2,1559,1437,33,15,1,72,1,293.98,223.04,NA,42160,42160,NA,19950,10,7
26077001701,26,077,001701,3398,3134,156,44,22,40,2,2742,2567,98,30,17,29,1,517.06,392.29,NA,42160,42160,NA,19950,10,7
26077001702,26,077,001702,3723,3365,220,62,9,61,6,2833,2606,141,35,9,41,1,534.22,405.31,NA,42160,42160,NA,19950,10,7
26077001801,26,077,001801,3857,3475,259,86,25,11,1,3021,2751,195,55,15,5,0,569.67,432.21,NA,42160,42160,NA,19950,10,7
26077001802,26,077,001802,4812,4471,225,68,11,33,4,3726,3510,143,45,7,20,1,702.61,533.07,NA,42160,42160,NA,19950,10,7
26077001803,26,077,001803,1080,988,24,61,6,1,0,827,771,19,32,4,1,0,189.26,190.25,NA,42160,42180,NA,19950,10,7
26077001902,26,077,001902,3673,3454,89,41,6,83,0,2771,2635,56,21,6,53,0,553.55,681.72,NA,65560,65560,NA,28950,10,7
26077001904,26,077,001904,1194,1157,8,15,8,6,0,900,874,6,7,8,5,0,179.79,221.42,NA,65560,65560,NA,28950,10,7
26077001905,26,077,001905,4928,4525,252,98,23,28,2,3684,3427,168,55,15,19,0,735.94,906.33,NA,65560,65560,NA,28950,10,7
26077001906,26,077,001906,4548,4195,155,100,16,78,4,3530,3298,116,56,14,45,1,705.17,868.44,NA,65560,65560,NA,28950,5,7
26077001907,26,077,001907,4026,3543,212,80,20,167,4,2852,2524,146,52,13,117,0,569.73,701.64,NA,65560,65560,NA,28950,5,7
26077002001,26,077,002001,10488,9727,246,137,34,343,1,7207,6760,148,76,23,200,0,1439.72,1773.05,NA,65560,65560,NA,28950,5,7
26077002002,26,077,002002,3277,3132,67,34,6,38,0,2422,2328,40,25,6,23,0,483.83,595.85,NA,65560,65560,NA,28950,5,7
26077002101,26,077,002101,6410,6215,66,57,22,50,0,4695,4571,40,39,15,30,0,937.9,1155.05,NA,65560,65560,NA,28950,10,7
26077002102,26,077,002102,2498,2393,27,31,2,45,0,1884,1815,18,20,2,29,0,376.36,463.5,NA,65560,65560,NA,28950,10,7
26077002201,26,077,002201,2553,2460,44,37,9,3,0,1831,1765,34,20,9,3,0,366.89,403.8,NA,NA,17680,NA,10590,10,7
26077002202,26,077,002202,5769,5365,231,79,28,61,5,4126,3880,153,42,15,36,0,826.76,909.92,NA,17690,17680,NA,10590,10,7
26077002601,26,077,002601,4759,4654,21,47,19,16,2,3648,3583,16,26,16,7,0,773.92,1079.82,NA,4160,69820,NA,17250,10,7
26077002901,26,077,002901,3276,3189,41,20,8,14,4,2400,2347,25,17,4,7,0,489,693,NA,NA,840,NA,27060,10,7
26077002902,26,077,002902,9372,8611,461,126,41,131,2,7142,6627,321,84,29,80,1,1255.98,1390.99,NA,NA,61400,NA,19950,10,7
26077002903,26,077,002903,4037,3383,477,55,17,103,2,3702,3162,401,44,15,79,1,651.02,721.01,NA,42160,61400,NA,19950,10,7
26077003001,26,077,003001,7711,7388,86,79,22,134,2,5512,5295,57,55,20,85,0,954,1400,NA,NA,79300,NA,23250,10,7
26077003002,26,077,003002,1365,1345,5,7,2,6,0,964,958,3,2,1,0,0,181,262,NA,NA,66200,NA,31020,10,7
26077003101,26,077,003101,3706,3645,13,18,14,15,1,2720,2684,6,13,7,9,1,465.17,608.73,NA,82300,71880,NA,34950,5,7
26077003102,26,077,003102,1508,1472,5,10,9,12,0,1067,1049,3,6,7,2,0,182.48,238.79,NA,71860,71880,NA,31020,5,7
26077003301,26,077,003301,3209,3171,8,17,8,5,0,2396,2372,4,10,6,4,0,496,724,NA,82300,9920,NA,34950,10,7
26077003302,26,077,003302,5500,5388,41,36,15,17,3,3975,3906,25,22,11,9,2,710,793,NA,NA,62960,NA,34950,10,7
26077003598,26,077,003598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,840,NA,27060,10,7
26079009501,26,079,009501,1444,1428,0,6,8,1,1,1135,1121,0,4,8,1,1,106,120,NA,NA,9320,NA,20050,14,1
26079009502,26,079,009502,3930,3857,2,29,39,3,0,2722,2687,1,10,22,2,0,78,109,NA,42260,16340,NA,20050,14,1
26079009503,26,079,009503,3913,3833,7,20,41,11,1,2664,2609,6,11,31,6,1,449,639,NA,42260,42280,NA,20050,14,1
26079009504,26,079,009504,2527,2484,1,20,12,8,2,1801,1778,1,9,9,4,0,91,116,NA,NA,31600,NA,20050,14,1
26079009505,26,079,009505,1683,1661,0,12,10,0,0,1221,1205,0,7,9,0,0,93,125,NA,NA,6440,13680,20050,14,1
26081000001,26,081,000001,2539,2361,100,44,6,28,0,1823,1727,57,24,5,10,0,391.44,450.69,NA,34000,34000,NA,16440,8,4
26081000002,26,081,000002,2361,2227,54,59,5,16,0,1952,1845,50,46,3,8,0,419.14,482.59,NA,34000,34000,NA,16440,8,4
26081000003,26,081,000003,3358,3235,66,23,8,26,0,2714,2626,54,13,3,18,0,582.76,670.97,NA,34000,34000,NA,16440,8,4
26081000004,26,081,000004,3487,3406,11,44,6,19,1,2656,2612,9,23,3,9,0,570.31,656.63,NA,34000,34000,NA,16440,8,4
26081000005,26,081,000005,4317,4184,22,73,8,30,0,3277,3187,17,46,6,21,0,703.65,810.16,NA,34000,34000,NA,16440,8,4
26081000006,26,081,000006,3547,3467,8,51,9,12,0,2725,2681,6,27,6,5,0,585.12,673.69,NA,34000,34000,NA,16440,8,4
26081000007,26,081,000007,3352,3236,4,85,4,22,1,2439,2378,3,44,2,12,0,523.71,602.99,NA,34000,34000,NA,16440,8,4
26081000008,26,081,000008,3222,2976,26,134,52,32,2,2235,2107,8,71,30,18,1,479.91,552.55,NA,34000,34000,NA,16440,8,4
26081000009,26,081,000009,3505,3299,42,105,34,21,4,2426,2302,25,64,22,12,1,520.92,599.77,NA,34000,34000,NA,16440,8,4
26081000010,26,081,000010,4804,4475,201,68,25,29,6,3557,3363,122,37,17,17,1,763.77,879.39,NA,34000,34000,NA,16440,8,4
26081000012,26,081,000012,3605,3161,317,61,26,36,4,2740,2478,193,31,15,21,2,588.34,677.4,NA,34000,34000,NA,16440,8,4
26081000013,26,081,000013,3877,3016,540,192,82,42,5,2518,2082,270,100,44,20,2,540.68,622.52,NA,34000,34000,NA,16440,8,4
26081000014,26,081,000014,2264,1695,299,165,68,35,2,1629,1268,202,91,41,27,0,349.79,402.73,NA,34000,34000,NA,16440,8,4
26081000015,26,081,000015,3277,2864,41,259,94,14,5,2173,1971,21,121,49,10,1,466.6,537.22,NA,34000,34000,NA,16440,8,4
26081000016,26,081,000016,5830,5473,44,219,58,29,7,4135,3938,24,115,35,18,5,887.89,1022.28,NA,34000,34000,NA,16440,8,4
26081000017,26,081,000017,4560,4448,34,29,16,31,2,3588,3512,29,17,9,20,1,770.43,887.05,NA,34000,34000,NA,16440,8,4
26081000018,26,081,000018,5124,5042,25,44,3,8,2,3827,3777,16,27,3,4,0,821.75,946.14,NA,34000,34000,NA,16440,8,4
26081000019,26,081,000019,5531,4780,75,460,159,56,1,3802,3392,45,236,93,36,0,816.38,939.96,NA,34000,34000,NA,16440,8,4
26081000020,26,081,000020,1245,879,305,36,22,3,0,1207,860,288,35,21,3,0,259.17,298.4,NA,34000,34000,NA,16440,8,4
26081000021,26,081,000021,3237,2550,474,127,39,46,1,2915,2372,372,99,33,38,1,625.92,720.67,NA,34000,34000,NA,16440,8,4
26081000022,26,081,000022,5292,4471,462,220,63,53,23,3991,3513,266,136,33,39,4,856.96,986.68,NA,34000,34000,NA,16440,8,4
26081000023,26,081,000023,4349,4207,67,54,8,13,0,3437,3347,48,28,7,7,0,738.01,849.72,NA,34000,34000,NA,16440,8,4
26081000024,26,081,000024,3356,2729,507,57,16,40,7,2608,2242,282,35,10,37,2,560,644.77,NA,34000,34000,NA,16440,8,4
26081000025,26,081,000025,5235,2699,2139,214,45,117,21,3670,2241,1184,131,28,78,8,788.04,907.32,NA,34000,34000,NA,16440,8,4
26081000026,26,081,000026,3024,1028,815,1092,30,26,33,1882,709,480,637,19,17,20,404.11,465.28,NA,34000,34000,NA,16440,8,4
26081000027,26,081,000027,3872,3433,19,258,107,50,5,2683,2445,10,135,63,27,3,576.11,663.31,NA,34000,34000,NA,16440,8,4
26081000028,26,081,000028,1575,101,1325,141,2,1,5,992,87,826,74,2,1,2,213.01,245.25,NA,34000,34000,NA,16440,8,4
26081000029,26,081,000029,1446,457,912,70,3,2,2,1077,388,645,39,3,2,0,231.26,266.26,NA,34000,34000,NA,16440,8,4
26081000030,26,081,000030,1762,225,1454,72,6,2,3,1178,187,935,47,5,1,3,252.95,291.23,NA,34000,34000,NA,16440,8,4
