GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
24003007070,24,003,007070,8375,85,7316,85,908,30,34,6295,51,5436,51,710,25,22,1187.47,1161.52,71450,90560,00060,4,6
24003007303,24,003,007303,3255,27,3126,27,56,10,36,2462,19,2350,19,38,9,27,464.43,454.27,32650,90192,00060,4,2
24003007304,24,003,007304,10383,199,9250,199,677,29,224,7946,131,7049,131,456,22,157,1498.91,1466.15,32650,90192,00060,4,2
24003007307,24,003,007307,6287,82,5903,82,215,8,79,4954,64,4621,64,152,7,46,934.51,914.08,71200,90192,00060,4,2
24003007308,24,003,007308,2190,33,2129,33,9,4,14,1763,24,1696,24,5,4,10,332.57,325.3,2275,90192,00060,4,2
24003007404,24,003,007404,4165,80,865,80,3170,28,22,4239,80,865,80,3164,28,22,799.63,782.16,42550,90284,00060,4,6
24003007405,24,003,007405,7036,233,5496,233,1105,18,180,5528,168,4263,168,769,14,146,1042.79,1019.99,51075,90284,00060,4,6
24003007406,24,003,007406,12578,867,8116,867,3093,60,416,8676,502,5368,502,1985,46,273,1636.62,1600.85,29400,90284,00060,4,6
24003007407,24,003,007407,1997,28,1519,28,414,6,29,1417,22,1038,22,314,3,18,267.3,261.46,58300,90284,00060,4,6
24003007408,24,003,007408,4697,47,4179,47,350,5,109,3516,32,3101,32,272,5,74,663.25,648.75,58300,90284,00060,4,2
24003007409,24,003,007409,6001,201,4842,201,770,25,155,4561,139,3593,139,554,15,121,860.38,841.57,58300,90284,00060,4,6
24003007411,24,003,007411,674,21,92,21,555,5,1,482,9,89,9,371,3,1,90.92,88.94,NA,90284,00060,4,6
24003007503,24,003,007503,2806,35,2687,35,43,8,33,2219,26,2107,26,34,5,21,418.59,409.44,64250,90376,00060,4,4
24003007504,24,003,007504,4518,20,4302,20,50,8,138,3530,13,3367,13,34,5,98,665.89,651.34,47125,90376,00060,4,4
24003007505,24,003,007505,3216,6,3143,6,38,1,28,2607,2,2551,2,30,1,21,491.78,481.03,47125,90376,00060,4,4
24003007506,24,003,007506,1199,14,1011,14,156,4,14,961,12,785,12,137,3,12,181.28,177.32,71150,90376,00060,4,4
24003007507,24,003,007507,1000,28,815,28,134,1,22,778,21,606,21,110,1,19,146.76,143.55,71150,90376,00060,4,2
24003007509,24,003,007509,3199,30,3021,30,104,4,37,2560,24,2398,24,86,3,25,482.91,472.36,32650,90376,00060,4,2
24003007510,24,003,007510,3678,35,3414,35,173,15,41,2851,22,2630,22,135,10,32,537.81,526.05,32650,90376,00060,4,2
24003007512,24,003,007512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,90652,00060,4,6
24003702201,24,003,702201,7600,125,7243,125,131,4,97,5838,77,5511,77,103,3,67,1101.27,1077.19,20875,90100,00060,4,6
24003702202,24,003,702202,7990,126,7066,126,654,25,118,5848,92,5099,92,466,16,83,1103.15,1079.04,20875,90100,00060,4,2
24003702203,24,003,702203,2021,13,1801,13,181,4,20,1536,11,1335,11,162,2,15,289.75,283.41,21075,90100,00060,4,6
24003706101,24,003,706101,3813,71,2639,71,1055,9,38,3237,59,2330,59,747,7,35,610.62,597.27,1600,90468,00060,4,2
24003708098,24,003,708098,7715,64,6573,64,1030,8,39,5954,44,5046,44,784,7,29,1123.15,1098.6,NA,90652,00060,4,6
24003730101,24,003,730101,3648,38,3478,38,116,3,13,2856,26,2696,26,96,3,9,538.75,526.97,66850,90192,00060,4,2
24003730199,24,003,730199,42,2,33,2,7,0,0,44,2,33,2,7,0,0,8.3,8.12,NA,90192,00060,4,2
24003730202,24,003,730202,8990,133,6482,133,2168,26,171,6891,94,5023,94,1536,21,123,1299.9,1271.49,32650,90192,00060,4,2
24003730502,24,003,730502,4604,114,3807,114,458,13,212,3567,84,2905,84,326,10,158,672.87,658.16,73550,90192,00060,4,2
24003730503,24,003,730503,7451,178,5893,178,1035,29,315,6080,130,4830,130,733,24,233,1146.92,1121.85,73550,90192,00060,4,2
24003730504,24,003,730504,7912,157,6772,157,796,18,162,5705,96,4879,96,501,18,115,1076.18,1052.65,73550,90192,00060,4,2
24003730601,24,003,730601,5787,52,5490,52,22,8,215,4095,40,3855,40,17,8,135,772.47,755.59,71200,90192,00060,4,2
24003730602,24,003,730602,8062,74,7310,74,513,21,144,5900,47,5298,47,399,18,91,1112.96,1088.63,71200,90192,00060,4,2
