GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,school,cd_1980,cd_1990
47001000201,47,001,000201,2767,1607,1015,24,16,101,4,2145,1314,720,22,14,74,1,388.63,435.97,55120,92520,NA,03240,5,3
47001000202,47,001,000202,6260,5752,230,68,22,188,0,4795,4464,146,42,17,126,0,868.75,974.59,55120,92520,NA,03240,5,3
47001000203,47,001,000203,4395,4076,232,25,20,41,1,3413,3196,153,13,15,36,0,618.36,693.7,55120,92520,NA,03240,5,3
47001000204,47,001,000204,4544,4190,248,44,19,31,12,3695,3477,154,28,12,24,0,669.45,751.01,55120,92520,NA,03240,5,3
47001000205,47,001,000205,3932,3608,253,28,14,29,0,2952,2750,150,18,12,22,0,534.84,600,55120,92520,NA,03240,5,3
47001000206,47,001,000206,2707,2443,157,33,1,73,0,2104,1920,111,20,1,52,0,381.2,427.64,55120,92520,NA,03240,5,3
47001000207,47,001,000207,2225,2218,0,2,4,1,0,1644,1637,0,2,4,1,0,297.86,334.15,NA,92432,NA,00090,5,3
47001000208,47,001,000208,4875,4819,3,23,13,17,0,3704,3668,3,15,9,9,0,671.08,752.84,40240,91832,NA,00090,5,3
47001000210,47,001,000210,5992,5843,91,16,28,11,3,4455,4359,57,9,21,8,1,807.14,905.49,55800,93496,NA,00090,5,3
47001000211,47,001,000211,2870,2828,16,12,5,9,0,2183,2155,9,9,5,5,0,395.51,443.7,15580,90728,00720,00090,5,3
47001020901,47,001,020901,4348,4313,1,20,8,6,0,3330,3311,1,14,3,1,0,603.32,676.83,53600,92464,NA,00090,5,3
47001020902,47,001,020902,4177,4129,13,13,11,8,3,3138,3099,12,12,8,6,1,568.53,637.8,53600,92464,NA,00090,5,3
47001021201,47,001,021201,4252,4020,196,12,23,1,0,3100,2949,125,7,19,0,0,561.65,630.08,15580,90728,00720,00090,5,3
47001021202,47,001,021202,5671,5438,163,35,29,6,0,4392,4253,98,19,20,2,0,795.73,892.68,15580,90728,00720,00090,5,3
47001021301,47,001,021301,2851,2831,1,9,6,4,0,2159,2141,0,8,6,4,0,391.16,438.82,15580,90736,00720,00090,5,3
47001021302,47,001,021302,6384,6205,134,17,17,11,0,4707,4582,94,8,14,9,0,852.8,956.7,NA,90736,NA,00090,5,3
47003009501,47,003,009501,2234,2096,121,16,1,0,0,1647,1552,88,6,1,0,0,267.56,192.16,4460,90192,NA,00180,4,4
47003009502,47,003,009502,3445,3320,97,19,2,7,0,2498,2404,77,11,2,4,0,405.8,291.45,NA,93464,NA,00180,4,4
47003009503,47,003,009503,2476,2402,64,3,1,6,0,1833,1775,52,2,1,3,0,297.77,213.86,NA,90160,NA,00180,4,4
47003009504,47,003,009504,8030,7047,882,32,12,57,0,6051,5380,603,21,9,38,0,982.99,705.99,67760,93008,NA,00180,4,4
47003009505,47,003,009505,4670,3705,898,20,5,42,0,3569,2864,660,13,4,28,0,579.79,416.4,67760,93008,NA,00180,4,4
47003009506,47,003,009506,5506,4630,792,54,2,25,3,4091,3509,518,40,2,22,0,664.59,477.31,67760,93008,NA,00180,4,4
47003009507,47,003,009507,1737,1573,136,18,7,3,0,1314,1184,114,10,4,2,0,213.46,153.31,78120,93520,NA,00180,4,4
47003009508,47,003,009508,2313,2232,66,10,4,1,0,1693,1625,54,9,4,1,0,275.03,197.53,53580,91272,NA,00180,4,4
47005009630,47,005,009630,2805,2780,0,14,7,4,0,2193,2174,0,10,7,2,0,493.86,290.2,5860,90264,NA,00240,3,8
47005009631,47,005,009631,2566,2494,43,13,3,13,0,1907,1860,31,7,3,6,0,429.46,252.36,10560,90488,NA,00240,3,8
47005009632,47,005,009632,1419,1382,27,7,3,0,0,1073,1045,22,3,3,0,0,108,83,NA,91584,NA,00240,3,8
47005009633,47,005,009633,3940,3711,192,22,2,10,3,3144,2994,127,13,1,7,2,708.03,416.05,10560,90488,NA,00240,3,8
47005009634,47,005,009634,3794,3683,83,16,8,4,0,2867,2788,61,9,6,3,0,645.65,379.39,10560,90488,NA,00240,3,8
47007009531,47,007,009531,4598,4467,89,22,18,2,0,3446,3340,79,14,11,2,0,578.19,668.81,58120,92944,NA,00270,4,3
47007009532,47,007,009532,3286,2971,284,13,17,1,0,2528,2286,218,11,13,0,0,424.16,490.64,NA,90904,NA,00270,4,3
