GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
19041009803,19,041,009803,5781,5730,4,21,9,17,0,4209,4177,2,10,7,13,0,905.29,1129.21,NA,74280,93955,26910,6,5
19041009804,19,041,009804,3635,3605,1,11,11,7,0,2603,2589,1,4,5,4,0,154,138,NA,26175,92709,11220,6,5
19043009701,19,043,009701,3047,3018,0,22,5,2,0,2230,2215,0,11,4,0,0,298,277,NA,48000,92913,18570,1,2
19043009702,19,043,009702,3527,3516,0,6,0,5,0,2530,2522,0,6,0,2,0,223,439,NA,53310,92961,18120,1,2
19043009703,19,043,009703,3600,3582,4,10,0,2,2,2670,2661,4,4,0,1,0,369,504,NA,24690,90291,06840,1,2
19043009704,19,043,009704,2890,2881,1,6,0,2,0,2239,2235,1,2,0,1,0,387.69,410.22,NA,33465,92214,13350,1,2
19043009705,19,043,009705,2370,2364,1,1,0,4,0,1538,1536,0,1,0,1,0,266.31,281.78,NA,60015,92808,13350,1,2
19043009706,19,043,009706,3620,3582,0,16,10,12,0,2525,2511,0,6,4,4,0,103,136,NA,81345,93957,06840,1,2
19045000001,19,045,000001,3418,3157,209,21,13,17,1,2628,2454,141,13,9,11,0,611.15,642.84,NA,14430,90736,07710,1,1
19045000002,19,045,000002,3520,3310,126,29,41,8,6,2633,2503,80,13,27,8,2,612.31,644.06,NA,14430,90736,07710,1,1
19045000003,19,045,000003,5790,5487,205,56,14,24,4,4115,3963,101,24,11,13,3,956.95,1006.58,NA,14430,90736,07710,1,1
19045000004,19,045,000004,3801,3708,44,25,5,18,1,2855,2805,26,11,2,11,0,663.94,698.37,NA,14430,90736,07710,1,1
19045000005,19,045,000005,4677,4537,61,38,3,36,2,3645,3552,47,19,1,26,0,847.65,891.61,NA,14430,90736,07710,1,1
19045000006,19,045,000006,4057,3980,31,17,4,21,4,2935,2889,21,11,4,10,0,682.54,717.94,NA,14430,90736,07710,1,1
19045000007,19,045,000007,3929,3852,26,19,11,20,1,2977,2927,18,8,8,16,0,692.31,728.21,NA,14430,90736,07710,1,1
19045000008,19,045,000008,5389,5325,7,31,10,12,4,3918,3879,7,19,6,7,0,911.14,958.39,NA,10135,90450,06060,1,1
19045000009,19,045,000009,5533,5467,9,22,14,21,0,3944,3908,5,15,6,10,0,923,1285,NA,21180,90993,06810,1,1
19045000010,19,045,000010,3876,3843,2,25,2,3,1,2790,2770,1,16,2,1,0,124,212,NA,84945,93990,06810,1,1
19045000011,19,045,000011,2537,2524,1,7,1,4,0,1850,1844,0,4,1,1,0,57,105,NA,46605,90267,08880,1,1
19045000012,19,045,000012,4513,4501,3,4,1,4,0,3131,3122,3,3,1,2,0,98,181,NA,12855,91194,21090,1,1
19047009701,19,047,009701,2251,2235,1,12,3,0,0,1598,1590,0,6,2,0,0,224,207,NA,80130,94701,03780,4,5
19047009702,19,047,009702,2544,2531,0,7,1,5,0,1853,1847,0,4,1,1,0,329,331,NA,71130,93231,25410,4,5
19047009703,19,047,009703,2558,2534,0,15,1,8,0,1861,1853,0,5,1,2,0,216,173,NA,12900,90648,07110,4,5
19047009704,19,047,009704,7064,6849,58,60,24,72,1,5178,5051,41,31,14,40,1,1157,1451,NA,19945,90960,08910,4,5
19047009705,19,047,009705,2358,2350,0,4,3,0,1,1668,1664,0,3,1,0,0,185,220,NA,48855,93114,18270,4,5
19049000501,19,049,000501,3335,3301,3,22,1,8,0,2443,2423,1,14,1,4,0,311,186,NA,86970,90972,32010,2,4
19049000502,19,049,000502,3358,3340,8,2,3,5,0,2420,2413,2,1,1,3,0,479.74,543.22,NA,18255,90018,08520,2,4
19049000503,19,049,000503,3678,3626,13,24,3,12,0,2770,2740,13,10,2,5,0,806.12,519.72,NA,62355,93993,22530,2,4
19049000504,19,049,000504,3081,3041,11,23,1,5,0,2240,2215,8,12,1,4,0,651.88,420.28,NA,62355,93993,22530,2,4
19049000505,19,049,000505,2190,2171,0,13,4,1,1,1590,1578,0,9,2,0,1,66,57,NA,19135,90879,22530,2,4
19049000506,19,049,000506,2660,2633,2,16,4,5,0,1953,1937,1,7,4,4,0,202,186,NA,66045,94194,09030,2,4
19049000507,19,049,000507,3672,3634,5,26,1,6,0,2574,2549,4,16,1,4,0,510.26,577.78,NA,505,90018,06870,2,4
19049000508,19,049,000508,7781,7660,20,50,25,26,0,5479,5414,8,23,16,18,0,574,567,NA,82695,94326,30510,2,4
19051009801,19,051,009801,4089,4039,1,20,14,15,0,3035,3003,1,12,11,8,0,80,52,NA,7030,92502,08610,3,3
19051009802,19,051,009802,4223,4185,1,21,10,6,0,3015,2996,1,9,7,2,0,62,28,NA,7030,94791,08610,3,3
19053009601,19,053,009601,2488,2474,1,6,1,5,1,1823,1812,1,5,1,3,1,63,52,NA,19090,91506,06900,4,3
19053009602,19,053,009602,3660,3533,33,27,7,58,2,2917,2808,28,21,7,51,2,16,35,NA,42960,92380,16320,4,3
19053009603,19,053,009603,2190,2162,1,12,7,8,0,1657,1644,1,6,3,3,0,379,372,NA,44535,92416,06900,4,3
19055009501,19,055,009501,3996,3982,0,12,1,1,0,2693,2683,0,9,1,0,0,205,301,NA,23430,93177,18540,1,2
19055009502,19,055,009502,3137,3113,4,14,1,5,0,2147,2137,1,5,1,3,0,118,91,NA,50205,91980,30900,1,2
19055009503,19,055,009503,5213,5158,4,21,12,17,1,3739,3709,4,9,8,9,0,925,1485,NA,48810,90948,30900,1,2
19055009504,19,055,009504,5689,5652,3,21,1,8,4,3916,3895,2,17,1,1,0,40,76,NA,37155,93945,18540,1,2
19057000001,19,057,000001,422,395,14,8,1,4,0,338,318,12,4,1,3,0,101.57,84.35,NA,9550,90402,05790,3,3
19057000002,19,057,000002,3144,2969,88,46,16,23,2,2288,2194,51,27,7,9,0,687.55,570.98,NA,9550,90402,05790,3,3
19057000003,19,057,000003,4314,3952,277,47,5,33,0,3184,2999,124,35,4,22,0,956.8,794.58,NA,9550,90402,05790,3,3
19057000004,19,057,000004,4907,4212,546,106,19,20,4,3444,3045,317,62,9,9,2,1034.93,859.47,NA,9550,90402,05790,3,3
19057000005,19,057,000005,5304,5013,196,67,4,15,9,3956,3780,116,42,3,11,4,1188.79,987.24,NA,9550,90402,05790,3,3
19057000006,19,057,000006,4134,4031,44,32,3,24,0,3227,3164,29,18,3,13,0,969.72,805.31,NA,9550,90402,05790,3,3
19057000007,19,057,000007,2349,2282,26,13,1,27,0,1780,1734,17,10,1,18,0,534.89,444.21,NA,9550,90402,05790,3,3
19057000008,19,057,000008,3157,3069,32,43,1,12,0,2477,2418,25,25,1,8,0,744.34,618.15,NA,83685,91347,30780,3,3
19057000009,19,057,000009,3497,3395,36,31,5,29,1,2588,2532,19,17,2,18,0,777.7,645.85,NA,9550,90402,05790,3,3
19057000010,19,057,000010,4771,4713,8,40,4,5,1,3499,3467,4,21,4,3,0,122,131,NA,50790,94803,18930,3,3
19057000011,19,057,000011,3893,3819,27,29,4,14,0,2882,2837,15,19,4,7,0,69,74,NA,83685,91347,18930,3,3
19057000012,19,057,000012,2722,2656,16,30,5,15,0,1999,1961,9,17,4,8,0,600.7,498.86,NA,18435,90888,05790,3,3
19059009501,19,059,009501,1346,1330,0,7,2,3,4,1078,1065,0,7,2,1,3,238,377,NA,59655,93960,27000,6,5
19059009502,19,059,009502,2139,2130,0,3,2,4,0,1561,1557,0,1,1,2,0,38,38,NA,42600,93903,16140,6,5
19059009503,19,059,009503,1188,1183,0,4,0,1,0,998,995,0,2,0,1,0,275.37,360.38,NA,81615,92379,00021,6,5
19059009504,19,059,009504,1150,1141,0,5,3,1,0,954,950,0,1,2,1,0,263.23,344.5,NA,58710,90639,00021,6,5
19059009505,19,059,009505,4173,4139,14,11,7,2,0,3145,3130,5,4,6,0,0,867.77,1135.68,NA,74415,90639,27000,6,5
19059009506,19,059,009506,980,968,0,4,1,7,0,796,788,0,3,1,4,0,219.63,287.44,NA,3025,90639,00021,6,5
19059009507,19,059,009507,786,781,0,0,3,2,0,593,589,0,0,2,2,0,51,43,NA,74415,90639,27000,6,5
19059009508,19,059,009508,3147,3119,0,18,3,5,2,2278,2268,0,7,1,1,1,142,141,NA,52095,92931,00021,6,5
19061000001,19,061,000001,2133,2067,34,20,2,8,2,1765,1718,27,11,2,7,0,471.26,405,NA,22395,91085,09480,1,2
19061000002,19,061,000002,943,908,12,18,3,2,0,711,695,5,9,1,1,0,189.84,163.15,NA,22395,91085,09480,1,2
19061000003,19,061,000003,2271,2243,4,18,3,3,0,1711,1692,4,11,1,3,0,456.84,392.61,NA,22395,91085,09480,1,2
19061000004,19,061,000004,3984,3943,6,15,7,11,2,3101,3084,2,7,4,4,0,827.98,711.56,NA,22395,91085,09480,1,2
19061000005,19,061,000005,4421,4322,17,45,22,5,10,3117,3069,11,22,13,2,0,832.25,715.23,NA,22395,91085,09480,1,2
19061000006,19,061,000006,3289,3153,38,40,4,48,6,2534,2429,35,33,4,33,0,676.59,581.45,NA,22395,91085,09480,1,2
19061000009,19,061,000009,4119,3925,48,41,1,104,0,3155,2987,44,31,1,92,0,842.4,723.95,NA,22395,91085,09480,1,2
19061000010,19,061,000010,846,811,6,16,1,11,1,806,773,5,15,1,11,1,215.21,184.94,NA,22395,91085,09480,1,2
19061000102,19,061,000102,5663,5581,9,23,1,48,1,3755,3697,7,10,1,39,1,429,453,NA,26760,94098,31350,1,2
19061000103,19,061,000103,2916,2915,0,1,0,0,0,1953,1952,0,1,0,0,0,308,184,NA,11305,94728,31350,1,2
19061000104,19,061,000104,4250,4243,0,3,1,2,1,2881,2879,0,1,1,0,0,826.29,827.79,NA,11305,93108,31350,1,2
19061000105,19,061,000105,4043,4037,1,1,2,2,0,2872,2866,1,1,2,2,0,823.71,825.21,NA,23115,93108,31350,1,2
19061000106,19,061,000106,3193,3183,2,6,2,0,0,2186,2181,0,3,2,0,0,269,264,NA,69690,92217,09480,1,2
19061000299,19,061,000299,21,21,0,0,0,0,0,21,21,0,0,0,0,0,5.61,4.82,NA,22395,91085,09480,1,2
19061000701,19,061,000701,3671,3539,55,32,4,39,2,2950,2846,45,25,3,29,2,787.66,676.91,NA,22395,91085,09480,1,2
19061000702,19,061,000702,3685,3625,27,19,1,9,4,2743,2701,20,13,1,7,1,732.39,629.41,NA,22395,91085,09480,1,2
19061000801,19,061,000801,5205,5139,18,22,1,25,0,3847,3806,14,15,1,11,0,1027.17,882.73,NA,22395,91085,09480,1,2
19061000802,19,061,000802,2556,2530,1,8,1,16,0,1780,1767,1,4,0,8,0,475.27,408.44,NA,22395,91085,09480,1,2
19061001101,19,061,001101,3501,3450,2,12,1,36,0,2584,2554,0,8,1,21,0,689.94,592.92,NA,22395,91085,09480,1,2
19061001102,19,061,001102,5507,5471,11,13,4,8,0,4041,4017,6,9,3,6,0,1078.96,927.25,NA,22395,91085,09480,1,2
19061001201,19,061,001201,3031,2999,17,8,0,6,1,2317,2303,4,6,0,4,0,618.65,531.66,NA,22395,91085,09480,1,2
19061001202,19,061,001202,1945,1919,6,10,0,10,0,1605,1582,6,7,0,10,0,428.54,368.28,NA,22395,91085,09480,1,2
