GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
18003000035,18,003,000035,3850,3526,216,40,3,64,1,3057,2837,141,28,3,48,0,426.39,948.76,25000,66924,NA,NA,03630,2,4
18003000036,18,003,000036,4514,3819,509,138,12,32,4,3415,3001,302,81,7,23,1,871.55,927.63,25000,81620,NA,NA,03630,2,4
18003000037,18,003,000037,2837,2710,16,85,21,5,0,2110,2040,8,46,14,2,0,538.5,573.15,25000,81620,NA,NA,03630,2,4
18003000038,18,003,000038,3345,3213,25,65,12,29,1,2490,2410,12,39,10,18,1,635.48,676.37,25000,81620,NA,NA,03630,2,4
18003000040,18,003,000040,3865,2116,1612,104,2,20,11,2632,1606,952,58,2,12,2,502.21,689.68,25000,298,NA,NA,02850,2,4
18003000042,18,003,000042,622,549,60,12,0,1,0,619,546,60,12,0,1,0,86.34,192.11,25000,66924,NA,NA,03630,2,4
18003000101,18,003,000101,3583,3551,3,24,1,1,3,2327,2308,2,14,1,0,2,303,452,NA,72116,NA,NA,02850,2,4
18003000102,18,003,000102,6688,6604,19,34,6,25,0,4571,4527,9,20,4,11,0,491,1531,28494,10990,NA,NA,08250,2,4
18003000104,18,003,000104,2576,2552,5,9,5,4,1,1776,1759,3,5,5,3,1,226,443,NA,20512,NA,NA,08250,2,4
18003000105,18,003,000105,1914,1869,1,17,23,2,2,1408,1378,0,8,19,1,2,270,443,NA,40932,NA,NA,08250,2,4
18003000106,18,003,000106,6388,6250,39,66,8,23,2,4706,4612,26,42,7,18,1,747.88,1239.17,25000,80342,NA,NA,03630,2,4
18003000109,18,003,000109,5624,5585,3,21,7,6,2,3728,3709,1,10,4,3,1,202,463,85184,49248,NA,NA,02850,2,4
18003000110,18,003,000110,2443,2418,1,16,8,0,0,1719,1702,0,11,6,0,0,366,386,52992,37836,NA,NA,02850,2,4
18003000111,18,003,000111,3176,3130,8,20,8,8,2,2390,2365,3,12,5,4,1,456.03,626.26,52992,298,NA,NA,02850,2,4
18003000119,18,003,000119,1969,1954,1,8,3,3,0,1413,1404,1,4,3,1,0,319,264,50562,50238,NA,NA,02850,2,4
