GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
08077001702,08,077,001702,3618,3425,4,144,29,12,4,2663,2545,3,88,20,6,1,529.43,649.01,NA,56970,90665,NA,04350,3,6
08079009736,08,079,009736,558,528,0,27,3,0,0,433,415,0,16,2,0,0,191,172,NA,17980,90874,NA,03150,3,6
08081009501,08,081,009501,862,813,1,25,20,3,0,605,571,1,19,11,3,0,121.57,172.23,NA,NA,90855,NA,05730,3,6
08081009502,08,081,009502,4544,4182,1,314,29,17,1,3161,2916,1,209,24,10,1,635.16,899.85,NA,17760,90855,NA,05730,3,6
08081009503,08,081,009503,5071,4723,8,293,29,16,2,3284,3100,4,153,18,7,2,659.88,934.86,NA,17760,90855,NA,05730,3,6
08081009504,08,081,009504,880,806,0,66,4,3,1,629,574,0,49,4,1,1,126.39,179.06,NA,20495,92432,NA,05730,3,6
08083009690,08,083,009690,1983,1673,3,183,115,9,0,1412,1228,2,123,54,5,0,242.26,349.92,NA,20770,91045,NA,03390,3,6
08083009691,08,083,009691,2026,1777,0,207,41,1,0,1440,1283,0,131,25,1,0,247.07,356.86,NA,48115,92394,NA,05460,3,6
08083009692,08,083,009692,4818,4314,6,268,214,12,4,3338,3037,4,161,126,8,2,572.71,827.22,79930,17375,90817,NA,03090,3,6
08083009693,08,083,009693,4389,3736,1,387,255,10,0,3006,2622,0,241,138,5,0,515.75,744.94,NA,17375,90817,NA,03090,3,6
08083009694,08,083,009694,4321,3327,2,526,448,13,5,2936,2413,0,300,209,10,4,503.74,727.6,NA,17375,90817,NA,03090,3,6
08083009695,08,083,009695,1135,109,0,41,985,0,0,708,57,0,25,626,0,0,121.47,175.46,79930,78280,93705,NA,03090,3,6
08085009661,08,085,009661,2289,2176,0,95,14,4,0,1632,1566,0,57,7,2,0,225.3,267.38,NA,54935,92698,NA,05850,3,6
08085009662,08,085,009662,4564,3953,12,577,14,8,0,3190,2830,9,336,10,5,0,440.39,522.64,NA,55540,92736,NA,05790,3,6
08085009663,08,085,009663,3259,2472,32,728,12,11,4,2423,1880,17,506,11,6,3,334.5,396.98,NA,51745,92546,NA,05790,3,6
08085009664,08,085,009664,5767,5060,6,650,38,8,5,4402,3950,4,410,30,4,4,607.71,721.21,NA,51745,92546,NA,05790,3,6
08085009665,08,085,009665,3361,3018,6,312,15,9,1,2365,2159,4,186,10,5,1,326.5,387.47,NA,51745,92546,NA,05790,3,6
08085009666,08,085,009666,5183,4768,5,374,22,14,0,3713,3468,4,216,15,10,0,512.59,608.32,NA,51745,92546,NA,05790,3,6
08087009946,08,087,009946,1823,1669,0,153,0,1,0,1249,1166,0,83,0,0,0,275.18,307.31,NA,36610,90418,NA,02610,2,2
08087009947,08,087,009947,4702,3723,9,928,16,16,10,3424,2849,8,540,9,13,5,754.38,842.47,NA,9555,90418,NA,02610,2,2
08087009948,08,087,009948,2363,1834,9,503,3,7,7,1560,1264,1,288,3,2,2,343.7,383.83,NA,45695,91368,NA,04050,2,2
08087009949,08,087,009949,4003,3194,4,762,27,16,0,3055,2561,1,467,12,14,0,673.08,751.67,NA,27810,91368,NA,04050,2,2
08087009950,08,087,009950,2034,1504,5,508,8,6,3,1476,1169,5,292,5,3,2,325.19,363.17,NA,27810,91368,NA,04050,2,2
08087009951,08,087,009951,4686,3740,3,903,17,20,3,3124,2625,3,469,11,14,2,688.28,768.65,NA,27810,91368,NA,04050,2,2
08087009952,08,087,009952,1746,1504,15,206,11,8,2,1140,978,10,136,8,6,2,251.17,280.49,NA,84770,93876,NA,07290,2,2
08087009953,08,087,009953,582,499,0,71,5,0,7,404,360,0,36,3,0,5,89.01,99.4,NA,NA,93781,NA,07140,2,2
08089009876,08,089,009876,2191,1891,20,265,14,1,0,1511,1336,13,152,9,1,0,359.16,339.04,NA,13460,90608,NA,02880,2,2
08089009877,08,089,009877,5584,3004,49,2436,31,31,33,3951,2334,35,1509,27,25,21,939.14,886.54,NA,42110,92090,NA,05130,2,2
08089009878,08,089,009878,3866,2774,19,1016,28,27,2,2774,2079,11,644,19,20,1,659.37,622.44,NA,42110,92090,NA,05130,2,2
08089009879,08,089,009879,2838,1997,10,786,9,35,1,2067,1540,3,487,4,33,0,491.32,463.8,NA,65190,93116,NA,06270,2,2
08089009880,08,089,009880,2966,928,5,2007,17,3,6,2013,751,3,1241,13,3,2,478.48,451.68,NA,65190,93116,NA,06270,2,2
