GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
35005000008,35,005,000008,5126,3653,89,1314,36,26,8,3703,2856,47,753,27,15,5,562.5,1102.13,NA,64930,92670,02250,3,2
35005000009,35,005,000009,2200,1664,21,498,7,9,1,1554,1247,11,284,6,5,1,236.06,462.52,NA,64930,92670,02250,3,2
35005000010,35,005,000010,7314,6376,29,848,26,32,3,5461,4871,25,526,18,18,3,829.55,1625.36,NA,64930,92670,02250,3,2
35005000011,35,005,000011,6776,4370,97,2256,34,10,9,4554,3138,57,1314,29,7,9,691.77,1355.41,NA,64930,93240,02250,3,2
35005000012,35,005,000012,1533,1011,0,507,6,1,8,1035,729,0,296,5,1,4,157.22,308.05,NA,NA,93090,02250,3,2
35005000013,35,005,000013,2062,965,1,1089,6,0,1,1324,684,1,634,4,0,1,201.12,394.06,NA,20620,90960,00750,3,2
35005000014,35,005,000014,2149,946,20,1171,11,0,1,1439,699,17,711,11,0,1,218.59,428.29,NA,31330,91410,01200,3,2
35006009741,35,006,009741,2967,1281,29,1429,217,8,3,2136,953,29,995,150,6,3,439.16,351.24,51560,30490,91380,01170,2,2
35006009742,35,006,009742,5763,2451,95,2788,405,21,3,3803,1831,67,1694,196,13,2,781.89,625.37,NA,30490,91380,01170,2,2
35006009743,35,006,009743,2864,827,25,1859,130,23,0,1973,633,13,1241,76,10,0,405.64,324.44,NA,30490,91380,01170,2,2
35006009744,35,006,009744,2242,942,23,1020,254,3,0,1452,699,18,609,125,1,0,298.53,238.77,NA,48620,91380,01170,2,2
35006009745,35,006,009745,1687,742,2,857,84,2,0,1179,573,1,559,44,2,0,242.4,193.88,660,30490,91380,01170,2,2
35006009746,35,006,009746,1852,159,1,38,1653,0,1,1090,115,1,23,950,0,1,224.1,179.24,51560,NA,93900,01170,2,3
35006009747,35,006,009747,2584,25,1,22,2532,4,0,1590,25,1,17,1544,3,0,326.9,261.46,660,765,91380,01170,2,2
35006009748,35,006,009748,3835,64,3,96,3670,1,1,2497,54,3,58,2380,1,1,513.38,410.61,37210,55340,91710,01170,2,2
35007009505,35,007,009505,4486,1789,5,2644,14,2,32,3184,1409,4,1739,8,2,22,876.58,749.93,NA,62060,92520,02190,2,3
35007009506,35,007,009506,3938,2397,5,1502,11,6,17,2852,1869,4,958,8,4,9,785.18,671.73,NA,62060,92520,02190,2,3
35007009507,35,007,009507,2456,1047,15,1352,31,5,6,1674,788,1,864,14,3,4,460.87,394.28,NA,74800,93270,02490,2,3
35007009508,35,007,009508,2045,1338,4,692,9,2,0,1516,1053,2,453,7,1,0,417.37,357.06,NA,15440,90600,00480,2,3
35009000001,35,009,000001,4555,984,909,2587,16,29,30,2874,713,577,1526,11,23,24,393.37,653.69,NA,16420,90720,00570,3,3
35009000004,35,009,000004,4163,2396,144,1485,31,89,18,2977,1915,87,885,20,57,13,407.47,677.12,NA,16420,90720,00570,3,3
35009000005,35,009,000005,1860,909,17,896,11,17,10,1247,679,10,531,5,13,9,170.68,283.63,NA,16420,90720,00570,3,3
35009000006,35,009,000006,4597,3447,86,1008,21,31,4,3144,2479,50,570,19,24,2,430.33,715.1,NA,77250,90720,00570,3,3
35009000007,35,009,000007,1164,1040,0,113,7,2,2,843,780,0,58,4,0,1,115.38,191.74,NA,47570,92010,01830,3,3
35009000008,35,009,000008,440,414,0,26,0,0,0,324,311,0,13,0,0,0,44.35,73.69,NA,30210,90390,01140,3,3
35009000009,35,009,000009,4595,3273,602,476,42,194,8,2834,2080,370,252,22,106,4,387.9,644.59,NA,10750,90720,00570,3,3
35009000201,35,009,000201,3954,3099,207,533,25,83,7,2802,2284,131,308,18,57,4,383.52,637.31,NA,16420,90720,00570,3,3
35009000202,35,009,000202,4114,1899,492,1560,33,118,12,2757,1438,294,927,19,70,9,377.36,627.08,NA,16420,90720,00570,3,3
35009000301,35,009,000301,5707,4635,146,805,34,77,10,4226,3600,87,457,26,52,4,578.43,961.2,NA,16420,90720,00570,3,3
35009000302,35,009,000302,7058,6235,169,526,22,98,8,5218,4657,127,346,15,69,4,714.21,1186.83,NA,16420,90720,00570,3,3
35011009601,35,011,009601,2028,1297,2,699,26,0,4,1525,1010,2,496,15,0,2,441.92,568.71,NA,27340,91110,01050,1,2
35011009602,35,011,009602,224,183,0,37,4,0,0,159,134,0,21,4,0,0,46.08,59.29,NA,NA,93750,01050,1,2
35013000002,35,013,000002,6179,2759,54,3319,26,20,1,4381,2190,38,2116,22,14,1,688.58,881.26,NA,39380,91740,01500,3,2
35013000003,35,013,000003,3740,2096,67,1528,19,28,2,2813,1717,47,1005,16,26,2,442.13,565.85,NA,39380,91740,01500,3,2
35013000005,35,013,000005,3164,1085,27,2005,25,14,8,2192,885,19,1254,20,10,4,344.52,440.93,NA,39380,91740,01500,3,2
35013000006,35,013,000006,3044,780,42,2171,25,12,14,2312,660,32,1575,21,12,12,363.38,465.07,NA,39380,91740,01500,3,2
35013000007,35,013,000007,6171,2574,88,3390,58,50,11,4488,2091,61,2240,48,40,8,705.39,902.79,NA,39380,91740,01500,3,2
35013000008,35,013,000008,3391,2179,82,1025,36,63,6,2591,1767,46,700,27,46,5,407.24,521.19,NA,39380,91740,01500,3,2
35013000009,35,013,000009,5349,2828,134,2175,70,137,5,4402,2494,93,1626,59,126,4,691.88,885.49,NA,39380,91740,01500,3,2
35013000010,35,013,000010,4520,2542,153,1471,150,182,22,3818,2212,122,1219,119,128,18,600.09,768.01,NA,81030,91740,01500,3,2
35013000013,35,013,000013,15558,7307,140,7966,84,61,0,10402,5401,91,4800,65,45,0,1634.92,2092.42,NA,39380,91050,01500,3,2
35013000014,35,013,000014,3849,971,1,2866,9,2,0,2481,737,1,1734,7,2,0,389.95,499.07,NA,31820,91440,01230,3,2
35013000015,35,013,000015,3895,2357,66,1425,25,17,5,3012,1873,64,1037,23,10,5,473.41,605.88,NA,48060,91260,01500,3,2
