GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
30029000006,30,029,000006,4415,4328,4,32,44,7,0,3065,3009,2,22,25,7,0,837.97,959.29,NA,NA,91890,05990,15420,NA,1,1
30029000007,30,029,000007,4672,4453,1,74,125,19,0,3206,3073,1,42,76,14,0,876.52,1003.42,NA,25075,91890,10920,15420,NA,1,1
30029000008,30,029,000008,3759,3668,3,34,43,11,0,2571,2521,2,19,22,7,0,702.91,804.67,NA,25075,91890,15450,15420,NA,1,1
30029000009,30,029,000009,4823,4696,6,40,54,26,1,3679,3592,4,21,44,17,1,1005.84,1151.46,NA,40075,91890,15450,15420,NA,1,1
30029000010,30,029,000010,1981,1877,6,22,61,12,3,1583,1513,5,15,41,8,1,432.79,495.45,NA,40075,91890,15450,15420,NA,1,1
30029000011,30,029,000011,4952,4775,6,42,100,28,1,3635,3532,2,23,65,13,0,993.81,1137.69,NA,40075,91890,15450,15420,NA,1,1
30029000012,30,029,000012,3991,3887,2,39,53,10,0,2785,2722,0,18,36,9,0,761.42,871.65,NA,40075,91890,15450,15420,NA,1,1
30029000013,30,029,000013,4690,4577,5,43,41,24,0,3402,3323,3,29,31,16,0,930.1,1064.76,NA,NA,90735,03820,03840,NA,1,1
30029000014,30,029,000014,2632,2556,6,35,32,3,0,2017,1967,6,21,20,3,0,551.45,631.28,NA,NA,92163,00002,15420,NA,1,1
30031009857,30,031,009857,9060,8866,6,104,75,9,0,6180,6062,2,60,48,8,0,1732.08,1988.05,NA,4975,90189,03290,03330,NA,1,1
30031009858,30,031,009858,1951,1910,0,12,16,12,1,1416,1392,0,5,11,7,1,396.87,455.51,NA,73975,93528,26160,26190,NA,1,1
30031009859,30,031,009859,3461,3402,0,21,23,14,1,2289,2250,0,15,18,5,1,641.54,736.35,NA,47575,92226,17610,17640,NA,1,1
30031009860,30,031,009860,6415,6277,4,60,46,28,0,4557,4475,2,36,29,15,0,1277.2,1465.95,NA,8950,90420,04560,04590,NA,1,1
30031009861,30,031,009861,1792,1710,3,29,25,23,2,1411,1364,2,16,17,12,0,395.46,453.91,NA,8950,90420,04560,04590,NA,1,1
30031009862,30,031,009862,4808,4645,7,54,66,30,6,3873,3763,6,38,41,23,2,1085.49,1245.91,NA,8950,90420,04560,04590,NA,1,1
30031009863,30,031,009863,2697,2607,6,36,25,23,0,2232,2161,6,27,20,18,0,625.57,718.02,NA,8950,90420,04560,04590,NA,1,1
30031009864,30,031,009864,3389,3243,17,50,31,48,0,2942,2817,11,41,30,43,0,824.56,946.42,NA,8950,90420,04560,04590,NA,1,1
30031009865,30,031,009865,5742,5597,7,68,20,50,0,4298,4214,2,40,16,26,0,1204.61,1382.63,NA,8950,90420,04560,04590,NA,1,1
30031009866,30,031,009866,6375,5839,27,104,218,185,2,5437,5046,26,79,124,160,2,1523.84,1749.04,NA,8950,90420,04560,04590,NA,1,1
30031009867,30,031,009867,2807,2741,1,32,25,6,2,1990,1949,1,21,14,3,2,557.74,640.17,NA,NA,91344,11790,04590,NA,1,1
30031009868,30,031,009868,1966,1914,0,23,17,12,0,1570,1531,0,19,15,5,0,440.03,505.06,NA,79525,93780,27600,27630,NA,1,1
30033009576,30,033,009576,1589,1583,0,0,4,2,0,1108,1105,0,0,3,0,0,301,559,NA,39925,92478,15340,11880,NA,2,1
30035009760,30,035,009760,4223,3804,2,11,396,8,2,2977,2722,1,4,244,6,0,953.81,653.57,7225,18775,90777,00003,08190,NA,1,1
30035009761,30,035,009761,3248,1168,3,37,2035,2,3,1992,779,3,19,1190,1,0,638.22,437.33,7225,22985,90336,05140,05190,NA,1,1
30035009762,30,035,009762,4615,238,6,30,4341,0,0,2632,189,4,14,2425,0,0,843.28,577.83,7225,10375,90336,05140,05190,NA,1,1
30035009763,30,035,009763,35,34,0,0,1,0,0,24,23,0,0,1,0,0,7.69,5.27,NA,NA,91449,05140,05190,NA,1,1
30037009680,30,037,009680,383,371,0,4,4,4,0,285,277,0,1,4,3,0,108.55,136.23,NA,42850,92016,16260,16290,NA,2,1
30037009681,30,037,009681,529,519,0,4,6,0,0,374,371,0,1,2,0,0,142.45,178.77,NA,64975,92940,23320,23340,NA,2,1
30039009917,30,039,009917,1103,1088,0,3,11,1,0,796,785,0,3,7,1,0,241.78,307.33,NA,21850,90945,09180,09210,NA,1,1
30039009918,30,039,009918,1445,1426,0,6,10,3,0,1074,1060,0,6,7,1,0,326.22,414.67,NA,57175,92625,20430,12840,NA,1,1
30041009731,30,041,009731,716,698,0,14,1,3,0,453,444,0,6,1,2,0,167.91,127.47,NA,NA,93906,14150,13590,NA,2,1
