GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
34011000303,34,011,000303,3864,3407,202,223,12,14,6,2842,2567,127,127,8,12,1,413.38,755.71,NA,46680,46680,NA,NA,10320,10,3
34011000304,34,011,000304,7454,6130,762,456,43,57,6,5596,4844,432,251,29,35,5,813.97,1488.02,NA,46680,46680,NA,NA,10320,10,3
34011000305,34,011,000305,8369,7045,704,532,29,54,5,5994,5306,373,260,21,31,3,871.86,1593.85,NA,46680,46680,NA,NA,10320,10,3
34011000401,34,011,000401,530,127,72,331,0,0,0,347,95,51,201,0,0,0,52.09,90.83,NA,76070,76070,NA,NA,16800,10,3
34011000402,34,011,000402,6216,1350,915,3892,21,22,16,4208,1127,601,2446,9,15,10,631.74,1101.44,NA,76070,76070,NA,NA,16800,10,3
34011000403,34,011,000403,3285,2705,118,446,2,14,0,2671,2270,88,303,2,8,0,400.99,699.13,NA,76070,76070,NA,NA,16800,10,3
34011000404,34,011,000404,5824,3685,701,1368,15,53,2,4458,3046,475,885,13,38,1,669.28,1166.87,NA,76070,76070,NA,NA,16800,10,3
34011000405,34,011,000405,5448,2360,1053,1955,14,55,11,3898,1962,658,1217,14,40,7,585.2,1020.3,NA,76070,76070,NA,NA,16800,10,3
34011000406,34,011,000406,7028,3681,827,2423,23,63,11,5073,2960,543,1503,16,43,8,761.6,1327.85,NA,76070,76070,NA,NA,16800,10,3
34011000407,34,011,000407,7295,6064,498,623,10,94,6,5781,4934,364,404,9,67,3,867.9,1513.17,NA,76070,76070,NA,NA,16800,10,3
34011000410,34,011,000410,5724,4954,283,447,19,20,1,4282,3784,180,289,13,15,1,642.85,1120.81,NA,76070,76070,NA,NA,16800,10,3
34011040898,34,011,040898,3894,3356,224,205,6,96,7,2769,2447,126,134,5,57,0,415.71,724.78,NA,76070,76070,NA,NA,16800,10,3
34011040998,34,011,040998,9536,7243,987,1236,36,30,4,7178,5672,671,787,23,24,1,1077.63,1878.83,NA,76070,76070,NA,NA,16800,10,3
34013000001,34,013,000001,4294,1741,138,2343,5,40,27,3239,1535,102,1556,3,31,12,556.17,706.3,NA,51000,51000,NA,NA,11340,4,11
34013000002,34,013,000002,2700,866,373,1411,1,21,28,2082,752,299,997,1,20,13,357.5,454.01,NA,51000,51000,NA,NA,11340,4,11
34013000003,34,013,000003,3553,1698,739,1064,0,46,6,2804,1517,476,776,0,32,3,481.48,611.45,NA,51000,51000,NA,NA,11340,2,11
34013000004,34,013,000004,1911,1149,108,545,0,97,12,1502,969,90,364,0,72,7,257.91,327.53,NA,51000,51000,NA,NA,11340,4,11
34013000005,34,013,000005,1502,693,89,681,3,33,3,1145,585,73,453,3,29,2,196.61,249.68,NA,51000,51000,NA,NA,11340,4,11
34013000006,34,013,000006,3375,2106,178,945,1,104,41,2611,1717,117,657,0,84,36,448.34,569.36,NA,51000,51000,NA,NA,11340,4,11
34013000007,34,013,000007,5354,391,2405,2491,10,27,30,3382,304,1555,1483,7,21,12,580.73,737.49,NA,51000,51000,NA,NA,11340,4,11
