GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
12005000016,12,005,000016,4104,804,3184,40,11,64,1,2960,685,2206,30,5,34,0,369.99,680.26,NA,54700,92626,00090,15,3
12005000017,12,005,000017,3110,1124,1891,5,11,74,5,2180,884,1240,2,8,46,0,272.5,501.01,NA,54700,92626,00090,15,3
12005000018,12,005,000018,1797,1422,245,24,13,91,2,1293,1103,122,13,10,44,1,161.62,297.16,NA,54700,92626,00090,15,3
12005000019,12,005,000019,4867,4625,129,65,18,30,0,3871,3724,67,39,14,27,0,483.87,889.63,NA,54700,92626,00090,15,3
12005000020,12,005,000020,504,410,81,10,2,0,1,492,400,80,10,2,0,0,61.5,113.07,NA,54700,92626,00090,15,3
12005000021,12,005,000021,1395,1267,95,12,10,8,3,1151,1059,68,8,6,8,2,143.87,264.52,NA,54700,92626,00090,15,3
12005000022,12,005,000022,4235,2805,1291,44,37,58,0,3130,2257,790,26,25,32,0,391.24,719.33,NA,54700,92626,00090,15,3
12005000023,12,005,000023,4142,3832,159,52,36,63,0,3251,3050,103,35,20,43,0,406.37,747.14,NA,54700,92626,00090,15,3
12005000024,12,005,000024,4259,3725,313,80,44,92,5,3220,2906,156,59,26,72,1,402.49,740.02,NA,54700,92626,00090,15,2
12005000025,12,005,000025,3195,3054,30,48,9,54,0,2432,2335,16,30,6,45,0,304,558.92,NA,58962,92626,00090,15,2
12005000026,12,005,000026,11149,10554,147,248,86,114,0,8979,8570,94,175,51,89,0,715.79,1634.06,NA,73312,92639,00090,15,3
12005000027,12,005,000027,6568,6419,10,75,14,48,2,5413,5298,7,59,13,36,0,431.52,985.1,NA,54725,92639,00090,15,2
12005002699,12,005,002699,82,74,3,4,1,0,0,82,74,3,4,1,0,0,6.54,14.92,NA,73312,92639,00090,15,2
12007000001,12,007,000001,4937,3322,1513,54,15,33,0,3470,2487,914,41,7,21,0,497.31,659.97,NA,68525,93237,00120,7,7
12007000002,12,007,000002,7091,5537,1313,179,24,37,1,5544,4226,1101,163,24,30,0,794.55,1054.43,NA,68525,93237,00120,7,7
12007000003,12,007,000003,5537,5199,239,65,13,19,2,4145,3925,161,39,8,12,0,594.05,788.35,NA,28575,91430,00120,7,7
12007000004,12,007,000004,4950,3348,1440,128,22,9,3,3950,2567,1238,114,20,8,3,566.1,751.26,NA,39700,91898,00120,7,7
