GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
20069009627,20,069,009627,2839,2681,7,137,13,0,1,1925,1844,4,70,7,0,0,323.81,607.2,NA,47875,47900,09630,3,4
20071009581,20,071,009581,1774,1659,3,107,1,1,3,1227,1164,3,56,1,1,2,209,415,NA,71450,71475,06690,3,4
20073009950,20,073,009950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,NA,NA,67425,06120,1,1
20073009956,20,073,009956,2673,2634,0,25,14,0,0,1991,1968,0,14,9,0,0,74,163,NA,44050,35000,09090,1,1
20073009957,20,073,009957,3211,3113,6,61,31,0,0,2530,2462,6,41,21,0,0,587,775,NA,21800,21800,06120,1,1
20073009958,20,073,009958,1963,1926,3,5,29,0,0,1460,1435,2,2,21,0,0,47,51,NA,64050,71825,06120,1,1
20075009586,20,075,009586,2388,2212,5,139,8,23,1,1772,1671,3,82,4,12,0,354,616,NA,69850,69875,12150,3,4
20077009916,20,077,009916,2566,2506,2,46,12,0,0,1894,1857,1,29,7,0,0,92,94,NA,30175,71217,03390,2,1
20077009917,20,077,009917,1833,1807,3,12,10,1,0,1365,1350,1,8,5,1,0,25,64,NA,3100,71201,03390,2,1
20077009918,20,077,009918,2725,2642,8,47,24,4,0,2059,2013,8,27,9,2,0,61,115,NA,1975,1975,03390,2,1
20079000301,20,079,000301,4224,3758,140,269,16,37,4,3276,2976,100,154,14,30,2,258,167,NA,50475,50475,09960,1,1
20079000302,20,079,000302,5397,5049,62,208,23,50,5,4021,3829,34,113,16,29,0,75.53,117.09,NA,50475,50475,09960,1,1
20079000303,20,079,000303,3919,3161,129,566,35,28,0,2847,2367,85,362,18,15,0,53.47,82.91,NA,50475,50475,09960,1,1
20079000304,20,079,000304,5179,4698,95,322,24,36,4,3830,3541,66,186,15,21,1,3040,3301,NA,50475,50475,09960,1,1
20079000305,20,079,000305,5719,5503,49,111,13,37,6,4156,4004,40,71,7,33,1,448,670,NA,31600,21025,07170,1,1
20079000306,20,079,000306,6590,6347,49,140,30,19,5,4728,4588,29,77,22,12,0,233,352,NA,29600,63825,06840,1,1
20081009631,20,081,009631,3886,3305,2,557,17,4,1,2621,2284,2,319,13,3,0,192,480,NA,63150,18825,12090,3,4
20083009611,20,083,009611,2177,2120,22,32,2,1,0,1566,1532,15,16,2,1,0,174,316,NA,35450,44575,07800,3,4
20085009826,20,085,009826,4691,4528,18,58,86,1,0,3292,3180,12,36,63,1,0,95,150,57150,33375,18350,04830,5,2
20085009827,20,085,009827,3640,3541,8,19,70,2,0,2750,2679,7,10,52,2,0,92,162,NA,32825,32825,07380,5,2
20085009828,20,085,009828,3194,2599,13,49,525,6,2,2181,1839,9,19,311,2,1,115,91,57150,13375,40750,04830,5,2
20087000201,20,087,000201,7221,7050,37,66,52,16,0,5232,5115,32,41,34,10,0,175,172,NA,55450,60575,10620,5,2
20087000202,20,087,000202,4125,4009,27,29,28,31,1,2981,2899,23,18,17,24,0,171,203,NA,73300,17425,13020,5,2
20087000203,20,087,000203,4559,4451,9,37,44,15,3,3330,3259,8,23,26,13,1,252,381,NA,53375,53400,09360,5,2
20089009761,20,089,009761,1636,1627,0,3,5,1,0,1277,1274,0,1,2,0,0,9,24,NA,9525,9550,12950,3,4
20089009762,20,089,009762,2615,2600,0,5,7,3,0,1958,1952,0,2,4,0,0,10,27,NA,44300,11750,07830,3,4
20091000500,20,091,000500,5177,4923,22,185,10,36,1,4070,3892,13,137,6,22,0,400,371,NA,77500,77500,11640,4,3
20091000501,20,091,000501,4899,4345,185,253,23,75,18,3676,3332,111,166,17,47,3,1487,1486,NA,60825,60825,11640,4,3
20091000502,20,091,000502,4211,3978,25,162,10,26,10,3270,3117,17,100,10,23,3,591.89,710.12,NA,47225,47225,11640,4,3
20091000504,20,091,000504,4261,3874,179,129,26,46,7,3273,3026,113,82,17,33,2,527.99,592.8,NA,53775,53775,11640,4,3
20091000505,20,091,000505,2944,2792,24,74,17,37,0,2201,2101,14,51,15,20,0,381.1,539.78,NA,53775,53775,11640,4,3
20091000506,20,091,000506,5300,5083,24,118,17,58,0,4090,3955,18,65,11,41,0,708.18,1003.04,NA,53775,53775,11640,4,3
20091000507,20,091,000507,4880,4691,44,98,3,41,3,3803,3677,25,70,2,29,0,892.66,1312.2,NA,57575,57575,11640,4,3
20091000508,20,091,000508,2600,2549,1,19,2,29,0,2012,1966,0,16,2,28,0,161.96,514.56,NA,47350,47350,11640,4,3
20091000509,20,091,000509,4647,4556,14,53,2,22,0,3603,3533,10,40,2,18,0,290.04,921.44,NA,57575,57575,11640,4,3
20091000510,20,091,000510,4038,3918,21,71,9,18,1,3021,2934,14,51,8,14,0,709.1,1042.38,NA,57575,57575,11640,4,3
20091000511,20,091,000511,3860,3626,42,115,13,62,2,3029,2869,29,73,11,46,1,524.47,742.84,NA,53775,53775,11640,4,3
20091000512,20,091,000512,4298,4063,54,109,16,54,2,3467,3295,43,68,16,44,1,600.31,850.25,NA,53775,53775,11640,4,3
20091000513,20,091,000513,4609,4342,56,125,16,66,4,3590,3404,36,91,10,48,1,842.66,1238.71,NA,57575,57575,11640,4,3
20091000514,20,091,000514,3376,3283,11,51,6,25,0,2696,2637,8,28,5,18,0,632.82,930.24,NA,57575,57575,11640,4,3
20091000515,20,091,000515,3723,3548,29,90,11,45,0,2761,2660,16,49,9,27,0,648.07,952.67,NA,57575,57575,11640,4,3
20091000516,20,091,000516,5477,5363,25,24,9,52,4,4407,4329,14,19,7,37,1,604.08,1324.36,NA,39075,39075,11640,4,3
20091000517,20,091,000517,4470,4345,10,41,2,72,0,3515,3421,9,29,2,54,0,481.81,1056.3,NA,39075,39075,11640,4,3
20091000525,20,091,000525,1763,1712,17,25,4,5,0,1235,1202,10,18,2,3,0,213.84,302.87,NA,64500,64500,05490,4,3
