GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
39029009523,39,029,009523,3455,3278,138,29,0,9,1,2392,2290,77,17,0,8,0,1037.59,624.53,23730,23730,04391,12,18
39029009524,39,029,009524,4262,4133,88,12,10,19,0,3350,3251,70,10,8,11,0,1566,1322,23730,44226,04391,12,18
39029952598,39,029,952598,34,34,0,0,0,0,0,30,30,0,0,0,0,0,6.52,10.43,NA,40824,04349,11,18
39031009909,39,031,009909,3690,3646,4,17,11,12,0,2520,2495,3,9,6,7,0,153,201,3744,84714,04647,12,19
39031009910,39,031,009910,4058,3914,132,6,2,4,0,2791,2692,94,1,2,2,0,170,235,81032,6152,04648,12,19
39031009911,39,031,009911,3272,3234,10,8,17,3,0,2338,2316,7,5,7,3,0,49,108,53816,38556,04648,12,19
39031009912,39,031,009912,3177,3161,2,6,4,4,0,2265,2253,2,3,4,3,0,210,258,18266,28252,04648,12,19
39031009913,39,031,009913,4124,4048,45,18,6,3,4,2988,2938,33,9,5,3,0,144.19,200.94,18868,18868,04648,12,19
39031009914,39,031,009914,3688,3566,92,18,7,5,0,2752,2668,61,13,6,4,0,132.81,185.06,18868,18868,04382,12,19
39031009915,39,031,009915,2801,2678,77,9,9,28,0,2057,1980,44,7,7,19,0,1005.19,1205,18868,18868,04382,12,19
39031009916,39,031,009916,2519,2471,22,9,1,16,0,1958,1924,16,4,1,13,0,956.81,1147,18868,18868,04382,12,19
39031009917,39,031,009917,3116,3057,23,0,0,35,1,2369,2330,16,0,0,23,0,238,215,18868,18868,04382,12,19
39031009918,39,031,009918,4982,4948,7,15,10,2,0,3710,3684,7,10,7,2,0,192,256,83608,41132,04647,12,19
39033009741,39,033,009741,3914,3875,2,23,6,8,0,2800,2779,1,13,4,3,0,198,569,55776,19134,04650,20,8
39033009742,39,033,009742,4422,4408,8,3,3,0,0,3128,3121,2,2,3,0,0,152,453,NA,35980,04652,20,8
39033009743,39,033,009743,2741,2676,31,16,5,13,0,2094,2056,17,10,3,8,0,103,276,10030,10030,04368,20,8
39033009744,39,033,009744,4129,4063,13,20,12,21,0,3027,2979,8,15,12,13,0,661.92,1232.95,10030,10030,04368,20,8
39033009745,39,033,009745,5012,4955,10,29,10,8,0,3668,3635,7,13,8,5,0,802.08,1494.05,10030,10030,04368,20,8
39033009746,39,033,009746,2767,2721,23,15,4,4,0,2056,2030,14,8,0,4,0,304,696,10030,10030,04368,20,8
39033009747,39,033,009747,4246,4227,3,9,1,6,0,3061,3045,2,8,1,5,0,187,488,56994,43078,04651,20,8
39033009748,39,033,009748,2418,2326,63,10,1,17,1,1742,1687,38,6,0,11,0,96,189,19330,37744,10008,20,8
39033009749,39,033,009749,3574,3459,86,13,6,7,3,2662,2580,63,8,6,4,1,809,843,19330,37744,10008,20,8
39033009750,39,033,009750,3981,3935,2,25,5,13,1,3091,3055,1,22,3,10,0,129.68,244.94,29162,29162,04402,20,8
39033009751,39,033,009751,3798,3741,11,36,3,6,1,2700,2661,5,27,3,4,0,1502,2001,29162,29162,04402,20,8
39033009752,39,033,009752,2813,2797,0,8,4,4,0,2177,2166,0,6,2,3,0,91.33,172.51,29162,64010,04402,20,8
