GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
09001000000,09,001,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,99998,1,4
09001000103,09,001,000103,4036,3755,49,125,1,106,0,3147,2932,43,98,0,74,0,406.84,574.12,NA,NA,33620,NA,NA,01710,1,4
09001000104,09,001,000104,5008,4738,24,153,2,81,10,4181,3980,18,121,2,54,6,540.52,762.76,NA,NA,33620,NA,NA,01710,1,4
09001000105,09,001,000105,4945,3916,418,515,0,88,8,4106,3331,304,395,0,71,5,530.82,749.08,NA,NA,33620,NA,NA,01710,1,4
09001000106,09,001,000106,2250,1777,61,273,1,136,2,2007,1628,50,215,1,112,1,259.46,366.15,NA,NA,33620,NA,NA,01710,1,4
09001000107,09,001,000107,3534,2912,227,260,6,120,9,2986,2539,165,190,5,83,4,386.03,544.75,NA,NA,33620,NA,NA,01710,1,4
09001000108,09,001,000108,4113,3748,14,149,0,201,1,3283,3034,12,111,0,125,1,424.43,598.94,NA,NA,33620,NA,NA,01710,1,4
09001000109,09,001,000109,4810,4195,99,174,1,337,4,3841,3449,69,118,1,203,1,496.56,700.74,NA,NA,33620,NA,NA,01710,1,4
09001000110,09,001,000110,4517,4186,33,70,5,223,0,3449,3233,24,52,5,135,0,445.89,629.22,NA,73000,33620,NA,NA,01710,1,4
09001000111,09,001,000111,4537,4264,13,94,7,159,0,3392,3215,13,63,6,95,0,438.52,618.82,NA,NA,33620,NA,NA,01710,1,4
09001000112,09,001,000112,1729,1599,18,69,2,39,2,1402,1297,16,58,1,28,2,181.25,255.77,NA,NA,33620,NA,NA,01710,1,4
09001000113,09,001,000113,2979,2687,53,186,3,39,11,2470,2250,34,142,3,30,11,319.32,450.62,NA,NA,33620,NA,NA,01710,1,4
09001000201,09,001,000201,2827,1136,1045,562,12,63,9,2495,1055,900,470,12,54,4,334.06,464.3,NA,73000,73070,NA,NA,04320,1,4
09001000202,09,001,000202,3626,3317,100,117,5,86,1,2807,2571,73,96,3,63,1,375.83,522.37,NA,73000,73070,NA,NA,04320,1,4
09001000203,09,001,000203,7090,6534,237,137,4,174,4,5444,5040,182,108,2,110,2,728.9,1013.1,NA,73000,73070,NA,NA,04320,1,4
09001000204,09,001,000204,3437,3199,93,68,1,73,3,2707,2530,72,55,1,49,0,362.44,503.76,NA,73000,73070,NA,NA,04320,1,4
09001000205,09,001,000205,4546,4194,106,84,0,161,1,3584,3337,70,69,0,107,1,479.87,666.96,NA,73000,73070,NA,NA,04320,1,4
09001000206,09,001,000206,4685,4215,98,154,4,210,4,3815,3461,79,127,3,142,3,510.79,709.95,NA,73000,73070,NA,NA,04320,1,4
09001000207,09,001,000207,3787,3554,94,52,0,84,3,2953,2777,72,40,0,63,1,395.38,549.54,NA,73000,73070,NA,NA,04320,1,4
09001000208,09,001,000208,2618,2446,47,30,0,95,0,2078,1953,35,24,0,66,0,278.23,386.7,NA,73000,73070,NA,NA,04320,1,4
09001000209,09,001,000209,4331,3802,202,177,5,144,1,3568,3181,154,128,4,101,0,477.72,663.98,NA,73000,73070,NA,NA,04320,1,4
09001000210,09,001,000210,2937,2633,102,123,2,76,1,2355,2125,77,97,2,53,1,315.31,438.25,NA,73000,73070,NA,NA,04320,1,4
09001000211,09,001,000211,5211,4567,213,286,2,140,3,4324,3837,162,218,1,105,1,578.95,804.67,NA,73000,73070,NA,NA,04320,1,4
09001000212,09,001,000212,3842,3411,177,118,4,130,2,3162,2840,138,90,4,89,1,423.36,588.43,NA,73000,73070,NA,NA,04320,1,4
09001000213,09,001,000213,3705,2686,704,245,1,66,3,3074,2286,537,196,1,52,2,411.58,572.05,NA,73000,73070,NA,NA,04320,1,4
09001000214,09,001,000214,5657,2341,2278,946,8,64,20,4033,1976,1342,656,6,46,7,539.98,750.52,NA,73000,73070,NA,NA,04320,1,4
09001000215,09,001,000215,5717,1252,3113,1274,5,62,11,4236,1045,2198,939,5,45,4,567.16,788.29,NA,73000,73070,NA,NA,04320,1,4
09001000216,09,001,000216,5819,4074,851,672,12,199,11,5124,3728,695,515,11,169,6,686.06,953.55,NA,73000,73070,NA,NA,04320,1,4
09001000217,09,001,000217,4589,2565,1034,825,10,150,5,3942,2411,773,620,7,130,1,527.8,733.58,NA,73000,73070,NA,NA,04320,1,4
09001000218,09,001,000218,9188,6193,1688,950,9,328,20,7425,5379,1083,692,4,257,10,994.14,1381.75,NA,73000,73070,NA,NA,04320,1,4
09001000219,09,001,000219,4951,4314,224,304,2,97,10,4187,3714,153,240,2,75,3,560.6,779.18,NA,73000,73070,NA,NA,04320,1,4
09001000220,09,001,000220,2767,1802,627,291,1,42,4,2151,1549,378,187,1,35,1,288,400.29,NA,73000,73070,NA,NA,04320,1,4
09001000221,09,001,000221,6011,3704,1003,1167,0,129,8,5015,3266,746,889,0,107,7,671.46,933.26,NA,73000,73070,NA,NA,04320,1,4
09001000222,09,001,000222,2968,570,1300,1070,2,20,6,2212,508,925,761,2,13,3,296.17,411.64,NA,73000,73070,NA,NA,04320,1,4
09001000223,09,001,000223,5270,1482,2862,866,9,35,16,3606,1277,1764,525,4,31,5,482.81,671.05,NA,73000,73070,NA,NA,04320,1,4
09001000224,09,001,000224,2471,2318,51,44,1,55,2,1982,1854,41,40,1,45,1,265.37,368.84,NA,73000,73070,NA,NA,04320,1,4
09001000301,09,001,000301,2967,2833,12,72,0,50,0,2207,2111,9,57,0,30,0,274.51,1014.25,NA,18920,18850,NA,NA,01050,1,4
09001000302,09,001,000302,3123,2970,21,71,1,60,0,2346,2233,18,53,1,41,0,291.8,1078.13,NA,18920,18850,NA,NA,01050,1,4
09001000303,09,001,000303,3877,3752,8,67,4,45,1,2986,2899,7,45,4,30,1,371.4,1372.25,NA,18920,18850,NA,NA,01050,1,4
09001000304,09,001,000304,3177,3001,12,63,1,96,4,2438,2326,11,40,1,58,2,303.24,1120.41,NA,18920,18850,NA,NA,01050,1,4
09001000305,09,001,000305,5022,4819,17,67,1,118,0,3747,3605,8,60,1,73,0,466.05,1721.97,NA,18920,18850,NA,NA,01050,1,4
09001000351,09,001,000351,6615,6202,145,119,8,138,3,5360,5051,118,88,7,93,3,728.98,2337.3,NA,NA,50580,NA,NA,02700,1,4
09001000352,09,001,000352,2883,2808,19,27,0,26,3,2133,2076,16,22,0,17,2,290.1,930.12,NA,NA,50580,NA,NA,02700,1,4
09001000353,09,001,000353,3653,3511,33,49,1,58,1,2700,2601,27,33,1,38,0,367.21,1177.37,NA,18920,50580,NA,NA,02700,1,4
09001000354,09,001,000354,4743,4534,26,52,3,127,1,3461,3319,19,35,3,84,1,470.71,1509.21,NA,NA,50580,NA,NA,02700,1,4
09001000425,09,001,000425,3385,3163,111,56,1,51,3,2729,2572,78,38,1,37,3,420.22,602.87,NA,55990,56060,NA,NA,03090,1,4
09001000426,09,001,000426,3842,3420,172,172,1,73,4,3103,2778,132,136,1,55,1,477.81,685.49,NA,55990,56060,NA,NA,03090,1,4
09001000427,09,001,000427,3824,3346,189,199,1,88,1,3179,2832,146,137,1,63,0,489.52,702.28,NA,55990,56060,NA,NA,03090,1,4
09001000428,09,001,000428,4462,3937,258,188,3,73,3,3542,3171,185,119,3,63,1,545.41,782.47,NA,55990,56060,NA,NA,03090,1,4
09001000429,09,001,000429,1687,1595,19,37,5,31,0,1355,1283,14,28,5,25,0,208.65,299.34,NA,55990,56060,NA,NA,03090,1,4
09001000430,09,001,000430,3079,2755,168,101,2,52,1,2447,2208,120,83,2,34,0,376.8,540.57,NA,55990,56060,NA,NA,03090,1,4
09001000431,09,001,000431,3880,3379,294,134,3,67,3,3171,2815,216,91,3,46,0,488.28,700.52,NA,55990,56060,NA,NA,03090,1,4
09001000432,09,001,000432,2834,1960,544,280,4,45,1,2237,1642,369,193,2,31,0,344.46,494.18,NA,55990,56060,NA,NA,03090,1,4
09001000433,09,001,000433,2927,2442,249,169,9,49,9,2319,1957,194,122,6,40,0,357.09,512.3,NA,55990,56060,NA,NA,03090,1,4
09001000434,09,001,000434,3684,2662,659,286,5,51,21,2975,2216,504,204,4,39,8,458.1,657.22,NA,55990,56060,NA,NA,03090,1,4
09001000435,09,001,000435,2461,2140,139,119,0,62,1,2021,1772,114,91,0,44,0,311.2,446.47,NA,55990,56060,NA,NA,03090,1,4
09001000436,09,001,000436,2756,2370,204,109,0,71,2,2249,1963,139,93,0,53,1,346.31,496.83,NA,55990,56060,NA,NA,03090,1,4
09001000437,09,001,000437,1871,801,785,254,3,24,4,1572,739,603,203,2,22,3,242.06,347.28,NA,55990,56060,NA,NA,03090,1,4
09001000438,09,001,000438,7010,5139,944,689,12,215,11,5791,4377,722,516,10,160,6,891.72,1279.31,NA,55990,56060,NA,NA,03090,1,4
09001000439,09,001,000439,4997,4208,403,319,2,62,3,4051,3482,292,230,2,44,1,623.79,894.92,NA,55990,56060,NA,NA,03090,1,4
09001000440,09,001,000440,5168,2734,1339,1006,4,73,12,4054,2300,975,708,4,59,8,624.25,895.58,NA,55990,56060,NA,NA,03090,1,4
09001000441,09,001,000441,3243,838,1242,1118,8,26,11,2377,750,884,711,8,19,5,366.02,525.11,NA,55990,56060,NA,NA,03090,1,4
09001000442,09,001,000442,3798,2782,514,413,5,70,14,3094,2326,394,309,5,51,9,476.43,683.51,NA,55990,56060,NA,NA,03090,1,4
09001000443,09,001,000443,3507,3218,92,172,0,25,0,2891,2673,74,128,0,16,0,445.17,638.66,NA,55990,56060,NA,NA,03090,1,4
09001000444,09,001,000444,3588,1079,1874,571,5,29,30,2557,891,1264,366,3,17,16,393.74,564.87,NA,55990,56060,NA,NA,03090,1,4
09001000445,09,001,000445,2916,528,1461,893,8,12,14,2010,444,975,573,4,9,5,309.51,444.04,NA,55990,56060,NA,NA,03090,1,4
09001000446,09,001,000446,3412,3316,21,54,4,17,0,2850,2776,18,41,4,11,0,438.86,629.6,NA,55990,56060,NA,NA,03090,1,4
09001000451,09,001,000451,8500,8178,85,112,5,120,0,6190,5968,56,87,3,76,0,969.32,2522.52,NA,30540,86370,NA,NA,05130,3,5
09001000452,09,001,000452,2438,2352,28,27,2,29,0,1923,1861,24,14,2,22,0,301.13,783.65,NA,NA,86370,NA,NA,05130,3,5
