GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
53063000020,53,063,000020,4224,3812,87,112,153,56,4,3061,2811,44,69,94,42,1,214.38,235.99,NA,67000,93200,NA,08250,5,5
53063000021,53,063,000021,2502,2303,34,61,58,45,1,1794,1677,16,38,34,28,1,125.64,138.31,NA,67000,93200,NA,08250,5,5
53063000022,53,063,000022,354,316,7,14,7,7,3,296,267,6,12,4,7,0,20.73,22.82,NA,67000,93200,NA,08250,5,5
53063000023,53,063,000023,5017,4489,94,104,232,91,7,3636,3342,50,60,127,52,5,254.65,280.32,NA,67000,93200,NA,08250,5,5
53063000024,53,063,000024,2741,2274,93,155,129,88,2,2316,1967,78,126,87,57,1,162.2,178.55,NA,67000,93200,NA,08250,5,5
53063000025,53,063,000025,6421,5769,79,185,117,264,7,5429,4918,56,141,77,235,2,380.22,418.55,NA,67000,93200,NA,08250,5,5
53063000026,53,063,000026,4421,3903,119,137,173,81,8,3268,2966,61,82,105,52,2,228.88,251.95,NA,67000,93200,NA,08250,5,5
53063000027,53,063,000027,1235,959,131,49,79,15,2,914,743,85,28,50,8,0,64.01,70.47,NA,67000,93200,NA,08250,5,5
53063000028,53,063,000028,814,691,36,36,36,14,1,640,553,31,21,23,11,1,44.82,49.34,NA,67000,93200,NA,08250,5,5
53063000029,53,063,000029,2993,2701,96,73,41,78,4,2194,2015,56,43,24,56,0,153.66,169.15,NA,67000,93200,NA,08250,5,5
53063000030,53,063,000030,2376,1792,344,83,128,20,9,1573,1239,215,44,64,11,0,110.17,121.27,NA,67000,93200,NA,08250,5,5
53063000031,53,063,000031,4526,3597,399,134,105,279,12,3157,2626,235,60,64,170,2,221.1,243.39,NA,67000,93200,NA,08250,5,5
53063000032,53,063,000032,3360,3063,87,65,78,65,2,3102,2858,72,56,58,56,2,217.25,239.15,NA,67000,93200,NA,08250,5,5
53063000033,53,063,000033,239,143,38,18,23,17,0,199,127,29,13,17,13,0,13.94,15.34,NA,67000,93200,NA,08250,5,5
53063000034,53,063,000034,972,795,50,41,77,8,1,951,784,50,41,68,7,1,66.6,73.32,NA,67000,93200,NA,08250,5,5
53063000035,53,063,000035,1179,1055,45,21,37,21,0,1166,1046,43,20,37,20,0,81.66,89.89,NA,67000,93200,NA,08250,5,5
53063000036,53,063,000036,3298,2959,99,73,64,100,3,2984,2724,72,56,51,81,0,208.99,230.05,NA,67000,93200,NA,08250,5,5
53063000038,53,063,000038,1485,1358,27,36,24,37,3,1211,1116,23,26,15,30,1,84.81,93.36,NA,67000,93200,NA,08250,5,5
53063000039,53,063,000039,1528,1441,9,27,17,34,0,1336,1261,8,20,13,34,0,93.57,103,NA,67000,91920,NA,08250,5,5
53063000040,53,063,000040,4999,4589,129,123,64,82,12,4102,3802,85,89,53,69,4,287.29,316.24,NA,67000,93200,NA,08250,5,5
53063000041,53,063,000041,2170,2081,16,29,16,27,1,1709,1658,8,17,12,14,0,119.69,131.76,NA,67000,93200,NA,08250,5,5
53063000042,53,063,000042,4970,4795,14,66,23,69,3,3686,3575,11,40,20,39,1,258.15,284.17,NA,67000,93200,NA,08250,5,5
53063000043,53,063,000043,3488,3351,17,29,23,65,3,2613,2532,12,18,11,40,0,183,201.45,NA,67000,93200,NA,08250,5,5
53063000044,53,063,000044,4190,4020,31,59,15,61,4,3285,3152,24,44,14,49,2,230.07,253.26,NA,67000,93200,NA,08250,5,5
53063000045,53,063,000045,3508,3349,21,42,22,71,3,2591,2493,12,27,13,45,1,181.46,199.75,NA,67000,93200,NA,08250,5,5
53063000046,53,063,000046,5882,5531,118,85,31,104,13,4536,4313,78,44,27,71,3,317.68,349.7,NA,67000,93200,NA,08250,5,5
53063000047,53,063,000047,5740,5386,68,94,38,153,1,4095,3892,43,52,20,88,0,286.8,315.71,NA,67000,93200,NA,08250,5,5
53063000101,53,063,000101,3638,3499,18,46,33,42,0,2473,2395,7,29,19,23,0,49,48,NA,NA,92080,NA,02280,5,5
