GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,school,cd_1980,cd_1990
29047021401,29,047,021401,3453,3210,165,43,10,25,0,2751,2565,125,30,10,21,0,582.11,842.57,42032,42050,NA,18540,6,6
29047021402,29,047,021402,7486,7050,272,80,45,31,8,5549,5267,180,49,32,21,0,1174.17,1699.53,42032,42050,NA,18540,6,6
29049009601,29,049,009601,3952,3906,29,8,5,4,0,2869,2841,18,2,5,3,0,738,1205,10828,67592,NA,07020,6,6
29049009602,29,049,009602,5378,5248,39,37,42,8,4,3881,3801,29,17,28,5,1,489,643,40826,40844,NA,17970,6,6
29049009603,29,049,009603,3907,3581,248,62,9,7,0,2794,2581,165,37,8,3,0,549,616,58250,15976,NA,25290,6,6
29049009604,29,049,009604,3358,3298,10,32,15,3,0,2433,2394,6,21,9,3,0,351,397,28036,2332,NA,11250,6,6
29051000101,29,051,000101,2528,1811,638,56,2,9,12,2066,1538,479,39,2,6,2,377.34,831.56,37000,36764,NA,16190,4,4
29051000102,29,051,000102,1917,866,1012,20,11,6,2,1917,866,1012,20,11,6,2,350.13,771.59,37000,36764,NA,16190,4,4
29051000103,29,051,000103,4917,4645,211,31,12,14,4,3688,3504,149,16,10,9,0,673.59,1484.42,37000,36764,NA,16190,4,4
29051000104,29,051,000104,5525,5275,181,30,15,20,4,4114,3946,126,14,12,14,2,751.4,1655.88,37000,36764,NA,16190,4,4
29051000105,29,051,000105,4649,3530,1025,39,26,23,6,3711,2777,874,28,16,15,1,677.79,1493.68,37000,36764,NA,16190,4,4
29051000106,29,051,000106,3180,2908,197,34,16,25,0,2589,2409,125,25,10,20,0,472.87,1042.07,37000,36764,NA,16190,4,4
29051000107,29,051,000107,6840,6585,140,40,22,48,5,4909,4740,91,24,17,36,1,896.6,1975.87,37000,36764,NA,16190,4,4
29051000108,29,051,000108,5548,5372,86,40,10,39,1,3973,3850,64,28,7,24,0,725.65,1599.13,37000,36764,NA,16190,4,4
29051000109,29,051,000109,6504,6301,132,32,21,17,1,5086,4960,76,22,16,12,0,928.93,2047.11,37000,36764,NA,16190,4,4
29051000202,29,051,000202,2811,2795,3,9,2,2,0,1869,1856,3,7,1,2,0,308,945,65162,55082,NA,09930,4,4
29051000203,29,051,000203,3139,3104,6,13,14,2,0,2109,2089,3,9,6,2,0,340,892,22798,14032,NA,11550,4,4
