GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
17063000001,17,063,000001,3916,3855,0,40,10,11,0,2722,2682,0,29,4,7,0,285,635,49607,3090,26310,26340,NA,16,1
17063000002,17,063,000002,3293,3218,4,61,2,8,0,2365,2317,2,39,2,5,0,30,127,50491,67678,35400,26640,NA,16,1
17063000003,17,063,000003,3510,3262,4,227,4,12,1,2604,2459,2,129,2,11,1,276,783,50491,50504,26610,26640,NA,16,1
17063000004,17,063,000004,4859,4685,2,121,3,48,0,3632,3512,2,86,1,31,0,61,327,50491,50504,26610,26640,NA,16,1
17063000005,17,063,000005,2773,2738,0,29,0,6,0,1889,1872,0,14,0,3,0,237,654,50491,79345,26610,26640,25190,16,1
17063000006,17,063,000006,2636,2533,2,98,1,2,0,1868,1799,1,66,1,1,0,36,118,47787,47800,17010,12870,25190,16,1
17063000007,17,063,000007,5241,5118,2,105,5,11,0,3819,3735,1,69,5,9,0,149,351,15170,25778,26610,26640,10530,16,1
17063000008,17,063,000008,2707,2667,0,34,4,2,0,2014,1991,0,17,4,2,0,514,768,15170,7653,06840,16260,10530,16,1
17063000009,17,063,000009,3402,3357,1,33,6,5,0,2488,2463,1,15,5,4,0,198,210,28638,28677,16230,16260,18840,16,1
17065009730,17,065,009730,2825,2805,0,12,5,3,0,2096,2079,0,9,5,3,0,50,85,18303,18316,NA,NA,10790,5,10
17065009731,17,065,009731,3145,3118,1,9,5,12,0,2500,2480,1,5,5,9,0,847,1096,45824,45837,NA,NA,10790,5,10
17065009732,17,065,009732,2529,2517,2,8,1,1,0,1860,1852,0,7,1,0,0,109,122,8875,47657,38820,38850,10790,5,10
17067009537,17,067,009537,2692,2681,2,5,1,2,1,1992,1986,1,2,1,2,0,170,397,40832,40845,NA,NA,21690,8,8
17067009538,17,067,009538,2781,2760,2,12,3,3,1,2147,2132,1,7,3,3,1,395,808,11527,11540,NA,NA,08680,8,8
17067009539,17,067,009539,2255,2244,3,3,5,0,0,1685,1680,1,3,1,0,0,66,114,18420,18433,NA,NA,11670,8,8
17067009540,17,067,009540,2861,2841,1,9,6,3,1,2131,2117,1,6,4,3,0,76,156,51791,51804,NA,NA,27780,8,8
17067009541,17,067,009541,3692,3641,13,17,1,20,0,2704,2669,9,11,1,14,0,436,815,32434,50140,NA,NA,18060,8,8
17067009542,17,067,009542,2924,2906,4,6,2,6,0,2124,2113,1,6,2,2,0,38,118,78942,78955,NA,NA,40890,8,8
17067009543,17,067,009543,2023,2015,0,5,1,2,0,1513,1507,0,4,1,1,0,49,126,60833,67054,NA,NA,08680,8,8
17067009544,17,067,009544,2145,2142,1,1,1,0,0,1591,1589,0,1,1,0,0,96,203,2986,2999,NA,NA,36610,8,8
17069009708,17,069,009708,2517,2410,84,18,5,0,0,1959,1857,83,15,4,0,0,219,255,11826,90666,NA,NA,18200,13,10
17069009709,17,069,009709,2672,2634,0,12,11,13,2,1999,1980,0,5,7,7,0,104,173,65897,93276,NA,NA,18200,13,10
17071009733,17,071,009733,2452,2430,2,12,4,4,0,1843,1828,1,9,2,3,0,57,96,56237,56250,NA,NA,30030,4,8
17071009734,17,071,009734,2426,2393,5,17,6,5,0,1828,1805,1,14,3,5,0,239,196,5898,29444,NA,NA,30030,4,8
17071009735,17,071,009735,3218,3175,1,27,14,1,0,2355,2333,0,13,8,1,0,28,103,73261,73274,NA,NA,36850,4,8
17073000301,17,073,000301,6041,5784,18,199,8,24,8,4184,4026,9,127,8,13,1,972,776,15664,15677,10690,39870,16350,4,8
17073000303,17,073,000303,6583,6528,5,34,3,13,0,4952,4921,5,14,3,9,0,766,1820,28846,28859,NA,NA,16350,4,8
