GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
50021009634,50,021,009634,2835,2807,6,9,3,10,0,2039,2022,3,7,3,4,0,348,649,NA,14500,03210,08244,NA,1,1
50021009635,50,021,009635,1567,1559,4,2,0,2,0,1113,1108,3,0,0,2,0,150,180,NA,72925,08040,06300,NA,1,1
50021009636,50,021,009636,4278,4217,17,25,2,16,1,3385,3339,13,18,2,12,1,704,807,NA,11950,00001,03900,NA,1,1
50021009637,50,021,009637,2887,2855,3,18,4,2,5,2047,2031,3,9,2,1,1,445,633,25450,25375,03870,03900,NA,1,1
50021009638,50,021,009638,3498,3466,4,10,4,14,0,2764,2733,4,9,4,14,0,547,692,56800,56875,NA,NA,06600,1,1
50021009639,50,021,009639,902,895,0,5,1,1,0,679,674,0,3,1,1,0,152,255,NA,77950,08760,NA,NA,1,1
50021009640,50,021,009640,2184,2167,1,8,0,8,0,1628,1618,1,4,0,5,0,379,537,75850,75925,08460,08244,NA,1,1
50021009641,50,021,009641,1093,1091,0,1,1,0,0,796,794,0,1,1,0,0,237,286,NA,47200,05820,08241,NA,1,1
50021009642,50,021,009642,1407,1395,1,10,0,1,0,1043,1034,1,7,0,1,0,33,62,NA,16825,03430,06300,05860,1,1
50021009643,50,021,009643,1314,1306,1,7,0,0,0,999,996,0,3,0,0,0,228,382,NA,54250,06360,NA,NA,1,1
50021962298,50,021,962298,4223,4200,3,9,1,10,0,3134,3123,1,4,1,5,0,638.32,754.46,7675,7750,02480,06300,NA,1,1
50023009540,50,023,009540,3676,3610,25,9,16,16,0,2608,2581,12,5,5,5,0,379,276,43525,43600,NA,NA,08225,1,1
50023009541,50,023,009541,2287,2264,4,16,1,2,0,1593,1582,2,8,0,1,0,183,144,NA,11350,02880,08237,NA,1,1
50023009542,50,023,009542,2420,2390,7,8,5,10,0,1693,1676,3,6,4,4,0,389,293,NA,44500,05550,08237,NA,1,1
50023009543,50,023,009543,4589,4542,8,20,2,15,2,3468,3435,6,14,2,9,2,909,1001,76900,76975,08610,04580,NA,1,1
50023009544,50,023,009544,2391,2359,4,21,0,7,0,1745,1733,1,8,0,3,0,206,175,NA,46225,05730,04580,NA,1,1
50023009545,50,023,009545,2561,2521,0,31,2,7,0,1922,1894,0,23,2,3,0,461,584,NA,5650,02220,08237,NA,1,1
50023009546,50,023,009546,2283,2224,2,38,7,12,0,1760,1719,1,27,6,7,0,652.98,545.62,46000,46000,NA,NA,05700,1,1
50023009547,50,023,009547,1678,1630,9,24,1,14,0,1287,1252,4,20,0,11,0,477.49,398.99,46000,46000,03690,08237,05700,1,1
50023009548,50,023,009548,2351,2271,13,30,7,28,2,1885,1824,10,24,5,20,2,699.36,584.38,46000,46000,NA,NA,05700,1,1
50023009549,50,023,009549,1935,1866,11,25,9,24,0,1429,1376,7,22,8,16,0,530.17,443.01,46000,46000,NA,NA,05700,1,1
50023009550,50,023,009550,2239,2214,5,17,0,3,0,1616,1606,0,8,0,2,0,590,604,NA,21925,03690,08237,NA,1,1
50023009551,50,023,009551,4765,4640,13,99,8,4,1,3779,3690,6,70,8,4,1,1162.89,1002.4,3175,3175,02010,00002,NA,1,1
50023009552,50,023,009552,4717,4590,9,90,12,15,1,3497,3408,3,73,4,9,0,1076.11,927.6,3175,3175,02010,00002,NA,1,1
50023009553,50,023,009553,3516,3455,5,43,2,11,0,2506,2464,2,33,2,5,0,726.64,868.13,29425,3250,02040,00002,NA,1,1
50023009554,50,023,009554,3895,3808,3,68,6,8,2,2843,2775,2,59,4,2,1,824.36,984.87,29425,3250,02040,00002,NA,1,1
50023009555,50,023,009555,6185,6009,34,80,13,48,1,4763,4614,27,69,10,43,0,126,92,50200,50275,06960,NA,06120,1,1
50023009556,50,023,009556,1172,1138,3,19,8,2,2,905,883,3,9,8,1,1,382,323,NA,76525,08550,04580,NA,1,1
50023009557,50,023,009557,1422,1397,4,15,1,5,0,1068,1057,1,6,1,3,0,347,351,NA,75325,08400,04580,NA,1,1
50023009558,50,023,009558,846,830,6,10,0,0,0,621,614,2,5,0,0,0,210,194,NA,25825,04020,04580,NA,1,1
50025009670,50,025,009670,3504,3450,3,22,8,21,0,2501,2469,1,12,6,13,0,760.24,592.49,4225,60250,06930,08246,NA,1,1
50025009671,50,025,009671,1980,1957,3,15,0,5,0,1450,1440,2,7,0,1,0,440.76,343.51,62950,60250,06930,08246,NA,1,1
50025009672,50,025,009672,2588,2555,2,16,5,8,2,1954,1932,1,10,3,6,2,204,250,NA,73300,08100,05120,NA,1,1
50025009673,50,025,009673,1506,1488,3,4,5,6,0,1131,1120,3,1,3,4,0,280,538,NA,40225,NA,NA,99999,1,1
50025009674,50,025,009674,754,752,0,2,0,0,0,573,573,0,0,0,0,0,125,202,NA,36175,04920,05120,NA,1,1
50025009675,50,025,009675,777,767,1,5,1,2,1,588,581,0,5,1,0,1,29,58,NA,76225,08520,NA,99999,1,1
50025009676,50,025,009676,3026,2984,15,12,4,11,0,2141,2114,6,8,3,10,0,724,492,81325,81400,08970,08246,NA,1,1
50025009677,50,025,009677,2352,2291,8,28,3,20,2,1769,1721,7,21,2,18,0,672,392,NA,57700,06690,02520,NA,1,1
50025009678,50,025,009678,1555,1535,2,6,4,7,1,1156,1141,2,5,4,4,0,426,360,48325,48400,05970,05120,NA,1,1
50025009679,50,025,009679,994,985,1,5,2,1,0,752,746,1,2,2,1,0,178,329,NA,17875,03540,NA,NA,1,1
50025009680,50,025,009680,1968,1950,4,5,6,3,0,1486,1472,4,5,3,2,0,380,502,NA,84700,NA,NA,09240,1,1
