GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
44007000141,44,007,000141,4493,4063,53,155,7,207,8,3523,3255,32,97,5,128,6,894.38,1238.11,NA,19180,19180,NA,NA,00240,2,2
44007000142,44,007,000142,5419,4037,899,393,16,62,12,4971,3692,844,370,15,42,8,1261.98,1746.98,NA,19180,19180,NA,NA,00240,2,2
44007000143,44,007,000143,4950,4729,32,67,1,121,0,4141,3979,24,50,1,87,0,1051.27,1455.29,NA,19180,19180,NA,NA,00240,2,2
44007000144,44,007,000144,3920,3828,11,14,3,60,4,3376,3307,9,12,1,44,3,857.06,1186.44,NA,19180,19180,NA,NA,00240,2,2
44007000145,44,007,000145,7687,7578,14,39,6,45,5,5915,5836,10,31,6,31,1,1501.63,2078.74,NA,19180,19180,NA,NA,00240,2,2
44007000146,44,007,000146,4627,4477,32,20,10,83,5,3447,3355,20,12,9,49,2,875.08,1211.4,NA,19180,19180,NA,NA,00240,2,2
44007000147,44,007,000147,6972,6713,64,119,14,54,8,5634,5462,42,73,13,40,4,1430.29,1979.98,NA,19180,19180,NA,NA,00240,2,2
44007000148,44,007,000148,5166,5030,6,76,3,45,6,4260,4156,6,61,3,31,3,1081.48,1497.11,NA,19180,19180,NA,NA,00240,2,2
44007000149,44,007,000149,733,639,29,47,5,5,8,669,598,17,40,5,3,6,172.46,136.08,NA,54640,54640,NA,NA,00840,1,1
44007000150,44,007,000150,4308,3895,92,243,10,20,48,3265,3001,56,151,5,16,36,841.69,664.14,NA,54640,54640,NA,NA,00840,1,1
44007000151,44,007,000151,4832,2613,420,881,9,40,869,3311,1922,224,561,9,26,569,853.55,673.5,NA,54640,54640,NA,NA,00840,1,1
44007000152,44,007,000152,1988,1489,107,331,14,6,41,1677,1294,84,259,11,5,24,432.32,341.12,NA,54640,54640,NA,NA,00840,1,1
44007000153,44,007,000153,2688,2302,83,273,9,14,7,2011,1753,48,192,5,9,4,518.42,409.06,NA,54640,54640,NA,NA,00840,1,1
44007000154,44,007,000154,2217,1818,32,272,12,22,61,1588,1323,16,190,4,16,39,409.37,323.02,NA,54640,54640,NA,NA,00840,1,1
44007000155,44,007,000155,4289,3959,36,218,11,25,40,3271,3059,22,147,5,16,22,843.24,665.36,NA,54640,54640,NA,NA,00840,1,1
44007000156,44,007,000156,2374,2262,26,46,10,11,19,1823,1744,17,33,6,8,15,469.95,370.82,NA,54640,54640,NA,NA,00840,1,1
44007000157,44,007,000157,3911,3824,15,63,1,8,0,3118,3060,8,45,0,5,0,803.79,634.24,NA,54640,54640,NA,NA,00840,1,1
44007000158,44,007,000158,3754,3670,11,41,5,15,12,3009,2951,6,28,4,9,11,775.69,612.07,NA,54640,54640,NA,NA,00840,1,1
44007000159,44,007,000159,2929,2811,16,89,3,5,5,2330,2239,11,71,3,4,2,600.65,473.95,NA,54640,54640,NA,NA,00840,1,1
44007000160,44,007,000160,3126,2736,110,182,8,45,45,2401,2152,79,107,6,29,28,618.96,488.39,NA,54640,54640,NA,NA,00840,1,1
44007000161,44,007,000161,4543,2897,410,820,16,22,378,3277,2199,278,532,11,17,240,844.78,666.58,NA,54640,54640,NA,NA,00840,1,1
44007000163,44,007,000163,2783,2693,18,47,0,8,17,2229,2169,12,32,0,4,12,574.62,453.41,NA,54640,54640,NA,NA,00840,1,1
44007000164,44,007,000164,5045,3318,362,530,9,50,776,3687,2548,244,357,5,29,504,950.48,749.98,NA,54640,54640,NA,NA,00840,1,1
44007000165,44,007,000165,4063,3704,114,159,3,62,21,3247,2993,80,115,3,40,16,837.05,660.48,NA,54640,54640,NA,NA,00840,1,1
44007000166,44,007,000166,1784,1404,142,167,2,17,52,1341,1095,85,119,1,10,31,345.7,272.78,NA,54640,54640,NA,NA,00840,1,1
44007000168,44,007,000168,2990,2885,31,58,4,10,2,2438,2368,16,42,3,7,2,628.5,495.92,NA,54640,54640,NA,NA,00840,1,1
44007000169,44,007,000169,1975,1934,7,19,0,10,5,1624,1594,6,16,0,6,2,418.65,330.34,NA,54640,54640,NA,NA,00840,1,1
