GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
28151000499,28,151,000499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,92160,01620,2,3
28153009501,28,153,009501,4675,2420,2218,26,3,6,2,3111,1710,1371,22,2,4,2,662.07,1099.28,NA,78360,91431,04530,5,1
28153009502,28,153,009502,5640,2807,2796,17,3,17,0,3817,2130,1662,8,3,14,0,812.32,1348.75,NA,78360,92169,04530,5,1
28153009503,28,153,009503,4510,3732,759,16,3,0,0,3228,2734,479,12,3,0,0,686.97,1140.62,NA,NA,92907,04530,5,1
28153009504,28,153,009504,4692,3510,1147,16,10,9,0,3264,2549,696,8,7,4,0,694.63,1153.34,NA,70320,90693,04530,5,1
28155009501,28,155,009501,4090,3368,684,27,2,8,1,3012,2571,415,18,1,6,1,593.21,1298.86,NA,45720,92916,04560,1,2
28155009502,28,155,009502,4072,3291,749,30,0,2,0,3002,2485,497,18,0,2,0,591.24,1294.55,NA,23420,91440,04560,1,2
28155009503,28,155,009503,2060,1255,805,0,0,0,0,1460,994,466,0,0,0,0,287.55,629.59,NA,23420,90702,04560,1,2
28157009501,28,157,009501,4289,1774,2480,21,12,0,2,2981,1372,1583,15,9,0,2,1101.43,763.96,NA,12740,92187,04710,4,5
28157009502,28,157,009502,5389,1329,4031,24,3,2,0,3750,1014,2713,18,3,2,0,1385.57,961.04,NA,81120,91449,04710,4,5
28159009501,28,159,009501,3187,2169,972,6,38,2,0,2266,1629,615,4,18,0,0,569.68,751.04,NA,42280,92196,02700,3,4
28159009502,28,159,009502,4065,2085,1966,8,5,1,0,2891,1619,1264,3,4,1,0,726.81,958.19,NA,42280,92934,02700,3,4
28159009503,28,159,009503,4081,1640,2410,18,2,11,0,2759,1321,1417,12,2,7,0,693.62,914.44,NA,42280,90720,02700,3,4
28159009504,28,159,009504,4195,2642,1525,20,7,1,0,2976,2029,930,14,2,1,0,748.18,986.36,47980,42280,90720,02700,3,4
28159009505,28,159,009505,3905,2585,1191,18,110,1,0,2827,1997,768,10,52,0,0,710.72,936.98,47980,52880,91458,02700,3,4
28161009501,28,161,009501,3427,2222,1189,12,2,2,0,2523,1735,778,7,2,1,0,624.42,822.86,NA,14740,93681,01140,1,2
28161009502,28,161,009502,4376,2760,1583,19,8,6,0,3159,2150,991,9,6,3,0,781.83,1030.29,NA,78000,90729,04500,1,2
28161009503,28,161,009503,4230,2466,1740,22,0,2,0,2989,1873,1097,17,0,2,0,739.75,974.85,NA,53200,92943,01140,1,2
28163009501,28,163,009501,4200,2042,2150,7,0,1,0,2871,1522,1343,5,0,1,0,835.59,982.55,NA,81520,91476,04800,2,3
28163009502,28,163,009502,4222,2141,2044,21,1,15,0,2823,1612,1185,15,1,10,0,821.62,966.12,NA,81520,91476,04770,2,3
28163009503,28,163,009503,4259,1845,2361,21,5,27,0,2924,1454,1426,19,3,22,0,851.02,1000.69,NA,81520,92952,04770,2,3
28163009504,28,163,009504,2406,1495,888,22,1,0,0,1655,1092,548,14,1,0,0,481.68,566.39,NA,65680,90738,04800,2,3
28163009505,28,163,009505,5148,747,4360,23,13,5,0,3243,583,2637,13,7,3,0,943.86,1109.86,NA,81520,92214,04770,2,3
28163009506,28,163,009506,5271,3653,1598,9,10,1,0,3715,2674,1029,4,8,0,0,1081.23,1271.39,NA,5380,90738,04800,2,3
