GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SSCRJAC,G18SSCRANG,G18SSCDEAR,G18SACRHEA,G18SACDARR,G18SACRGRI,G18SACRRAY,G18SACDHAM,G18SACRKIT,G18SACDCOL,G18SACLMON
37001000001,37,001,000001,932.91,461.1,355.07,1387.2,350.2,1003.92,394.95,329.78,1340.5,318.1,82.69
37001000002,37,001,000002,1056.16,559.83,434.75,1604.81,445.73,1101.88,535.89,398.98,1525.28,398.36,119.24
37001000004,37,001,000004,961.1,523.35,475.69,1459.16,494.17,1049.62,443.58,455.26,1416.35,437.75,103.11
37001000005,37,001,000005,667.86,376.97,286.93,1036.92,292.87,731.19,312.66,269.12,1002.29,259.23,66.29
37001000007,37,001,000007,821.17,470.25,416.39,1284,425.59,877.21,428.55,393.35,1232.86,396.85,80.81
37001000011,37,001,000011,451.25,302.1,904.39,744.79,913.89,502.55,258.4,895.84,699.19,887.29,76.95
37001000013,37,001,000013,466.33,274.4,868.68,719.45,874.5,477.1,270.45,836.72,676.82,849.24,66.91
37001000035,37,001,000035,761.68,383.1,817.75,1118.91,831.71,783.03,382.57,776.09,1057.33,766.09,128.21
3700100003C,37,001,00003C,663.38,328.2,596.44,934.57,641.46,612.38,376.21,578.42,893.54,581.43,101.06
3700100003N,37,001,00003N,621.14,323.26,694.37,907.29,723.67,608.44,345.73,666.05,863.34,668.98,95.71
3700100003S,37,001,00003S,1241.11,606.39,1633.26,1779.08,1669.66,1159.09,720.25,1558.97,1673.12,1562.01,221.32
3700100003W,37,001,00003W,673.7,351.15,625.38,1006.73,641.19,638.74,397.56,602.29,955.11,593.27,93.49
37001000063,37,001,000063,231.1,143.03,728.08,371.07,731.03,260.86,126.16,712.04,346.09,709.1,49.85
37001000064,37,001,000064,933.91,506.06,937.83,1409.95,959.85,960.02,493.98,891.78,1344.82,892.78,127.2
3700100006E,37,001,00006E,345.69,216.7,615.08,551.95,612.2,375.92,205.62,587.41,504.07,577.68,85.39
3700100006N,37,001,00006N,199.31,132.37,653.11,332.62,647.2,229.57,112.24,633.99,310.37,624.01,45.48
3700100006S,37,001,00006S,545.95,293.24,591.3,827.71,597.07,522.33,326.48,562.61,795.12,549.2,78.55
3700100006W,37,001,00006W,135,71,254,204,256,133,80,244,191,239,30
3700100008N,37,001,00008N,701.76,349.67,636.15,1038.43,638.43,717.13,353.38,612.89,984.75,601.27,102
3700100008S,37,001,00008S,276.84,137.84,199.78,406.23,202.91,297.37,120.41,190.56,388.51,192,32.44
3700100009N,37,001,00009N,475.97,250.21,546.3,708.6,558.99,470.09,255.13,538.46,662.69,515.99,89.89
3700100009S,37,001,00009S,859.55,482.83,988.38,1306.07,1013.62,882.02,485.12,944.37,1244.52,934.78,145.37
37001000103,37,001,000103,655.95,392.79,554.59,1036.95,568.02,711.82,359.05,529.78,993.73,514.86,93.43
3700100010N,37,001,00010N,811.1,395.17,907.35,1184.39,919.97,785.66,459.74,844.77,1112.21,863.82,141.43
3700100010S,37,001,00010S,1251.48,650.14,2449.6,1851.22,2471.36,1237.14,702.8,2360.14,1695.22,2319.46,315.16
37001000124,37,001,000124,337,183,479,504,488,330,196,466,477,459,60
37001000125,37,001,000125,466,215,446,659,462,465,235,417,634,420,70
37001000126,37,001,000126,458,242,487,672,500,427,287,457,649,460,63
37001000127,37,001,000127,297.2,150.92,1249.56,437.93,1253.7,289.87,167.32,1231.41,411.61,1230.28,48.77
37001000128,37,001,000128,141,87,538,225,542,135,96,528,210,511,38
37001000129,37,001,000129,344.92,172.41,310.48,510.68,316.09,339.4,180.04,301.51,501.76,284.8,45.25
3700100012E,37,001,00012E,123,96,372,217,371,149,80,356,204,355,26
3700100012N,37,001,00012N,107,93,1220,186,1215,121,76,1202,161,1190,47
3700100012S,37,001,00012S,86,47,329,126,334,81,58,321,123,322,20
3700100012W,37,001,00012W,345,181,620,510,634,319,220,595,473,586,84
370010003N2,37,001,0003N2,149.85,87.91,266.73,236.76,275.72,137.86,105.89,260.74,223.77,273.72,12.99
37001001210,37,001,001210,266.66,131.38,488.56,397.07,481.74,276.39,138.2,463.25,373.72,457.41,50.61
3700300000E,37,003,00000E,599.98,365.56,342.64,943.69,362.51,649.67,297,313.84,893.05,318.81,83.42
3700300000M,37,003,00000M,395.49,289.7,236.15,661.07,266.42,475.96,206.17,235.29,645.4,234.66,46.08
3700300000W,37,003,00000W,455.01,331.53,212.3,779.61,218.25,581.07,202.48,189.62,747.01,192.57,52.36
370030000B1,37,003,0000B1,799.63,507.25,371.91,1288.59,385.28,871.49,421.17,340.3,1253.84,344.68,83.36
370030000B2,37,003,0000B2,869.7,571.78,463.25,1416.49,493.26,945.27,473.22,435.88,1337.05,434.02,132.63
3700300G1G2,37,003,00G1G2,351.77,304.44,229.47,641.4,244.23,488.77,146.56,222.23,618.95,225.06,32.63
3700300LRSL,37,003,00LRSL,533.69,345.8,204.88,873.49,220.87,624.64,249.86,186.89,855.5,197.89,38.98
3700300S1S2,37,003,00S1S2,532.82,520.74,345.45,1046.55,357.45,758,290.48,321.37,994.41,328.38,80.18
3700300T2T3,37,003,00T2T3,569,360,473,931,475,659,281,434,899,440,69
37003T1T4T5,37,003,T1T4T5,896.21,617.67,534.26,1461.6,596.52,1066.85,414.74,519.56,1409.52,517.64,123.77
37005000001,37,005,000001,323.02,204.25,209.58,524.37,209.44,359.69,158.49,195.19,495.45,199.65,33.21
37005000004,37,005,000004,347.7,236.44,162.38,554.15,183.04,373.72,188.27,155.49,540.68,157.39,36.16
3700500003A,37,005,00003A,750.95,561.98,652.53,1251.9,711.58,796.22,441.91,625.95,1188.91,657.45,82.67
3700500006A,37,005,00006A,318.67,270.84,255.44,572.65,268.31,384.07,189.6,236.41,541.79,260.87,29.45
370070000MM,37,007,0000MM,91.64,36.4,488.32,123.04,493.48,95.13,40.88,478.35,123.88,493.3,1.26
370070000WS,37,007,0000WS,63,34,70,97,73,77,18,70,95,71,3
37007000ANS,37,007,000ANS,163.88,101.12,296.39,246.92,311.44,203.2,65.87,285.24,246.81,292.36,16.2
3700700BURN,37,007,00BURN,337,167,192,498,204,411,98,185,487,198,15
