GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREIWES,G20PREOOTH,G20PREOSAN,G20PREOWRI,G20HALDWEL,G20HALDRBE,G20HALCHEL,G20HALIBEC,G20HALIHOR,G20HALIORR,G20HALITRU,G20HALOWRI,G20GOVDZUC,G20GOVRSCO,G20GOVIHOY,G20GOVTPEY,G20GOVIWHI,G20GOVIBIL,G20GOVIDEV,G20GOVUDIC,G20GOVOWRI,G20LTGDGRA,G20LTGRMIL,G20LTGPERI,G20LTGIBIL,G20LTGBCOR,G20LTGOWRI,G20ATGDDON,G20ATGRPAI,G20ATGPERI,G20ATGOWRI,G20SOSDCON,G20SOSRPAI,G20SOSPERI,G20SOSISMI,G20SOSOWRI,G20TREDPEA,G20TRERBRA,G20TREPERI,G20TREIWRI,G20TREOWRI,G20AUDOHOF,G20AUDPERI,G20AUDOWRI
50025502508,50,025,502508,267.16,130.75,2.06,1.05,0.02,7.08,0.01,3.01,264.07,110.35,3.08,11.19,4.09,7.06,2.04,1,105.97,294.68,7.08,2.16,4.05,1.02,2.02,0.02,0.01,206.17,171.14,18.39,7.12,1.03,1.02,238.55,106.5,42.58,0,226.43,125.45,23.45,18.37,2,216.21,117.57,36.58,20.29,0,265.72,87.41,4.02
50025502509,50,025,502509,979.98,346.36,12.05,10.01,1.01,10.07,1.01,0.02,964.86,270.13,19.05,28.11,15.09,5.02,6.01,0.01,568.73,702.27,15.05,26.15,7.04,8.03,0.03,5.01,2.02,813.09,411.84,39.2,21.07,11.01,2.01,903.41,293.26,62.33,0,857.28,284.25,44.26,86.3,0,810.94,322.38,66.38,56.21,0,958.42,198.02,4.01
50025502511,50,025,502511,405.72,149.01,5.99,4.99,3.99,5.99,2.99,2,398.63,126,2.01,13.98,7,19.02,1,0,210.74,341.96,7.01,4.01,5.99,1.99,1,1,0,296.8,231.89,19,9.98,2,1,356.69,150.95,56.93,0,351.65,147.98,33.97,28.01,0,327.66,165.95,39.02,23.98,0,385.74,122.89,0.01
50025502512,50,025,502512,730.02,340.46,7.85,3.93,3.92,7.85,0,2.94,659.38,282.58,11.77,21.59,13.74,52.98,1.96,0,307.12,737.85,19.62,12.75,5.89,0,0.98,0.98,0,536.72,448.4,42.19,8.83,5.89,3.92,602.47,307.11,82.42,0.98,566.16,319.86,58.87,67.7,0.98,518.09,336.54,100.08,39.25,0.98,696.65,207.03,5.89
50025502513,50,025,502513,514.96,91.68,4.88,4.88,0.98,7.8,1.95,2.93,498.38,77.05,11.7,12.68,4.88,0,2.93,0.98,358.91,248.7,2.93,10.73,0,2.93,0.98,1.95,0,447.67,126.79,15.6,9.75,1.95,0,453.52,86.8,42.91,2.93,456.44,76.07,40.96,25.36,0,433.04,98.51,37.06,21.46,0,448.64,76.07,1.95
50025502514,50,025,502514,835.63,258.88,5.96,10.9,2,12.91,1.99,3.97,814.79,221.19,6,18.88,12.89,11.88,5.95,1.98,467.72,576.35,8.93,25.77,12.87,4.97,4.95,2.97,3.96,673.01,327.37,52.52,21.82,9.91,0.99,745.31,226.18,61.57,1.99,716.56,226.17,53.64,51.61,0.99,668.95,250.02,65.51,47.62,2.97,750.31,191.45,9.9
50025502515,50,025,502515,1237.27,236.07,8.03,11.03,0.01,15.04,5.01,7,1196.16,186.87,25.06,25.1,16.07,8.03,7.02,3,806.96,594.18,13.04,53.12,9.03,3.02,4.03,3.02,5.01,1064.81,285.28,58.17,20.07,10.03,4,1090.91,192.91,107.36,5,1053.82,197.93,73.25,79.24,1,1003.64,226.02,99.37,48.17,1,1046.81,245.97,7.02
50025502516,50,025,502516,1718.61,725.14,26.59,20.61,9.62,33.95,5.99,2.99,1684.65,562.4,33.25,76.89,34.93,25.97,16.28,2,813.76,1524.19,34.6,64.86,19.96,9.3,7.98,9.98,5.99,1311.58,889.28,160.03,49.2,10.98,7.98,1466.84,624.59,241.47,1,1418.95,606.28,184.96,152.3,0,1326.86,650.89,239.46,120.04,1,1539.11,584.25,7
50025502517,50,025,502517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50025502518,50,025,502518,120.02,66.33,0.07,0,1.9,1.14,0.01,0.95,111.57,54.75,0.07,4.87,1.97,6.07,0.01,0,54.09,134.84,1.08,0.12,0.09,0.01,0.03,0.06,0.01,101.43,82.37,3.12,0.06,0.01,0.06,107.35,67.46,4.43,0,106.33,64.48,5.33,6.07,0.01,98.05,67.8,8.26,5,0.01,138.68,23.62,0.99
