GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDKEL,G18GOVRKOB,G18GOVIORM,G18GOVLCAL,G18GOVIKLO,G18SOSRSCH,G18SOSDMCC,G18SOSLHOD,G18ATGRSCH,G18ATGDSWA,G18INSDMCL,G18INSRSCH,G18TRERLAT,G18TREDFRA
20001000010,20,001,000010,48,98,5,3,4,116,35,5,125,31,27,122,115,37
20001000020,20,001,000020,39.68,56.55,1.98,1.98,0,66.47,25.79,3.97,75.39,22.82,22.82,76.39,68.45,29.76
20001000030,20,001,000030,15,27,2,2,2,35,8,3,40,8,11,37,33,14
20001000040,20,001,000040,58,113,10,12,4,133,50,8,153,42,43,147,141,50
20001000050,20,001,000050,13,38,1,1,0,40,11,2,43,10,8,45,41,12
2000100006A,20,001,00006A,44.52,73.4,4.43,1.43,2.07,86.92,30.71,5.31,96.51,28.26,25.58,96.25,92.55,27.4
2000100006B,20,001,00006B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000100006C,20,001,00006C,5.14,8.02,0.15,0.3,0.15,10.13,3.18,0.3,10.89,2.72,3.02,10.28,9.68,3.48
2000100006D,20,001,00006D,0.06,0.11,0.01,0,0,0.13,0.04,0.01,0.15,0.04,0.04,0.15,0.14,0.04
20001000070,20,001,000070,130.46,123.87,21.25,6.76,3.87,166.38,109.17,12.57,178.01,108.19,106.25,177.04,167.38,117.83
20001000080,20,001,000080,148.72,171.93,9.2,12.78,4.05,214.92,111.7,14.05,251.6,90.14,93.84,246.73,221.14,118.34
20001000130,20,001,000130,29.39,45.09,0.97,1.74,0.85,56.99,18.39,1.79,61.38,15.81,17.45,58.1,54.6,20.13
20001000140,20,001,000140,133,148,11,7,4,197,85,18,217,83,73,228,211,89
20001000150,20,001,000150,20,41,6,1,3,55,16,0,57,15,9,61,56,15
2000100016A,20,001,00016A,34,66.65,5.88,6.68,1.96,81.9,25.46,5.93,88.05,26.21,24.4,89.79,82.8,30.33
2000100016C,20,001,00016C,5.03,7.09,0.31,0.37,0.15,8.44,4.14,0.37,9.33,3.62,3.8,8.99,8.9,3.96
20001000170,20,001,000170,35,55,1,3,0,61,27,7,70,24,20,73,66,29
20001000180,20,001,000180,44,60,5,1,2,76,37,1,87,26,31,81,79,34
20001000190,20,001,000190,22,36,1,2,1,42,19,1,44,18,18,40,41,20
2000100020A,20,001,00020A,83.94,125.09,15.83,5,3.01,167.74,53.22,10.92,191.62,41.29,45.24,185.65,176.68,57.17
2000100020B,20,001,00020B,0.73,0.56,0.06,0.04,0.03,0.77,0.59,0.06,0.91,0.53,0.53,0.88,0.82,0.6
2000100020C,20,001,00020C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001000210,20,001,000210,158.97,223.91,9.69,11.63,4.85,266.56,130.86,11.63,294.67,114.38,120.2,284.01,281.1,125.04
20001170010,20,001,170010,174.86,161.98,13.89,6.02,4.93,229.44,115.38,16.87,259.27,104.38,108.38,251.29,227.59,125.22
20001170020,20,001,170020,174.34,272.41,11.89,11.89,0.99,330.86,125.81,14.86,362.56,107.97,114.91,351.66,341.76,126.8
20001170030,20,001,170030,197.08,154.83,15.2,12.2,9.05,211.28,159.84,15.2,248.58,143.73,144.76,240.58,223.34,162.98
2000117003B,20,001,17003B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000117003C,20,001,17003C,1.11,2.29,0.2,0.24,0.07,2.79,0.84,0.2,2.99,0.87,0.81,3.06,2.82,1.01
