GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSDWIE,G16USSRMOR,G16USSLGAR,G16USSOTH
20091901710,20,091,901710,367,375,41,15,12,297,440,46,0
20091901730,20,091,901730,81.4,86.9,24.4,6.3,8.1,62.4,87.8,52.5,0
20091901750,20,091,901750,0,1.2,0,0,0,0,0.8,0.4,0
20091901780,20,091,901780,0,0,0,0,0,0,0,0,0
20091901810,20,091,901810,522.1,907.2,84,17,32,442.1,994.6,103.7,1
20091901820,20,091,901820,0,0,0,0,0,0,0,0,0
20091901830,20,091,901830,134.2,334.6,13.8,11.8,4,109.6,308,64.2,0
20091901880,20,091,901880,136.9,213.9,18,3,10,130,225.9,23,0
20091901890,20,091,901890,1,0.1,0,0,0,1,0.1,0,0
20091901900,20,091,901900,0,0,0,0,0,0,0,0,0
20091901910,20,091,901910,0,0,0,0,0,0,0,0,0
20091901930,20,091,901930,0,0,0,0,0,0,0,0,0
20091901940,20,091,901940,273.2,589.6,36.1,20.8,23.7,242.5,622.3,69.1,1
20091901950,20,091,901950,123.9,301.7,25,7.2,7.9,98.5,306.7,52.8,0
20091901970,20,091,901970,6.6,17.9,0.4,0.8,0,6.7,17.4,2,0
20091920000,20,091,920000,244,118,12,2,12,193,182,10,1
20091920010,20,091,920010,157,106,8,1,4,118,141,10,0
20091920020,20,091,920020,119.5,60.4,7.6,1.4,4.1,95.5,89.3,3.4,0
20091920030,20,091,920030,131,90.8,10.7,3.3,4.1,97.6,130.8,9,0
20091920040,20,091,920040,231,127,14,5,4,161,214,7,0
20091920050,20,091,920050,190,126,11,6,6,149,183,8,0
20091920060,20,091,920060,99,38,11,2,2,80,55,10,1
20091920070,20,091,920070,125,41,12,5,1,107,67,6,0
20091920080,20,091,920080,81,34,14,2,4,65,58,7,0
20091920090,20,091,920090,108,52,11,2,3,101,63,6,0
20091920110,20,091,920110,112,55,9,3,3,83,83,8,0
20091920120,20,091,920120,384,331,21,10,31,297,452,23,1
20091920130,20,091,920130,241,191,33,11,8,223,230,28,0
20091920140,20,091,920140,9,9,0,0,0,8,8,1,0
20091920150,20,091,920150,319.5,331.4,52,12.8,30.1,278.4,399.8,55.7,0
20091920160,20,091,920160,165,86,15,9,7,161,93,19,0
20091920170,20,091,920170,240,246,23,9,20,208,303,21,1
20091920180,20,091,920180,284,254,31,11,9,251,301,30,1
20091920190,20,091,920190,245.8,208.3,27.4,8.9,16.1,230.3,237,33.6,0.1
20091920200,20,091,920200,57,36,10,2,3,53,42,12,0
20091920210,20,091,920210,65.6,44.6,4,0,1.1,53.4,58.9,4,1
20091920220,20,091,920220,85,125,8,6,8,77,123,23,1
20091920230,20,091,920230,251,274,35,16,7,226,288,54,0
20091920240,20,091,920240,392,423,57,19,22,345,491,53,4
20091920250,20,091,920250,189,125,28,8,8,166,150,28,1
20091920260,20,091,920260,211,157,21,13,12,193,188,35,0
