GEOID,area_land,area_water,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREADEL,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
230010102001005,15272,0,2,2,0,0,0,2,2,0,0
230010102001006,17628,0,14,10,1,0,0,12,12,1,0
230010102001007,20549,0,12,9,0,0,0,10,10,1,0
230010102001008,394686,0,20,15,1,0,0,17,17,2,1
230010102001009,6504,0,2,2,0,0,0,2,2,0,0
230010102001010,120719,0,0,0,0,0,0,0,0,0,0
230010102001011,80324,6211,0,0,0,0,0,0,0,0,0
230010102001012,498093,0,18,13,1,0,0,15,15,1,1
230010102001013,439944,0,0,0,0,0,0,0,0,0,0
230010102002000,315138,1723483,21,15,1,0,0,17,18,2,1
230010102002001,9135,0,12,9,0,0,0,10,10,1,0
230010102002002,6168485,30086,8,6,0,0,0,7,7,1,0
230010102002003,72149,0,14,10,1,0,0,11,12,1,0
230010102002004,17945,0,22,16,1,0,0,18,18,2,1
230010102002005,4653,0,1,1,0,0,0,1,1,0,0
230010102002006,2580018,1913,0,0,0,0,0,0,0,0,0
230010102002007,17243,0,0,0,0,0,0,0,0,0,0
230010102002008,390044,0,0,0,0,0,0,0,0,0,0
230010102002009,268569,0,36,26,1,1,0,30,30,3,1
230010102002010,304293,0,0,0,0,0,0,0,0,0,0
230010102002011,165532,0,6,4,0,0,0,5,5,0,0
230010102002012,4272556,23907,3,2,0,0,0,3,3,0,0
230010102002013,1398281,3177,9,7,0,0,0,8,8,1,0
230010102002014,1789862,1765,0,0,0,0,0,0,0,0,0
230010102002015,80505,0,17,12,1,0,0,14,14,1,0
230010102002016,0,5150,11,8,0,0,0,9,9,1,0
230010102002017,2834,0,38,27,1,1,0,31,32,3,1
230010102002018,1079840,3528,11,8,0,0,0,9,9,1,0
230010102002019,0,431735,12,8,0,0,0,9,10,1,0
230010102002020,461423,0,26,19,1,0,0,21,22,2,1
230010102002021,486810,0,7,5,0,0,0,6,6,1,0
230010102002022,0,9220928,117,84,4,2,0,96,98,9,3
230010102002023,206071,0,42,30,2,1,0,35,35,3,1
230010102002024,2659176,23445,24,17,1,0,0,20,20,2,1
230010102002025,105165,0,6,5,0,0,0,5,5,0,0
230010102002026,1032908,1095,3,2,0,0,0,3,3,0,0
230010102002027,1645197,6077,8,6,0,0,0,7,7,1,0
230010102002028,382876,0,0,0,0,0,0,0,0,0,0
230010102002029,476222,0,2,1,0,0,0,1,1,0,0
230010102002030,352912,0,76,54,3,1,0,62,63,6,2
230010102002031,4201,0,13,9,0,0,0,11,11,1,0
230010102002032,3496,0,6,4,0,0,0,5,5,0,0
230010102002033,17924,0,0,0,0,0,0,0,0,0,0
230010102002034,440411,0,0,0,0,0,0,0,0,0,0
230010102002035,117666,0,0,0,0,0,0,0,0,0,0
230010102002036,186322,0,0,0,0,0,0,0,0,0,0
230010102002037,17093,0,39,28,1,1,0,32,33,3,1
230010102002038,1073,477881,92,66,3,2,0,76,77,7,3
230010102002039,546136,0,0,0,0,0,0,0,0,0,0
230010102002040,85969,0,0,0,0,0,0,0,0,0,0
230010102002041,2298581,1194,0,0,0,0,0,0,0,0,0
230010102002042,9470,0,0,0,0,0,0,0,0,0,0
230010102002043,41140,0,0,0,0,0,0,0,0,0,0
230010102002044,298658,687,4,3,0,0,0,3,3,0,0
230010102002045,19583,0,0,0,0,0,0,0,0,0,0
230010102002046,1824218,0,0,0,0,0,0,0,0,0,0
230010102002047,16295,0,9,6,0,0,0,7,7,1,0
230010102002048,724139,0,0,0,0,0,0,0,0,0,0
230010102002049,722646,0,20,14,1,0,0,16,17,1,1
230010102002050,1780189,767,0,0,0,0,0,0,0,0,0
230010102002051,1851318,14893,49,35,2,1,0,40,41,4,1
230010102002052,2247850,5534,5,4,0,0,0,4,4,0,0
230010102002053,2905,0,0,0,0,0,0,0,0,0,0
230010102002054,11137,0,0,0,0,0,0,0,0,0,0
230010102002055,3473,0,0,0,0,0,0,0,0,0,0
230010102003000,421772,0,184,132,7,3,0,151,154,14,5
230010102003001,17345,0,34,24,1,1,0,28,28,3,1
230010102003002,146087,0,30,22,1,1,0,25,25,2,1
230010102003003,28278,0,30,22,1,1,0,25,25,2,1
230010102003004,28236,0,10,7,0,0,0,8,8,1,0
230010102003005,20828,0,38,27,1,1,0,31,31,3,1
230010102003006,378719,2225,28,20,1,0,0,23,24,2,1
230010102003007,14686,0,0,0,0,0,0,0,0,0,0
230010102003008,11560,0,36,26,1,1,0,30,30,3,1
230010102003009,174251,0,6,4,0,0,0,5,5,0,0
230010102003010,31624,0,0,0,0,0,0,0,0,0,0
230010102003011,41632,0,8,6,0,0,0,7,7,1,0
230010102003012,29838,0,0,0,0,0,0,0,0,0,0
230010102004000,106772,1482,0,0,0,0,0,0,0,0,0
230010102004001,50630,0,0,0,0,0,0,0,0,0,0
230010102004002,109768,0,25,18,1,0,0,20,21,2,1
230010102004003,5331,0,28,20,1,0,0,23,23,2,1
230010102004004,0,212731,62,45,2,1,0,51,52,5,2
230010102004005,11868,0,0,0,0,0,0,0,0,0,0
230010102004006,99032,0,14,10,1,0,0,12,12,1,0
230010102004007,39951,0,2,2,0,0,0,2,2,0,0
230010102004008,8359,0,8,6,0,0,0,7,7,1,0
230010102004009,21831,0,3,2,0,0,0,2,2,0,0
230010102004010,49054,0,1,1,0,0,0,1,1,0,0
230010102004011,23054,0,6,5,0,0,0,5,5,0,0
230010102004012,9639,0,1,1,0,0,0,1,1,0,0
